id,signal,alpha,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,coexist,vs_live_heldout_delta,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,is_seed
SLEEVE_BELOW_MA60_a01,BELOW_MA60,0.1,0.049762687247567605,0.0624505979783585,-0.025375821461581793,PASS,PASS,True,True,0.049762687247567605,0.13885156040611046,-0.21657819479665374,0.1809396311779894,-0.21657819479665374,0.24933169844007086,-0.12962166966416433,5726,True
SLEEVE_BELOW_MA60_a005,BELOW_MA60,0.05,0.02054074396913297,0.0350552268310822,0.02902896572389846,PASS,PASS,True,True,0.02054074396913297,0.13824067231353587,-0.21685214850812662,0.1803955833061346,-0.2168521485081265,0.24827770193448995,-0.12874479009186823,5783,False
SLEEVE_RSI14_LT30_a02,RSI14_LT30,0.2,0.0032941179569756507,0.009614391908818742,0.012640547903686183,PASS,PASS,True,True,0.0032941179569756507,0.13848707438169172,-0.21710655685734914,0.1805594674843367,-0.21710655685734914,0.24857220921011636,-0.12800942296944506,5781,False
LIVE_STACK,none,,0.0,0.0,0.0,PASS,PASS,True,False,0.0,0.13849076454881026,-0.21720270077643722,0.18068587296337357,-0.21720270077643733,0.24856495256732214,-0.12807794587413646,5751,False
SLEEVE_RSI14_LT30_a015,RSI14_LT30,0.15,-0.007487289849683609,0.0016445625715899581,-0.018263704842547135,PASS,PASS,True,False,-0.007487289849683609,0.13860344492004928,-0.21718625515072143,0.18086851001179904,-0.21718625515072143,0.2488531938053009,-0.12879889384424748,5756,False
SLEEVE_RSI14_LT30_a005,RSI14_LT30,0.05,-0.01342620531483707,-0.007657412495354343,-0.011537585638965453,PASS,PASS,True,False,-0.01342620531483707,0.13860392559275359,-0.21727927490139076,0.18080124881976323,-0.21727927490139087,0.24862880382556396,-0.12833138873560346,5752,False
SLEEVE_RSI14_LT30_a01,RSI14_LT30,0.1,-0.013499400393046646,-0.005783392948388588,-0.015432014889316115,PASS,PASS,True,False,-0.013499400393046646,0.13860264724453142,-0.21726053470592122,0.18084019311226673,-0.21726053470592122,0.24887746580255077,-0.12866386039760191,5777,False
SLEEVE_BELOW_MA120_a015,BELOW_MA120,0.15,-0.03543966412404842,0.03705529760208437,0.14498992345226558,PASS,PASS,True,False,-0.03543966412404842,0.1379460617173749,-0.21683214780041637,0.17923597372885092,-0.21683214780041649,0.24621433420003713,-0.12988926559990632,5751,False
SLEEVE_BELOW_MA40_a015,BELOW_MA40,0.15,-0.040352882813599056,0.028418751914394136,-0.13754326945598638,PASS,PASS,True,False,-0.040352882813599056,0.13922966375202672,-0.2169185132572934,0.18206130565793344,-0.2169185132572934,0.25203223602252867,-0.12824978002467546,5621,False
SLEEVE_BELOW_MA40_a01,BELOW_MA40,0.1,-0.05781779625065875,-0.031350307734756555,-0.05293497703180439,PASS,PASS,True,False,-0.05781779625065875,0.13875582143375964,-0.2175162038537849,0.18121522273369162,-0.2175162038537849,0.24993765195269035,-0.12948232779611857,5744,False
SLEEVE_BELOW_MA120_a005,BELOW_MA120,0.05,-0.0657151228053543,-0.023722378326374027,0.08398548895796054,PASS,PASS,True,False,-0.0657151228053543,0.138196369260438,-0.21743992455970096,0.17984601807379397,-0.21743992455970107,0.24719035701604208,-0.1289455191366844,5709,False
SLEEVE_MOM20_NEG_a005,MOM20_NEG,0.05,-0.07774108019760195,-0.059691959462016,0.03609824147117191,PASS,PASS,True,False,-0.07774108019760195,0.1380495801668964,-0.2177996203710576,0.18032489054866185,-0.2177996203710575,0.24868935033625883,-0.1282177734165839,5631,False
SLEEVE_BELOW_MA120_a01,BELOW_MA120,0.1,-0.0810003172361018,0.005880474468356045,0.17376158340891568,PASS,PASS,True,False,-0.0810003172361018,0.13767783718742366,-0.21714389603175377,0.17894825712928442,-0.21714389603175377,0.24639384850557744,-0.12830264451348328,5760,False
SLEEVE_BELOW_MA120_a02,BELOW_MA120,0.2,-0.09149539682032914,-0.009320887624997276,0.16434901839066374,PASS,PASS,True,False,-0.09149539682032914,0.13787848002180958,-0.2172959096526872,0.17904238277946694,-0.2172959096526873,0.24589904080838698,-0.13046675561142174,5736,False
SLEEVE_BELOW_MA60_a02,BELOW_MA60,0.2,-0.13395772435643716,-0.05731432654041413,-0.15328679563204606,PASS,PASS,True,False,-0.13395772435643716,0.13970342771333222,-0.21777584404184136,0.18221874091969403,-0.21777584404184147,0.25167297975455316,-0.13259947341134104,5741,False
SLEEVE_BELOW_MA40_a005,BELOW_MA40,0.05,-0.13760943275189508,-0.13222155517828016,0.010775755147229837,PASS,PASS,True,False,-0.13760943275189508,0.13853683039130527,-0.21852491632822013,0.18057811541190127,-0.21852491632822013,0.24909793606759578,-0.12943205224744336,5730,False
SLEEVE_BELOW_MA40_a02,BELOW_MA40,0.2,-0.1464650840897863,-0.056546498596654615,-0.1798371709862634,PASS,PASS,True,False,-0.1464650840897863,0.1396327226964018,-0.21776816576240376,0.1824842446732362,-0.21776816576240388,0.25275269073151807,-0.13230062706393808,5659,False
SLEEVE_BELOW_MA60_a015,BELOW_MA60,0.15,-0.1614675361240714,-0.11115956630940449,-0.1006159396293338,PASS,PASS,True,False,-0.1614675361240714,0.1392505047306134,-0.21831429643953149,0.1816920323596669,-0.21831429643953137,0.2513094362939139,-0.13223703503358852,5730,False
SLEEVE_MOM20_NEG_a01,MOM20_NEG,0.1,-0.19906577870499875,-0.14295160530041207,-0.11222834680917337,PASS,PASS,True,False,-0.19906577870499875,0.1388095760590189,-0.21863221682944145,0.1818081564314653,-0.21863221682944145,0.2503682265941043,-0.13074969607473463,5676,False
SLEEVE_MOM20_NEG_a02,MOM20_NEG,0.2,-0.210759664810245,-0.08309012287310846,-0.25533908387427307,PASS,PASS,True,False,-0.210759664810245,0.13968619266335058,-0.21803360200516853,0.1832392638021163,-0.21803360200516841,0.2530525709748084,-0.13169537805338527,5646,False
SLEEVE_MOM20_NEG_a015,MOM20_NEG,0.15,-0.2596415128466645,-0.14461654237716282,-0.23004994093900333,PASS,PASS,True,False,-0.2596415128466645,0.13946853689973926,-0.21864886620020896,0.1829863723727636,-0.21864886620020896,0.2522290343367799,-0.1332455090271898,5639,False
