book,scope,alpha,cost_multiple,sleeves,window,mdd_improve_pp,cagr_giveback_pp,score,book_cagr,base_cagr,book_mdd,base_mdd
FIN_0050_A05_C1x,FIN_0050,0.05,1.0,"['Financial', '0050']",heldout_2019_plus,0.6596669796110177,0.8521528111249177,0.23359057404855887,0.17351369418347784,0.18203522229472702,-0.218836774582145,-0.2254334443782552
FIN_0050_A05_C1x,FIN_0050,0.05,1.0,"['Financial', '0050']",sealed_2023_plus,2.581359990388288,1.2725197539510846,1.9451001134127455,0.23616702856170835,0.2488922261012192,-0.11505788134621875,-0.14087148125010163
FIN_0050_A05_C1x,FIN_0050,0.05,1.0,"['Financial', '0050']",full,0.6596669796109955,0.37815557596638794,0.47058919162780155,0.13411240096972143,0.13789395672938531,-0.21883677458214512,-0.22543344437825508
FIN_0050_A08_C1x,FIN_0050,0.08,1.0,"['Financial', '0050']",heldout_2019_plus,0.796927138244774,1.170784235577682,0.21153502045593298,0.1703273799389502,0.18203522229472702,-0.21746417299580745,-0.2254334443782552
FIN_0050_A08_C1x,FIN_0050,0.08,1.0,"['Financial', '0050']",sealed_2023_plus,3.304425657287746,1.6837493267633619,2.4625509939060652,0.23205473283358558,0.2488922261012192,-0.10782722467722416,-0.14087148125010163
FIN_0050_A08_C1x,FIN_0050,0.08,1.0,"['Financial', '0050']",full,0.7969271382447629,0.5284101929540652,0.5327220417677303,0.13260985479984466,0.13789395672938531,-0.21746417299580745,-0.22543344437825508
FIN_0050_A10_C1x,FIN_0050,0.1,1.0,"['Financial', '0050']",heldout_2019_plus,0.8695227031677577,1.3390130228447372,0.2000161917453891,0.16864509206627964,0.18203522229472702,-0.2167382173465776,-0.2254334443782552
FIN_0050_A10_C1x,FIN_0050,0.1,1.0,"['Financial', '0050']",sealed_2023_plus,3.4788329119491923,1.8863646500538733,2.5356505869222556,0.23002857960068046,0.2488922261012192,-0.1060831521306097,-0.14087148125010163
FIN_0050_A10_C1x,FIN_0050,0.1,1.0,"['Financial', '0050']",full,0.8695227031677577,0.597385095466163,0.5708301554346762,0.13192010577472368,0.13789395672938531,-0.2167382173465775,-0.22543344437825508
HIGH_BETA_A05_C1x,HIGH_BETA,0.05,1.0,"['0050', 'Financial']",heldout_2019_plus,0.6596669796110177,0.8521528111249177,0.23359057404855887,0.17351369418347784,0.18203522229472702,-0.218836774582145,-0.2254334443782552
HIGH_BETA_A05_C1x,HIGH_BETA,0.05,1.0,"['0050', 'Financial']",sealed_2023_plus,2.581359990388288,1.2725197539510846,1.9451001134127455,0.23616702856170835,0.2488922261012192,-0.11505788134621875,-0.14087148125010163
HIGH_BETA_A05_C1x,HIGH_BETA,0.05,1.0,"['0050', 'Financial']",full,0.6596669796109955,0.37815557596638794,0.47058919162780155,0.13411240096972143,0.13789395672938531,-0.21883677458214512,-0.22543344437825508
HIGH_BETA_A08_C1x,HIGH_BETA,0.08,1.0,"['0050', 'Financial']",heldout_2019_plus,0.796927138244774,1.170784235577682,0.21153502045593298,0.1703273799389502,0.18203522229472702,-0.21746417299580745,-0.2254334443782552
HIGH_BETA_A08_C1x,HIGH_BETA,0.08,1.0,"['0050', 'Financial']",sealed_2023_plus,3.304425657287746,1.6837493267633619,2.4625509939060652,0.23205473283358558,0.2488922261012192,-0.10782722467722416,-0.14087148125010163
HIGH_BETA_A08_C1x,HIGH_BETA,0.08,1.0,"['0050', 'Financial']",full,0.7969271382447629,0.5284101929540652,0.5327220417677303,0.13260985479984466,0.13789395672938531,-0.21746417299580745,-0.22543344437825508
HIGH_BETA_A10_C1x,HIGH_BETA,0.1,1.0,"['0050', 'Financial']",heldout_2019_plus,0.8695227031677577,1.3390130228447372,0.2000161917453891,0.16864509206627964,0.18203522229472702,-0.2167382173465776,-0.2254334443782552
HIGH_BETA_A10_C1x,HIGH_BETA,0.1,1.0,"['0050', 'Financial']",sealed_2023_plus,3.4788329119491923,1.8863646500538733,2.5356505869222556,0.23002857960068046,0.2488922261012192,-0.1060831521306097,-0.14087148125010163
HIGH_BETA_A10_C1x,HIGH_BETA,0.1,1.0,"['0050', 'Financial']",full,0.8695227031677577,0.597385095466163,0.5708301554346762,0.13192010577472368,0.13789395672938531,-0.2167382173465775,-0.22543344437825508
ALL_A05_C2x,ALL,0.05,2.0,,heldout_2019_plus,0.7366110395178094,0.9660298204434037,0.25359612929610753,0.1666225186261947,0.17628281683062874,-0.2195895397377089,-0.226955650132887
ALL_A05_C2x,ALL,0.05,2.0,,sealed_2023_plus,2.6803988168110915,1.4227910337783145,1.9690032999219342,0.227777228692859,0.24200513903064214,-0.11765085965436062,-0.14445484782247153
ALL_A05_C2x,ALL,0.05,2.0,,full,0.7366110395178094,0.4272517314494628,0.522985173793078,0.12747059071537215,0.13174310802986677,-0.219589539737709,-0.2269556501328871
ALL_A08_C2x,ALL,0.08,2.0,,heldout_2019_plus,0.88586456143811,1.2546624587793653,0.2585333320484273,0.1637361922428351,0.17628281683062874,-0.2180970045185059,-0.226955650132887
ALL_A08_C2x,ALL,0.08,2.0,,sealed_2023_plus,3.2871145543317826,1.7853028891141154,2.394463109774725,0.22415211013950098,0.24200513903064214,-0.11158370227915371,-0.14445484782247153
ALL_A08_C2x,ALL,0.08,2.0,,full,0.8858645614381211,0.5617808981604133,0.6049741123579144,0.12612529904826264,0.13174310802986677,-0.2180970045185059,-0.2269556501328871
ALL_A10_C2x,ALL,0.1,2.0,,heldout_2019_plus,0.8795223364614579,1.5277038791461584,0.11567039688837877,0.16100577803916716,0.17628281683062874,-0.2181604267682724,-0.226955650132887
ALL_A10_C2x,ALL,0.1,2.0,,sealed_2023_plus,3.59735980719067,2.127807836860929,2.5334558887602054,0.22072706066203285,0.24200513903064214,-0.10848124975056483,-0.14445484782247153
ALL_A10_C2x,ALL,0.1,2.0,,full,0.879522336461469,0.7108820667761195,0.5240813030734093,0.12463428736210558,0.13174310802986677,-0.2181604267682724,-0.2269556501328871
FIN_ONLY_A05_C2x,FIN_ONLY,0.05,2.0,['Financial'],heldout_2019_plus,0.6529116922903477,0.7967520540599571,0.2545356652603692,0.16831529629002917,0.17628281683062874,-0.2204265332099835,-0.226955650132887
FIN_ONLY_A05_C2x,FIN_ONLY,0.05,2.0,['Financial'],sealed_2023_plus,2.320489323423247,1.1984198530185397,1.7212793969139772,0.23002094050045674,0.24200513903064214,-0.12124995458823906,-0.14445484782247153
FIN_ONLY_A05_C2x,FIN_ONLY,0.05,2.0,['Financial'],full,0.6529116922903477,0.3561456279614461,0.4748388783096247,0.1281816517502523,0.13174310802986677,-0.22042653320998362,-0.2269556501328871
FIN_ONLY_A08_C2x,FIN_ONLY,0.08,2.0,['Financial'],heldout_2019_plus,0.8429775758586167,1.1682318355858534,0.25886165806568995,0.1646004984747702,0.17628281683062874,-0.21852587437430082,-0.226955650132887
FIN_ONLY_A08_C2x,FIN_ONLY,0.08,2.0,['Financial'],sealed_2023_plus,3.108320918427021,1.7460337738804732,2.2353040314867845,0.2245448012918374,0.24200513903064214,-0.11337163863820132,-0.14445484782247153
FIN_ONLY_A08_C2x,FIN_ONLY,0.08,2.0,['Financial'],full,0.8429775758586167,0.539419616473702,0.5732677676217657,0.12634891186512975,0.13174310802986677,-0.21852587437430093,-0.2269556501328871
FIN_ONLY_A10_C2x,FIN_ONLY,0.1,2.0,['Financial'],heldout_2019_plus,0.964108002428965,1.2892893769133718,0.3194633139722791,0.16338992306149502,0.17628281683062874,-0.21731457010859734,-0.226955650132887
FIN_ONLY_A10_C2x,FIN_ONLY,0.1,2.0,['Financial'],sealed_2023_plus,3.3986440938879703,1.8670326458963604,2.46512777093979,0.22333481257167853,0.24200513903064214,-0.11046840688359183,-0.14445484782247153
FIN_ONLY_A10_C2x,FIN_ONLY,0.1,2.0,['Financial'],full,0.9641080024289872,0.5875981457069024,0.670308929575536,0.12586712657279775,0.13174310802986677,-0.21731457010859723,-0.2269556501328871
FIN_0050_A05_C2x,FIN_0050,0.05,2.0,"['Financial', '0050']",heldout_2019_plus,0.6728244028281871,0.8458093998809479,0.24991970288771315,0.16782472283181926,0.17628281683062874,-0.22022740610460512,-0.226955650132887
FIN_0050_A05_C2x,FIN_0050,0.05,2.0,"['Financial', '0050']",sealed_2023_plus,2.4752360757089864,1.2675492762628027,1.841461437577585,0.2293296462680141,0.24200513903064214,-0.11970248706538167,-0.14445484782247153
FIN_0050_A05_C2x,FIN_0050,0.05,2.0,"['Financial', '0050']",full,0.6728244028282093,0.3780509650538777,0.4837989203012705,0.127962598379328,0.13174310802986677,-0.220227406104605,-0.2269556501328871
FIN_0050_A08_C2x,FIN_0050,0.08,2.0,"['Financial', '0050']",heldout_2019_plus,0.8173256884197011,1.204707892268364,0.21497174228551907,0.1642357379079451,0.17628281683062874,-0.21878239324868998,-0.226955650132887
FIN_0050_A08_C2x,FIN_0050,0.08,2.0,"['Financial', '0050']",sealed_2023_plus,3.2762203149158564,1.7462045561756678,2.4031180368280225,0.22454309346888546,0.24200513903064214,-0.11169264467331297,-0.14445484782247153
FIN_0050_A08_C2x,FIN_0050,0.08,2.0,"['Financial', '0050']",full,0.8173256884197122,0.552630374091545,0.5410105013739397,0.12621680428895132,0.13174310802986677,-0.21878239324868998,-0.2269556501328871
FIN_0050_A10_C2x,FIN_0050,0.1,2.0,"['Financial', '0050']",heldout_2019_plus,0.9558586239127309,1.3456201339333118,0.283048556946075,0.16282661549129562,0.17628281683062874,-0.21739706389375968,-0.226955650132887
FIN_0050_A10_C2x,FIN_0050,0.1,2.0,"['Financial', '0050']",sealed_2023_plus,3.4258978555436803,1.9224180248820222,2.4646888431026692,0.22278095878182191,0.24200513903064214,-0.11019586926703473,-0.14445484782247153
FIN_0050_A10_C2x,FIN_0050,0.1,2.0,"['Financial', '0050']",full,0.955858623912742,0.6030690165782504,0.6543241156236168,0.12571241786408427,0.13174310802986677,-0.21739706389375968,-0.2269556501328871
HIGH_BETA_A05_C2x,HIGH_BETA,0.05,2.0,"['0050', 'Financial']",heldout_2019_plus,0.6728244028281871,0.8458093998809479,0.24991970288771315,0.16782472283181926,0.17628281683062874,-0.22022740610460512,-0.226955650132887
HIGH_BETA_A05_C2x,HIGH_BETA,0.05,2.0,"['0050', 'Financial']",sealed_2023_plus,2.4752360757089864,1.2675492762628027,1.841461437577585,0.2293296462680141,0.24200513903064214,-0.11970248706538167,-0.14445484782247153
HIGH_BETA_A05_C2x,HIGH_BETA,0.05,2.0,"['0050', 'Financial']",full,0.6728244028282093,0.3780509650538777,0.4837989203012705,0.127962598379328,0.13174310802986677,-0.220227406104605,-0.2269556501328871
HIGH_BETA_A08_C2x,HIGH_BETA,0.08,2.0,"['0050', 'Financial']",heldout_2019_plus,0.8173256884197011,1.204707892268364,0.21497174228551907,0.1642357379079451,0.17628281683062874,-0.21878239324868998,-0.226955650132887
HIGH_BETA_A08_C2x,HIGH_BETA,0.08,2.0,"['0050', 'Financial']",sealed_2023_plus,3.2762203149158564,1.7462045561756678,2.4031180368280225,0.22454309346888546,0.24200513903064214,-0.11169264467331297,-0.14445484782247153
HIGH_BETA_A08_C2x,HIGH_BETA,0.08,2.0,"['0050', 'Financial']",full,0.8173256884197122,0.552630374091545,0.5410105013739397,0.12621680428895132,0.13174310802986677,-0.21878239324868998,-0.2269556501328871
HIGH_BETA_A10_C2x,HIGH_BETA,0.1,2.0,"['0050', 'Financial']",heldout_2019_plus,0.9558586239127309,1.3456201339333118,0.283048556946075,0.16282661549129562,0.17628281683062874,-0.21739706389375968,-0.226955650132887
HIGH_BETA_A10_C2x,HIGH_BETA,0.1,2.0,"['0050', 'Financial']",sealed_2023_plus,3.4258978555436803,1.9224180248820222,2.4646888431026692,0.22278095878182191,0.24200513903064214,-0.11019586926703473,-0.14445484782247153
HIGH_BETA_A10_C2x,HIGH_BETA,0.1,2.0,"['0050', 'Financial']",full,0.955858623912742,0.6030690165782504,0.6543241156236168,0.12571241786408427,0.13174310802986677,-0.21739706389375968,-0.2269556501328871
