book,scope,alpha,cost_multiple,sleeves,window,mdd_improve_pp,cagr_giveback_pp,score,book_cagr,base_cagr,book_mdd,base_mdd
ALL_A05_C1x,ALL,0.05,1.0,,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,0.1724320147835161,0.18203522229472702,-0.21840933817863817,-0.2254334443782552
ALL_A05_C1x,ALL,0.05,1.0,,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,0.2346963910554447,0.2488922261012192,-0.11308673030842753,-0.14087148125010163
ALL_A05_C1x,ALL,0.05,1.0,,full,0.7024106199616909,0.42342237927519566,0.490699430324093,0.13365973293663336,0.13789395672938531,-0.21840933817863817,-0.22543344437825508
ALL_A08_C1x,ALL,0.08,1.0,,heldout_2019_plus,0.8158427768143794,1.2235301401500198,0.20407770673936954,0.16979992089322682,0.18203522229472702,-0.2172750166101114,-0.2254334443782552
ALL_A08_C1x,ALL,0.08,1.0,,sealed_2023_plus,3.3017028205373444,1.7230633460678657,2.4401711475034116,0.23166159264054054,0.2488922261012192,-0.10785445304472818,-0.14087148125010163
ALL_A08_C1x,ALL,0.08,1.0,,full,0.8158427768143572,0.544127887401813,0.5437788331134508,0.13245267785536718,0.13789395672938531,-0.2172750166101115,-0.22543344437825508
ALL_A10_C1x,ALL,0.1,1.0,,heldout_2019_plus,0.799556371054333,1.5094181207245816,0.044847310692042175,0.1669410410874812,0.18203522229472702,-0.21743788066771186,-0.2254334443782552
ALL_A10_C1x,ALL,0.1,1.0,,sealed_2023_plus,3.654352225578539,2.116729162136921,2.5959876445100782,0.22772493447984998,0.2488922261012192,-0.10432795899431624,-0.14087148125010163
ALL_A10_C1x,ALL,0.1,1.0,,full,0.7995563710543108,0.7007775072591205,0.44916761742475053,0.1308861816567941,0.13789395672938531,-0.21743788066771197,-0.22543344437825508
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,['Financial'],heldout_2019_plus,0.6421180471372079,0.7617617615311323,0.26123716637164174,0.1744176046794157,0.18203522229472702,-0.2190122639068831,-0.2254334443782552
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,['Financial'],sealed_2023_plus,2.3595688541433346,1.1396887202211659,1.7897244940327517,0.23749533889900754,0.2488922261012192,-0.11727579270866828,-0.14087148125010163
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,['Financial'],full,0.6421180471372079,0.33598221150605845,0.47412694138417866,0.13453413461432473,0.13789395672938531,-0.219012263906883,-0.22543344437825508
FIN_ONLY_A08_C1x,FIN_ONLY,0.08,1.0,['Financial'],heldout_2019_plus,0.7612498742002094,1.148093136192263,0.18720330610407787,0.1705542909328044,0.18203522229472702,-0.2178209456362531,-0.2254334443782552
FIN_ONLY_A08_C1x,FIN_ONLY,0.08,1.0,['Financial'],sealed_2023_plus,3.184994208290104,1.6822939152400407,2.3438472506700836,0.2320692869488188,0.2488922261012192,-0.10902153916720059,-0.14087148125010163
FIN_ONLY_A08_C1x,FIN_ONLY,0.08,1.0,['Financial'],full,0.7612498742001983,0.5227360547670479,0.49988184681667436,0.13266659618171484,0.13789395672938531,-0.2178209456362531,-0.22543344437825508
FIN_ONLY_A10_C1x,FIN_ONLY,0.1,1.0,['Financial'],heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,0.16950506384767983,0.18203522229472702,-0.21631369757721874,-0.2254334443782552
FIN_ONLY_A10_C1x,FIN_ONLY,0.1,1.0,['Financial'],sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,0.2308759270765437,0.2488922261012192,-0.10668667532308351,-0.14087148125010163
FIN_ONLY_A10_C1x,FIN_ONLY,0.1,1.0,['Financial'],full,0.9119746801036444,0.5604244367688915,0.6317624617191986,0.1322897123616964,0.13789395672938531,-0.21631369757721863,-0.22543344437825508
