book,scope,alpha,cost_multiple,sleeves,window,cagr,max_drawdown,utility,vol,n_days
BASE_E16_E18_E22_v2s_C1x,BASE,0.0,1.0,,full,0.13789395672938531,-0.22543344437825508,0.025177234540257776,0.13297638346349747,3351
BASE_E16_E18_E22_v2s_C1x,BASE,0.0,1.0,,oof_2011_2018,0.08891395615228181,-0.17552258063858128,0.0011526658329911732,0.10689317000099306,1495
BASE_E16_E18_E22_v2s_C1x,BASE,0.0,1.0,,validation_2019_2022,0.12303252832234746,-0.2254334443782552,0.010315806133219863,0.13563392852620926,977
BASE_E16_E18_E22_v2s_C1x,BASE,0.0,1.0,,sealed_2023_plus,0.2488922261012192,-0.14087148125010163,0.17845648547616838,0.16567513128978922,879
BASE_E16_E18_E22_v2s_C1x,BASE,0.0,1.0,,heldout_2019_plus,0.18203522229472702,-0.2254334443782552,0.06931850010559942,0.15058731210766724,1856
ALL_A05_C1x,ALL,0.05,1.0,,full,0.13365973293663336,-0.21840933817863817,0.024455063847314273,0.12820091869049402,3351
ALL_A05_C1x,ALL,0.05,1.0,,oof_2011_2018,0.09059826880442223,-0.17400932146960701,0.0035936080696187256,0.10509644430893639,1495
ALL_A05_C1x,ALL,0.05,1.0,,validation_2019_2022,0.11728002355878164,-0.21840933817863817,0.008075354469462559,0.13297288345496505,977
ALL_A05_C1x,ALL,0.05,1.0,,sealed_2023_plus,0.2346963910554447,-0.11308673030842753,0.17815302590123094,0.15541388862284303,879
ALL_A05_C1x,ALL,0.05,1.0,,heldout_2019_plus,0.1724320147835161,-0.21840933817863817,0.06322734569419702,0.14401385009266165,1856
ALL_A08_C1x,ALL,0.08,1.0,,full,0.13245267785536718,-0.2172750166101115,0.023815169550311432,0.12684616435233292,3351
ALL_A08_C1x,ALL,0.08,1.0,,oof_2011_2018,0.09109686040320608,-0.17354826240278254,0.004322729201814812,0.10419189666903336,1495
ALL_A08_C1x,ALL,0.08,1.0,,validation_2019_2022,0.11497913212364064,-0.2172750166101114,0.0063416238185849405,0.1319269508274051,977
ALL_A08_C1x,ALL,0.08,1.0,,sealed_2023_plus,0.23166159264054054,-0.10785445304472818,0.17773436611817645,0.1531758408660213,879
ALL_A08_C1x,ALL,0.08,1.0,,heldout_2019_plus,0.16979992089322682,-0.2172750166101114,0.06116241258817112,0.1423639923314596,1856
ALL_A10_C1x,ALL,0.1,1.0,,full,0.1308861816567941,-0.21743788066771197,0.022167241322938125,0.12607500798652593,3351
ALL_A10_C1x,ALL,0.1,1.0,,oof_2011_2018,0.09104137848647231,-0.1737481532548475,0.004167301859048567,0.10392252227701235,1495
ALL_A10_C1x,ALL,0.1,1.0,,validation_2019_2022,0.1130195885669989,-0.21743788066771186,0.004300648233142967,0.13138094274939296,977
ALL_A10_C1x,ALL,0.1,1.0,,sealed_2023_plus,0.22772493447984998,-0.10432795899431624,0.17556095498269186,0.15157393316602139,879
ALL_A10_C1x,ALL,0.1,1.0,,heldout_2019_plus,0.1669410410874812,-0.21743788066771186,0.05822210075362527,0.1412819471236191,1856
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,Financial,full,0.13453413461432473,-0.219012263906883,0.02502800266088323,0.1288473113152628,3351
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,Financial,oof_2011_2018,0.09025729316665698,-0.17459404648676125,0.0029602699232763596,0.10550097675813157,1495
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,Financial,validation_2019_2022,0.11859616761096392,-0.2190122639068831,0.009090035657522366,0.13328667674762656,977
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,Financial,sealed_2023_plus,0.23749533889900754,-0.11727579270866828,0.1788574425446734,0.1566673807053173,879
FIN_ONLY_A05_C1x,FIN_ONLY,0.05,1.0,Financial,heldout_2019_plus,0.1744176046794157,-0.2190122639068831,0.06491147272597414,0.14480755606706927,1856
FIN_ONLY_A08_C1x,FIN_ONLY,0.08,1.0,Financial,full,0.13266659618171484,-0.2178209456362531,0.02375612336358829,0.12737470012073,3351
FIN_ONLY_A08_C1x,FIN_ONLY,0.08,1.0,Financial,oof_2011_2018,0.09070089955522498,-0.1733675847437166,0.004017107183366675,0.10463736466968208,1495
FIN_ONLY_A08_C1x,FIN_ONLY,0.08,1.0,Financial,validation_2019_2022,0.11603255311558525,-0.2178209456362531,0.007122080297458699,0.13241952336374033,977
