book,kind,mode,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_score,years_helped,year_help_2015,year_help_2018,year_help_2020,year_help_2022,turnover_per_year
BASE_E16_E18_E22_v2s,ref,,0,heldout_2019_plus,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.2932168755380824
BASE_E16_E18_E22_v2s,ref,,0,sealed_2023_plus,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.2932168755380824
BASE_E16_E18_E22_v2s,ref,,0,full,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.2932168755380824
BLEND_E45_A05,ref_e45,,0,heldout_2019_plus,0.2778469185708565,0.5701999130672819,-0.0072530379627844255,-0.3365859054842768,"2015,2020",0.302005897551072,-0.004404854850104112,0.2778469185708565,0.0003120263824984981,1.3939609342251345
BLEND_E45_A05,ref_e45,,0,sealed_2023_plus,1.1703304692663008,1.2196253209547203,0.5605178087889406,,"2015,2020",0.302005897551072,-0.004404854850104112,0.2778469185708565,0.0003120263824984981,1.3939609342251345
BLEND_E45_A05,ref_e45,,0,full,0.2778469185708343,0.20363458125725042,0.1760296279422091,,"2015,2020",0.302005897551072,-0.004404854850104112,0.2778469185708565,0.0003120263824984981,1.3939609342251345
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,0,heldout_2019_plus,-0.34479848028090565,0.2636087590369929,-0.4766028597994021,0.2743673401816582,2022,0.12160528529375769,0.09135825846100509,-0.34479848028090565,0.43014913818090195,1.3900592092415789
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,0,sealed_2023_plus,0.3440070930575079,1.0164304273367675,-0.16420812061087586,,2022,0.12160528529375769,0.09135825846100509,-0.34479848028090565,0.43014913818090195,1.3900592092415789
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,0,full,-0.34479848028091675,0.09437502429199274,-0.3919859924269131,,2022,0.12160528529375769,0.09135825846100509,-0.34479848028090565,0.43014913818090195,1.3900592092415789
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,0,heldout_2019_plus,2.5791222304666905,1.5274353244733474,1.8154045682300168,3.4526831331571084,"2015,2018,2020,2022",1.92060625384477,0.6965221027572577,2.5791222304666794,4.354598124920994,2.1648883008977684
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,0,sealed_2023_plus,0.7143027706152383,2.6072859310056318,-0.5893401948875776,,"2015,2018,2020,2022",1.92060625384477,0.6965221027572577,2.5791222304666794,4.354598124920994,2.1648883008977684
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,0,full,2.5791222304666683,1.0480082435242455,2.0551181087045456,,"2015,2018,2020,2022",1.92060625384477,0.6965221027572577,2.5791222304666794,4.354598124920994,2.1648883008977684
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,0,heldout_2019_plus,0.3982728513021172,2.1473375475231204,-0.675395922459443,-4.9674611829359065,"2018,2020",-0.7183666038679704,0.3000636374008936,0.3982728513021283,-3.700017960219626,2.7794498137718593
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,0,sealed_2023_plus,2.7471305040388083,0.591157736721315,2.451551635678151,,"2018,2020",-0.7183666038679704,0.3000636374008936,0.3982728513021283,-3.700017960219626,2.7794498137718593
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,0,full,0.3982728513021172,0.8860090908641816,-0.044731694129973576,,"2018,2020",-0.7183666038679704,0.3000636374008936,0.3982728513021283,-3.700017960219626,2.7794498137718593
