book,kind,mode,cost_multiple,window,cagr,max_drawdown,n_days,n_fills,fees_tax_sum,turnover_per_year,exact_t1_ok
BLEND_E45_A05,ref_e45,,2,full,0.13351358425223459,-0.22847828566410722,3352,1963,472963.6241154,1.33144830199579,True
BLEND_E45_A05,ref_e45,,3,heldout_2019_plus,0.1681786709924078,-0.22831608801736258,1857,1974,691689.5480646751,1.323224443880893,True
BLEND_E45_A05,ref_e45,,3,sealed_2023_plus,0.23532273890732336,-0.13018230744127302,880,1974,691689.5480646751,1.323224443880893,True
BLEND_E45_A05,ref_e45,,3,full,0.12989523361420963,-0.22831608801736247,3352,1974,691689.5480646751,1.323224443880893,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,0,heldout_2019_plus,0.18177099916186146,-0.2291111686730194,1857,2088,0.0,1.3900592092415789,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,0,sealed_2023_plus,0.25005000241635456,-0.1263238706172234,880,2088,0.0,1.3900592092415789,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,0,full,0.14139498916679627,-0.2291111686730194,3352,2088,0.0,1.3900592092415789,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,1,heldout_2019_plus,0.17465797054360888,-0.21914279422017813,1857,2054,245820.21481695003,1.3480085279293912,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,1,sealed_2023_plus,0.24435726003865565,-0.11777176074424489,880,2054,245820.21481695003,1.3480085279293912,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,1,full,0.13634964178344333,-0.21914279422017824,3352,2054,245820.21481695003,1.3480085279293912,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,2,heldout_2019_plus,0.17320894006348397,-0.22747548029127096,1857,2107,492918.9030216,1.3772150061471435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,2,sealed_2023_plus,0.2427524229240703,-0.1269298186991188,880,2107,492918.9030216,1.3772150061471435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,2,full,0.13413941301313903,-0.22747548029127096,3352,2107,492918.9030216,1.3772150061471435,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,3,heldout_2019_plus,0.16802754822360444,-0.22544606796887434,1857,2026,701061.0548508001,1.3353967143778527,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,3,sealed_2023_plus,0.23226727123980284,-0.12278297563565665,880,2026,701061.0548508001,1.3353967143778527,True
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,3,full,0.1296775887924111,-0.22544606796887434,3352,2026,701061.0548508001,1.3353967143778527,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,0,heldout_2019_plus,0.1691327335074979,-0.19987196156554343,1857,2904,0.0,2.1648883008977684,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,0,sealed_2023_plus,0.2341414473796659,-0.12262091384164608,880,2904,0.0,2.1648883008977684,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,0,full,0.13185865697447374,-0.19987196156554354,3352,2904,0.0,2.1648883008977684,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,1,heldout_2019_plus,0.1635093867308306,-0.1986512741479014,1857,2746,328760.5306211376,2.071168770305509,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,1,sealed_2023_plus,0.22963425339124566,-0.12228718394786153,880,2746,328760.5306211376,2.071168770305509,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,1,full,0.12717917670053813,-0.19865127414790162,3352,2746,328760.5306211376,2.071168770305509,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,2,heldout_2019_plus,0.15907178467234062,-0.19916075500645503,1857,2573,602753.1130189695,1.9310193069409414,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,2,sealed_2023_plus,0.224340615436307,-0.12672460071729874,880,2573,602753.1130189695,1.9310193069409414,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,2,full,0.12351180047824228,-0.19916075500645503,3352,2573,602753.1130189695,1.9310193069409414,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,3,heldout_2019_plus,0.15293363402286797,-0.19739119499864177,1857,2525,874919.0994635782,1.9525406908971097,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,3,sealed_2023_plus,0.21501204305487254,-0.1294279447806419,880,2525,874919.0994635782,1.9525406908971097,True
M2_RELOC_BIL_FX_C35,ref_m2_continuous,RELOC_BIL_FX_C35,3,full,0.11739809333560292,-0.19739119499864166,3352,2525,874919.0994635782,1.9525406908971097,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,0,heldout_2019_plus,0.16293371127700018,-0.22168045535718917,1857,2731,0.0,2.7794498137718593,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,0,sealed_2023_plus,0.2543027293225091,-0.10229263650741038,880,2731,0.0,2.7794498137718593,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,0,full,0.13347864850107438,-0.22168045535718905,3352,2731,0.0,2.7794498137718593,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,1,heldout_2019_plus,0.15644016123368565,-0.22826362700871694,1857,2532,491456.92320437497,2.6765465274304088,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,1,sealed_2023_plus,0.24962415665069093,-0.11202258505247731,880,2532,491456.92320437497,2.6765465274304088,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,1,full,0.12712565612565485,-0.22826362700871694,3352,2532,491456.92320437497,2.6765465274304088,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,2,heldout_2019_plus,0.1460125269390833,-0.23175544459672381,1857,2567,932928.00939,2.6798180071645277,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,2,sealed_2023_plus,0.23799303472228694,-0.11591865908102716,880,2567,932928.00939,2.6798180071645277,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,2,full,0.11846301918587865,-0.23175544459672381,3352,2567,932928.00939,2.6798180071645277,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,3,heldout_2019_plus,0.13703138938133774,-0.2309521630341459,1857,2450,1287238.9527204,2.6006606813815556,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,3,sealed_2023_plus,0.22887793781202137,-0.11865746280073874,880,2450,1287238.9527204,2.6006606813815556,True
M3_STATE_V0,ref_m3_v0_tel,STATE_V0_TEL,3,full,0.11026873357248568,-0.230952163034146,3352,2450,1287238.9527204,2.6006606813815556,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,0,heldout_2019_plus,0.1361596862460046,-0.2204529430878901,1857,2294,0.0,2.7038921252848747,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,0,sealed_2023_plus,0.2118975675322301,-0.10250957862635812,880,2294,0.0,2.7038921252848747,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,0,full,0.11420728206682984,-0.2204529430878901,3352,2294,0.0,2.7038921252848747,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,1,heldout_2019_plus,0.13093290027469706,-0.22139683462998916,1857,2244,380976.3846692401,2.656743906139041,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,1,sealed_2023_plus,0.20617169399937163,-0.1056300523421766,880,2244,380976.3846692401,2.656743906139041,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,1,full,0.1084785719693182,-0.22139683462998927,3352,2244,380976.3846692401,2.656743906139041,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,2,heldout_2019_plus,0.12205835890811323,-0.22588938030748373,1857,2181,710550.2832837026,2.604519390201559,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,2,sealed_2023_plus,0.19563758477162274,-0.10425908666811723,880,2181,710550.2832837026,2.604519390201559,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,2,full,0.10046976803793273,-0.22588938030748373,3352,2181,710550.2832837026,2.604519390201559,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,3,heldout_2019_plus,0.11507421328210543,-0.2237362840047148,1857,2096,1002466.1446106676,2.5558608539379026,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,3,sealed_2023_plus,0.18635312348769362,-0.11153183878612105,880,2096,1002466.1446106676,2.5558608539379026,True
M3_BIL_FX_V1,m3_bil_fx_v1,STATE_V1_BIL_FX,3,full,0.09395810836887719,-0.2237362840047148,3352,2096,1002466.1446106676,2.5558608539379026,True
