book,kind,mode,cost_multiple,window,cagr,max_drawdown,n_days,n_fills,fees_tax_sum,turnover_per_year,exact_t1_ok
BASE_E16_E18_E22_v2s,ref,,0,heldout_2019_plus,0.1844070867522314,-0.22566318387021034,1857,1884,0.0,1.2932168755380824,True
BASE_E16_E18_E22_v2s,ref,,0,sealed_2023_plus,0.26021430668972223,-0.12976394154779847,880,1884,0.0,1.2932168755380824,True
BASE_E16_E18_E22_v2s,ref,,0,full,0.1423387394097162,-0.22566318387021023,3352,1884,0.0,1.2932168755380824,True
BASE_E16_E18_E22_v2s,ref,,1,heldout_2019_plus,0.17777827046900496,-0.22385818655120981,1857,1895,236270.04345122498,1.2959339538078969,True
BASE_E16_E18_E22_v2s,ref,,1,sealed_2023_plus,0.2533411521635798,-0.13038721645267615,880,1895,236270.04345122498,1.2959339538078969,True
BASE_E16_E18_E22_v2s,ref,,1,full,0.13809233236544483,-0.2238581865512097,3352,1895,236270.04345122498,1.2959339538078969,True
BASE_E16_E18_E22_v2s,ref,,2,heldout_2019_plus,0.1780772952650651,-0.23101156229643316,1857,1911,467043.4960551,1.3021064461955265,True
BASE_E16_E18_E22_v2s,ref,,2,sealed_2023_plus,0.25180474633524774,-0.1422175905841434,880,1911,467043.4960551,1.3021064461955265,True
BASE_E16_E18_E22_v2s,ref,,2,full,0.13650379256917344,-0.23101156229643327,3352,1911,467043.4960551,1.3021064461955265,True
BASE_E16_E18_E22_v2s,ref,,3,heldout_2019_plus,0.1711811787690407,-0.22740716101849634,1857,1854,670969.286863575,1.2821104729377102,True
BASE_E16_E18_E22_v2s,ref,,3,sealed_2023_plus,0.24359416055155814,-0.14101183066839962,880,1854,670969.286863575,1.2821104729377102,True
BASE_E16_E18_E22_v2s,ref,,3,full,0.13140028702622653,-0.22740716101849623,3352,1854,670969.286863575,1.2821104729377102,True
BLEND_E45_A05,ref_e45,,0,heldout_2019_plus,0.17870508762155857,-0.22288471468450177,1857,2137,0.0,1.3939609342251345,True
BLEND_E45_A05,ref_e45,,0,sealed_2023_plus,0.24801805348017503,-0.11806063685513546,880,2137,0.0,1.3939609342251345,True
BLEND_E45_A05,ref_e45,,0,full,0.1403023935971437,-0.22288471468450188,3352,2137,0.0,1.3939609342251345,True
BLEND_E45_A05,ref_e45,,1,heldout_2019_plus,0.17687032223494592,-0.22244146702333867,1857,2036,246526.18304212496,1.3476640887923266,True
BLEND_E45_A05,ref_e45,,1,sealed_2023_plus,0.24643846598877306,-0.12244023515863878,880,2036,246526.18304212496,1.3476640887923266,True
BLEND_E45_A05,ref_e45,,1,full,0.13743476658358733,-0.22244146702333878,3352,2036,246526.18304212496,1.3476640887923266,True
BLEND_E45_A05,ref_e45,,2,heldout_2019_plus,0.17297770926147882,-0.22847828566410722,1857,1963,472963.6241154,1.33144830199579,True
BLEND_E45_A05,ref_e45,,2,sealed_2023_plus,0.24261516329936472,-0.12824972041594473,880,1963,472963.6241154,1.33144830199579,True
