date,nav_old_sf_kd,nav_finband_kd,nav_old_sf_kd_a05,nav_new_live
2012-12-04,500000000.0,500000000.0,500000000.0,500000000.0
2012-12-05,500942715.0370358,500940511.21989167,500942715.0370358,500940511.21989167
2012-12-06,500772595.2462571,500770541.429113,500772372.39202905,500770541.429113
2012-12-07,500854095.2752695,500852741.45812535,500854125.7943354,500852741.45812535
2012-12-10,497494063.6092255,497491009.79208136,497493075.5436599,497490837.4275276
2012-12-11,498187923.6575915,498186597.36229795,498188626.9183375,498186273.5669906
2012-12-12,503535094.3925455,503535191.01925147,503520810.1404293,503518578.9722691
2012-12-13,505379144.3925455,505377891.01925147,505358460.1404293,505356078.9722691
2012-12-14,504783144.3925455,504783741.01925147,504765710.1404293,504762678.9722691
2012-12-17,501825344.3925455,501825091.01925147,501817060.1404293,501813578.9722691
2012-12-18,502620011.754856,502618136.2531116,502612562.53258294,502606950.9453106
2012-12-19,504272311.754856,504271786.2531116,504269112.53258294,504263550.9453106
2012-12-20,498497561.754856,498496986.2531116,498486362.53258294,498485850.9453106
2012-12-21,492170061.754856,492168086.2531116,492171612.53258294,492173500.9453106
2012-12-22,493255061.754856,493251986.2531116,493248412.53258294,493249700.9453106
2012-12-24,493815711.754856,493814186.2531116,493803362.53258294,493805000.9453106
2012-12-25,499542761.754856,499542036.2531116,499532612.53258294,499531650.9453106
2012-12-26,497361461.754856,497360986.2531116,497353712.53258294,497350800.9453106
2012-12-27,498368511.754856,498365586.2531116,498367262.53258294,498364600.9453106
2012-12-28,501800361.2373936,501798780.39324886,501795964.5684857,501791676.9946859
2013-01-02,506584237.99979436,506586117.85294473,506572134.0201306,506572629.21969736
2013-01-03,508260037.99979436,508263167.85294473,508252284.0201306,508255329.21969736
2013-01-04,503716687.99979436,503720867.85294473,503718734.0201306,503724379.21969736
2013-01-07,501625937.99979436,501627767.85294473,501622884.0201306,501624579.21969736
2013-01-08,501718387.99979436,501717567.85294473,501709934.0201306,501709729.21969736
2013-01-09,501016387.99979436,501014867.85294473,501012134.0201306,501014079.21969736
2013-01-10,508110087.99979436,508108767.85294473,508099034.0201306,508101279.21969736
2013-01-11,508341037.99979436,508340967.85294473,508325884.0201306,508329829.21969736
2013-01-14,508242537.99979436,508241517.85294473,508228534.0201306,508233529.21969736
2013-01-15,506071137.99979436,506069117.85294473,506066334.0201306,506070279.21969736
2013-01-16,502634287.99979436,502632167.85294473,502630734.0201306,502632879.21969736
2013-01-17,499237537.99979436,499235417.85294473,499253234.0201306,499252829.21969736
2013-01-18,503930737.99979436,503928267.85294473,503922184.0201306,503924429.21969736
2013-01-21,503279187.99979436,503275967.85294473,503280234.0201306,503278079.21969736
2013-01-22,505638242.9595463,505634199.3943504,505629866.7716097,505629165.45541507
2013-01-23,505092157.08197284,505088978.26788205,505085472.3623379,505085962.7210338
2013-01-24,501684275.7836935,501682180.68919796,501709172.36233795,501706662.7210339
2013-01-25,499986325.7836935,499985380.68919796,500015283.3972822,500017827.94885397
2013-01-28,505743375.7836935,505741630.68919796,505749333.3972822,505759177.94885397
2013-01-29,509077425.7836935,509074430.68919796,509072833.3972822,509075677.94885397
2013-01-30,509660225.7836935,509659080.68919796,509660183.3972822,509664527.94885397
2013-01-31,513752375.7836935,513751730.68919796,513731833.3972822,513743727.94885397
2013-02-01,514878225.7836935,514878730.68919796,514870133.3972822,514880077.94885397
2013-02-04,529891775.7836935,529888730.68919796,529886783.3972822,529896027.94885397
2013-02-05,527293225.7836935,527291580.68919796,527299383.3972822,527309477.94885397
2013-02-06,530356425.7836935,530355430.68919796,530352583.3972822,530367077.94885397
2013-02-18,531071575.78369355,531066580.689198,531061983.39728224,531069977.948854
2013-02-19,529008425.7836935,529004130.68919796,529012733.3972822,529020677.94885397
2013-02-20,536615825.7836935,536610980.68919796,536605433.3972822,536612377.94885397
2013-02-21,529510125.7836935,529505580.68919796,529519283.3972822,529527577.94885397
2013-02-22,528969425.7836935,528965630.68919796,528982083.3972822,528988377.94885397
2013-02-23,533281025.7836935,533275580.68919796,533262983.3972822,533267527.94885397
2013-02-25,528537225.7836935,528531730.68919796,528522983.3972822,528525677.94885397
2013-02-26,526410225.7836935,526403980.68919796,526409883.3972822,526409627.94885397
2013-02-27,525726425.7836935,525721530.68919796,525712933.3972822,525718877.94885397
2013-03-01,529203525.7836935,529199030.68919796,529199833.3972822,529208527.94885397
2013-03-04,520928975.7836935,520924030.68919796,520941983.3972822,520948877.94885397
2013-03-05,525719675.7836935,525714130.68919796,525723783.3972822,525732977.94885397
2013-03-06,525037825.7836935,525033930.68919796,525046883.3972822,525055377.94885397
2013-03-07,525926475.7836935,525921780.68919796,525939083.3972822,525944427.94885397
2013-03-08,534291725.7836935,534286580.68919796,534273083.3972822,534280577.94885397
2013-03-11,533391625.7836935,533387230.68919796,533382583.3972822,533389927.94885397
