book,cost_multiple,window,giveback_vs_mid_cagr_pp,mid_cagr,alt_cagr,mid_mdd,alt_mdd
M2_RELOC_BIL_FX_C50_FXPATH,1,heldout_2019_plus,0.6169627595572491,0.14772105931087443,0.14155143171530193,-0.19584814498939884,-0.19643094769742964
M2_RELOC_BIL_FX_C50_FXPATH,1,sealed_2023_plus,0.7773890304196396,0.20133832515644912,0.19356443485225272,-0.11434184979423956,-0.1158277692423485
M2_RELOC_BIL_FX_C50_FXPATH,1,full,0.5760955946836788,0.11329330137406912,0.10753234542723233,-0.19584814498939884,-0.19643094769742964
M2_RELOC_BIL_FX_C50_FXH10,1,heldout_2019_plus,0.37964225827264997,0.14772105931087443,0.14392463672814793,-0.19584814498939884,-0.19619948117408026
M2_RELOC_BIL_FX_C50_FXH10,1,sealed_2023_plus,0.49358843271669617,0.20133832515644912,0.19640244082928215,-0.11434184979423956,-0.11528600112769283
M2_RELOC_BIL_FX_C50_FXH10,1,full,0.35383401294213357,0.11329330137406912,0.10975496124464779,-0.19584814498939884,-0.19619948117408026
M2_RELOC_BIL_FX_C50_FXH25,1,heldout_2019_plus,0.9467792849149337,0.14772105931087443,0.1382532664617251,-0.19584814498939884,-0.19672622712637766
M2_RELOC_BIL_FX_C50_FXH25,1,sealed_2023_plus,1.230213340117814,0.20133832515644912,0.18903619175527098,-0.11434184979423956,-0.11670043507288819
M2_RELOC_BIL_FX_C50_FXH25,1,full,0.8824997245412858,0.11329330137406912,0.10446830412865626,-0.19584814498939884,-0.19672622712637777
M2_RELOC_BIL_FX_C50_FXH50,1,heldout_2019_plus,1.885837409972968,0.14772105931087443,0.12886268521114475,-0.19584814498939884,-0.19814378063264515
M2_RELOC_BIL_FX_C50_FXH50,1,sealed_2023_plus,2.4479678599331978,0.20133832515644912,0.17685864655711714,-0.11434184979423956,-0.11905305116613663
M2_RELOC_BIL_FX_C50_FXH50,1,full,1.7580772244029763,0.11329330137406912,0.09571252913003936,-0.19584814498939884,-0.19814378063264526
M2_RELOC_BIL_FX_C50_FXPATH,2,heldout_2019_plus,0.6097927984819229,0.13438295228059993,0.1282850242957807,-0.19753363131816848,-0.19811521248329067
M2_RELOC_BIL_FX_C50_FXPATH,2,sealed_2023_plus,0.7665220726457367,0.18454506934629467,0.1768798486198373,-0.11899981432080475,-0.12047791883481496
M2_RELOC_BIL_FX_C50_FXPATH,2,full,0.5693091542792406,0.10017864000158871,0.09448554845879631,-0.19753363131816848,-0.19811521248329067
M2_RELOC_BIL_FX_C50_FXH10,2,heldout_2019_plus,0.3752302898479609,0.13438295228059993,0.13063064938212032,-0.19753363131816848,-0.19788423110917963
M2_RELOC_BIL_FX_C50_FXH10,2,sealed_2023_plus,0.4866886638158485,0.18454506934629467,0.17967818270813618,-0.11899981432080475,-0.11993900005503977
M2_RELOC_BIL_FX_C50_FXH10,2,full,0.3496658272034159,0.10017864000158871,0.09668198172955456,-0.19753363131816848,-0.19788423110917974
M2_RELOC_BIL_FX_C50_FXH25,2,heldout_2019_plus,0.9357763993847135,0.13438295228059993,0.1250251882867528,-0.19753363131816848,-0.1986757210280915
M2_RELOC_BIL_FX_C50_FXH25,2,sealed_2023_plus,1.2130164465460336,0.18454506934629467,0.17241490488083433,-0.11899981432080475,-0.12134599503166543
M2_RELOC_BIL_FX_C50_FXH25,2,full,0.8721038252446967,0.10017864000158871,0.09145760174914175,-0.19753363131816848,-0.1986757210280915
M2_RELOC_BIL_FX_C50_FXH50,2,heldout_2019_plus,1.863921369475352,0.13438295228059993,0.11574373858584641,-0.19753363131816848,-0.20116001348641865
M2_RELOC_BIL_FX_C50_FXH50,2,sealed_2023_plus,2.413748232018431,0.18454506934629467,0.16040758702611035,-0.11899981432080475,-0.12368623795101663
M2_RELOC_BIL_FX_C50_FXH50,2,full,1.7373669700286642,0.10017864000158871,0.08280497030130207,-0.19753363131816848,-0.20116001348641865
