book,kind,mode,cut,kappa,def_code,path_fx,cost_multiple,window,cagr,max_drawdown,utility,vol,n_days,n_fills,fees_tax_sum,turnover_per_year,mean_e45_exposure,exact_t1_ok
BASE_E16_E18_E22_v2s,ref,,,,,None,1,heldout_2019_plus,0.18203522229472702,-0.2254334443782552,0.06931850010559942,0.15058731210766724,1856,6104.0,391684.7088881098,2.18569227557563,1.0,True
BASE_E16_E18_E22_v2s,ref,,,,,None,1,sealed_2023_plus,0.2488922261012192,-0.14087148125010163,0.17845648547616838,0.16567513128978922,879,6104.0,391684.7088881098,2.18569227557563,1.0,True
BASE_E16_E18_E22_v2s,ref,,,,,None,1,full,0.13789395672938531,-0.22543344437825508,0.025177234540257776,0.13297638346349747,3351,6104.0,391684.7088881098,2.18569227557563,1.0,True
BASE_E16_E18_E22_v2s,ref,,,,,None,2,heldout_2019_plus,0.17628281683062874,-0.226955650132887,0.06280499176418525,0.15098447177832908,1856,6121.0,746243.4866161725,2.1781887970938945,1.0,True
BASE_E16_E18_E22_v2s,ref,,,,,None,2,sealed_2023_plus,0.24200513903064214,-0.14445484782247153,0.16977771511940637,0.1662921628489395,879,6121.0,746243.4866161725,2.1781887970938945,1.0,True
BASE_E16_E18_E22_v2s,ref,,,,,None,2,full,0.13174310802986677,-0.2269556501328871,0.018265282963423224,0.13324998592043238,3351,6121.0,746243.4866161725,2.1781887970938945,1.0,True
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,1,heldout_2019_plus,0.15976717560259424,-0.19924316616177107,0.0601455925217087,0.13379812205819208,1856,11111.0,593869.7580720019,3.9875874292594635,1.0,True
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,1,sealed_2023_plus,0.21731411725867766,-0.12560400157531304,0.15451211647102114,0.14773483243051225,879,11111.0,593869.7580720019,3.9875874292594635,1.0,True
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,1,full,0.12171018898121178,-0.19924316616177107,0.02208860590032624,0.11872556770183945,3351,11111.0,593869.7580720019,3.9875874292594635,1.0,True
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,2,heldout_2019_plus,0.14906357615808363,-0.20180704134700678,0.048160055484580244,0.13404953293606137,1856,11154.0,1102705.3325452267,3.973906854335998,1.0,True
