book,kind,mode,cut,kappa,def_code,path_fx,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_score,years_helped,n_years_helped,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp
BASE_E16_E18_E22_v2s,ref,,,,,None,1,heldout_2019_plus,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0.0
BASE_E16_E18_E22_v2s,ref,,,,,None,1,sealed_2023_plus,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0
BASE_E16_E18_E22_v2s,ref,,,,,None,1,full,0.0,0.0,0.0,,,0,0.0,0.0,0.0,0.0
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,1,heldout_2019_plus,2.619027821648412,2.226804669213278,1.505625487041773,2.855057145962292,"2015,2018,2020,2022",4,2.4279423387245425,0.8178732539174338,2.619027821648401,4.169060021991333
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,1,sealed_2023_plus,1.5267479674788587,3.157810884254153,-0.05215747464821785,,"2015,2018,2020,2022",4,2.4279423387245425,0.8178732539174338,2.619027821648401,4.169060021991333
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,1,full,2.619027821648401,1.6183767748173539,1.809839434239724,,"2015,2018,2020,2022",4,2.4279423387245425,0.8178732539174338,2.619027821648401,4.169060021991333
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,1,heldout_2019_plus,2.8309560008566326,2.600687837968496,1.5306120818723845,2.9761429609902916,"2015,2018,2020,2022",4,2.7468517646168755,0.969549245252388,2.8309560008566215,4.5103942959039305
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,1,sealed_2023_plus,1.8944778833782538,3.697038760443605,0.045958503156451336,,"2015,2018,2020,2022",4,2.7468517646168755,0.969549245252388,2.8309560008566215,4.5103942959039305
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,1,full,2.8309560008566215,1.874348275276283,1.89378186321848,,"2015,2018,2020,2022",4,2.7468517646168755,0.969549245252388,2.8309560008566215,4.5103942959039305
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,1,heldout_2019_plus,2.9367762881421955,3.0047571248926763,1.4343977256958573,3.1224829004380177,"2015,2018,2020,2022",4,3.006335608128341,1.1102857103606367,2.9367762881421733,4.894642984824216
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,1,sealed_2023_plus,2.2498633965140513,4.202013976164998,0.14885640843155246,,"2015,2018,2020,2022",4,3.006335608128341,1.1102857103606367,2.9367762881421733,4.894642984824216
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,1,full,2.9367762881421733,2.1634827849366545,1.855034895673846,,"2015,2018,2020,2022",4,3.006335608128341,1.1102857103606367,2.9367762881421733,4.894642984824216
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,1,heldout_2019_plus,2.9585299388856345,3.431416298385259,1.242821789693005,3.203054952707518,"2015,2018,2020,2022",4,3.306505819531047,1.2543984574134415,2.9585299388856234,5.226286501266541
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,1,sealed_2023_plus,2.652963145586207,4.755390094477008,0.27526809834770294,,"2015,2018,2020,2022",4,3.306505819531047,1.2543984574134415,2.9585299388856234,5.226286501266541
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,1,full,2.9585299388856234,2.460065535531619,1.7284971711198138,,"2015,2018,2020,2022",4,3.306505819531047,1.2543984574134415,2.9585299388856234,5.226286501266541
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,1,heldout_2019_plus,3.4786306005768264,3.8208831098946128,1.56818904562952,3.2975425873712045,"2015,2018,2020,2022",4,3.616177828816969,1.3572890645841884,3.4786306005768153,5.549835464319141
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,1,sealed_2023_plus,3.068974716832895,5.279863271702823,0.4290430809814838,,"2015,2018,2020,2022",4,3.616177828816969,1.3572890645841884,3.4786306005768153,5.549835464319141
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,1,full,3.4786306005768153,2.745255093375354,2.1060030538891383,,"2015,2018,2020,2022",4,3.616177828816969,1.3572890645841884,3.4786306005768153,5.549835464319141
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,1,heldout_2019_plus,3.9442962878045162,4.272561525527929,1.8080155250405516,3.23651020994008,"2015,2018,2020,2022",4,3.959667376214915,1.384344841378382,3.9442962878045273,5.754304975607871
