book,kind,mode,cut,kappa,def_code,path_fx,heldout_1x_score,sealed_1x_score,covid_ex_heldout_1x_score,heldout_2x_score,heldout_1x_giveback_pp,heldout_1x_mdd_improve_pp,qualifies_section2,multi_event,strict_noncovid_multi,heldout_score_pos,sealed_score_ok,covid_ex_heldout_pos,cost_1x_2x_ok,n_years_helped,years_helped
M2_RELOC_BIL_FX_C35,cut_grid,RELOC_BIL_FX,0.35,1.0,BIL_FX,None,1.505625487041773,-0.05215747464821785,2.855057145962292,1.1538988449607657,2.226804669213278,2.619027821648412,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C40,cut_grid,RELOC_BIL_FX,0.4,1.0,BIL_FX,None,1.5306120818723845,0.045958503156451336,2.9761429609902916,1.0938699114162787,2.600687837968496,2.8309560008566326,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C45,cut_grid,RELOC_BIL_FX,0.45,1.0,BIL_FX,None,1.4343977256958573,0.14885640843155246,3.1224829004380177,0.9521275567739851,3.0047571248926763,2.9367762881421955,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C50,cut_grid,RELOC_BIL_FX,0.5,1.0,BIL_FX,None,1.242821789693005,0.27526809834770294,3.203054952707518,0.8472086539704105,3.431416298385259,2.9585299388856345,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C55,cut_grid,RELOC_BIL_FX,0.55,1.0,BIL_FX,None,1.56818904562952,0.4290430809814838,3.2975425873712045,1.1330548305910515,3.8208831098946128,3.4786306005768264,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C60,cut_grid,RELOC_BIL_FX,0.6,1.0,BIL_FX,None,1.8080155250405516,0.5434598732887541,3.23651020994008,1.3218226125889632,4.272561525527929,3.9442962878045162,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C50_K60,kappa_grid,RELOC_BIL_FX,0.5,0.6,BIL_FX,None,1.132411648341447,-0.07652945230832708,3.114099960084604,0.7728245452277571,3.3558076010153925,2.8103154488491433,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C50_K80,kappa_grid,RELOC_BIL_FX,0.5,0.8,BIL_FX,None,1.242821789693005,0.27526809834770294,3.203054952707518,0.8472086539704105,3.431416298385259,2.9585299388856345,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_TWD_CASH_CBC_C50,twd_cbc,RELOC_TWD_720B,0.5,1.0,TWD_CASH_CBC,None,0.9538463560489707,-0.2620993343517841,1.8072360281884192,0.561918089079716,3.5495450008723894,2.7286188564851654,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_TWD_CASH_CBC_C75,twd_cbc,RELOC_TWD_720B,0.75,1.0,TWD_CASH_CBC,None,2.298903485251657,0.11244805211451148,1.3865096574016356,1.6220205799846954,5.586480607449551,5.092143788976433,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_TWD_CASH0_C50,twd_cash0,RELOC_TWD_720B,0.5,1.0,TWD_CASH0,None,0.7980520693213755,-0.5083582117585306,1.5602127132186228,0.40606899408837105,3.7979321061403226,2.697018122391537,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_TWD_720B_C50,twd_720b,RELOC_TWD_720B,0.5,1.0,TWD_720B,None,-3.6235253175479043,-1.4698594295316725,-0.5668944834404277,-4.047343420024408,4.313807304404249,-1.4666216653457798,False,True,True,False,False,False,False,3,"[2015, 2018, 2022]"
M2_RELOC_BIL_FX_C50_FXPATH,path_fx,RELOC_BIL_FX,0.5,1.0,BIL_FX,path,0.876060139111301,-0.26201836167301096,2.6458713317295657,0.48415413821722986,4.048379057942508,2.900249668082555,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C50_FXH10,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.001,1.0178670420885383,-0.06594125135597206,2.8626073720460887,0.6245335299453147,3.811058556657909,2.923396320417493,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C50_FXH25,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.0025,0.6816239335376562,-0.5756970995760669,2.3537988588351872,0.2651114832857515,4.378195583300193,2.8707217251877526,True,True,True,True,True,True,True,4,"[2015, 2018, 2020, 2022]"
M2_RELOC_BIL_FX_C50_FXH50,path_fx_const,RELOC_BIL_FX,0.5,1.0,BIL_FX,0.005,0.07033952038189017,-1.4198359688086026,1.5107245341919655,-0.4473902475922831,5.317253708358227,2.7289663745610038,False,True,True,True,False,True,False,4,"[2015, 2018, 2020, 2022]"
