date,R_DD,R_VOL,R_BREADTH,R_FINREL,R_SHOCK,s_t
2011-12-01,,0.0,1.0,,0.0,0.3333333333333333
2011-12-02,,0.0,1.0,,0.0,0.3333333333333333
2011-12-05,,0.0,1.0,,0.0,0.3333333333333333
2011-12-06,,0.0,1.0,,0.0,0.3333333333333333
2011-12-07,,0.0,1.0,,0.0,0.3333333333333333
2011-12-08,,0.0,1.0,,0.0,0.3333333333333333
2011-12-09,,0.0,1.0,,0.0,0.3333333333333333
2011-12-12,,0.0,1.0,,0.0,0.3333333333333333
2011-12-13,,0.0,1.0,,0.0,0.3333333333333333
2011-12-14,,0.0,1.0,,0.0,0.3333333333333333
2011-12-15,,0.0,1.0,,0.0,0.3333333333333333
2011-12-16,,0.0,1.0,,0.0,0.3333333333333333
2011-12-19,,0.0,1.0,,0.0,0.3333333333333333
2011-12-20,,0.0,1.0,,0.0,0.3333333333333333
2011-12-21,,0.0,1.0,,0.0,0.3333333333333333
2011-12-22,,0.0,1.0,,0.0,0.3333333333333333
2011-12-23,,0.0,1.0,,0.0,0.3333333333333333
2011-12-26,,0.0,1.0,,0.0,0.3333333333333333
2011-12-27,,0.0,1.0,,0.0,0.3333333333333333
2011-12-28,,0.0,1.0,,0.0,0.3333333333333333
2011-12-29,,0.0,1.0,,0.0,0.3333333333333333
2011-12-30,,0.0,1.0,,0.0,0.3333333333333333
2012-01-02,,0.0,1.0,,0.0,0.3333333333333333
2012-01-03,,0.0,1.0,,0.0,0.3333333333333333
2012-01-04,,0.0,1.0,,0.0,0.3333333333333333
2012-01-05,,0.0,1.0,,0.0,0.3333333333333333
2012-01-06,,0.0,1.0,,0.0,0.3333333333333333
2012-01-09,,0.0,1.0,,0.0,0.3333333333333333
2012-01-10,,0.0,1.0,,0.0,0.3333333333333333
2012-01-11,,0.0,1.0,0.7278232539166822,0.0,0.43195581347917056
2012-01-12,,0.0,1.0,0.8277575589884035,0.0,0.4569393897471009
2012-01-13,,0.0,1.0,0.7467348658831532,0.0,0.4366837164707883
2012-01-16,,0.0,1.0,1.0,0.0,0.5
2012-01-17,,0.0,1.0,1.0,0.0,0.5
2012-01-18,,0.0,1.0,1.0,0.0,0.5
2012-01-30,,0.0,1.0,1.0,0.0,0.5
2012-01-31,,0.0,1.0,0.8459588776755433,0.0,0.46148971941888584
2012-02-01,,0.0,1.0,0.6378309333238198,0.0,0.4094577333309549
2012-02-02,,0.0,1.0,0.6464376653590014,0.0,0.41160941633975034
2012-02-03,,0.0,1.0,0.6666823598848407,0.0,0.4166705899712102
2012-02-04,,0.0,1.0,0.1740711954510277,0.0,0.2935177988627569
2012-02-06,,0.0,1.0,0.45991617565091036,0.0,0.3649790439127276
2012-02-07,,0.0,1.0,0.3745107364445447,0.0,0.3436276841111362
2012-02-08,,0.0,1.0,0.33744352986938647,0.0,0.33436088246734663
2012-02-09,,0.0,1.0,0.444354566313258,0.0,0.3610886415783145
2012-02-10,,0.0,1.0,0.29170446071147144,0.0,0.32292611517786785
2012-02-13,,0.0,1.0,0.33923142769523895,0.0,0.33480785692380977
2012-02-14,,0.0,1.0,0.5608995908040547,0.0,0.39022489770101365
2012-02-15,,0.0,1.0,0.5962650200072648,0.0,0.3990662550018162
2012-02-16,,0.0,1.0,0.6827195247712365,0.0,0.42067988119280914
2012-02-17,,0.0,1.0,0.8405401975122585,0.0,0.4601350493780646
2012-02-20,,0.0,1.0,0.989434453534075,0.0,0.4973586133835187
2012-02-21,,0.0,1.0,1.0,0.0,0.5
2012-02-22,,0.0,1.0,0.8962647124237061,0.0,0.47406617810592655
2012-02-23,,0.0,1.0,0.9327324093729948,0.0,0.4831831023432487
2012-02-24,,0.0,1.0,0.8470969551945906,0.0,0.46177423879864765
2012-02-29,,0.0,1.0,0.7294920299286057,0.0,0.43237300748215146
2012-03-01,,0.0,1.0,0.8646886997928384,0.0,0.4661721749482096
2012-03-02,,0.0,1.0,1.0,0.0,0.5
2012-03-03,0.018172798758355757,0.0,0.25,1.0,0.0,0.25363455975167115
2012-03-05,0.08552266442699186,0.0,0.375,1.0,0.0,0.29210453288539834
2012-03-06,0.12651583243697195,0.0,0.375,0.9809979339308651,0.0,0.29650275327356745
2012-03-07,0.14793640502748007,0.0,0.5,1.0,0.0,0.329587281005496
2012-03-08,0.09791209276968138,0.0,0.25,0.7910687634067841,0.0,0.22779617123529308
2012-03-09,0.07860349408892853,0.0,0.25,0.84940126868754,0.0,0.2356009525552937
2012-03-12,0.1329131487566365,0.0,0.375,0.8077313492051759,0.0,0.2631288995923625
2012-03-13,0.06908733257695199,0.0,0.25,0.6325495530073002,0.0,0.19032737711685044
2012-03-14,0.011529904077091646,0.0,0.25,0.6930112024801015,0.0,0.19090822131143864
2012-03-15,0.013764667167646683,0.0,0.25,0.6075530359837511,0.0,0.17426354063027955
2012-03-16,0.054702580046266935,0.05,0.25,0.7097555222709797,0.0,0.2128916204634493
2012-03-19,0.06146826390833027,0.06557377049180328,0.25,0.6182619090198221,0.0,0.19906078868399116
2012-03-20,0.105193491191104,0.11290322580645161,0.375,0.5953580061957618,0.0,0.23769094463866347
2012-03-21,0.099520631038158,0.1111111111111111,0.375,0.6129796192763053,0.0,0.2397222722851149
2012-03-22,0.051632850526274754,0.078125,0.25,0.61930819177931,0.0,0.19981320846111694
2012-03-23,0.04139837230661969,0.03076923076923077,0.25,0.5119146573072251,0.0,0.1668164520766151
2012-03-26,0.10831233638341653,0.21212121212121213,0.375,0.6108524615245559,0.0,0.2612572020058369
2012-03-27,0.07034592168014886,0.014925373134328358,0.25,0.6110884852264193,0.0,0.1892719560081793
2012-03-28,0.06505984744672177,0.029411764705882353,0.375,0.6913067182563791,0.0,0.23215566608179666
2012-03-29,0.16661263942711502,0.3188405797101449,0.625,0.642118142042087,0.0,0.3505142722358694
2012-03-30,0.1295671435798451,0.4,0.75,0.7035976899201223,0.0,0.39663296669999343
2012-04-02,0.17260475145014054,0.22535211267605634,0.75,0.6503369296655072,0.0,0.3596587587583408
2012-04-03,0.2352579309531877,0.3888888888888889,0.5,0.3071488368372761,0.0,0.28625913133587055
2012-04-05,0.3095638037141274,0.5753424657534246,0.625,0.39807635842130545,0.0,0.38159652557777146
2012-04-06,0.268773237852466,0.527027027027027,0.625,0.5216796323782004,0.0,0.38849597945153863
2012-04-09,0.3334769966748691,0.64,0.75,0.5099895953684032,0.0,0.44669331840865445
2012-04-10,0.309035810236688,0.6052631578947368,0.625,0.49189473306851217,0.0,0.40623874023998746
2012-04-11,0.2992188152317521,0.44155844155844154,0.625,0.4922978451760953,0.0,0.3716150203932578
2012-04-12,0.2953816533317616,0.16666666666666666,0.625,0.5071389097281649,0.0,0.3188374459453186
2012-04-13,0.21842353426554828,0.5569620253164557,0.625,0.6064214893551126,0.0,0.4013614097874233
2012-04-16,0.25428411451810184,0.5375,0.625,0.5791772515452362,0.0,0.39919227321266765
2012-04-17,0.34268618523484673,0.7037037037037037,0.625,0.30065550818148623,0.0,0.39440907942400727
2012-04-18,0.3309414000913552,0.6951219512195121,0.625,0.25392390297220385,0.0,0.3809974508566142
2012-04-19,0.3200806970496217,0.6987951807228916,0.5,0.016008076623941974,0.0,0.30697679087929103
2012-04-20,0.3910160067976093,0.6904761904761905,0.75,0.0,0.0,0.36629843945476
2012-04-23,0.4070154370558099,0.6588235294117647,0.625,0.0,0.0,0.33816779329351493
2012-04-24,0.3961178972598367,0.627906976744186,0.625,0.0,0.0,0.32980497480080456
2012-04-25,0.3566166177965724,0.632183908045977,0.5,0.0,0.0,0.29776010516850987
2012-04-26,0.3822979749608302,0.625,0.625,0.0,0.0,0.32645959499216604
2012-04-27,0.4073776651391692,0.38202247191011235,0.625,0.0,0.0,0.2828800274098563
2012-04-30,0.3943497330563206,0.2777777777777778,0.625,0.0,0.0,0.25942550216681964
2012-05-02,0.2868539447252222,0.7472527472527473,0.375,0.0,0.0,0.2818213383955939
2012-05-03,0.2974629299463166,0.6521739130434783,0.5,0.0,0.0,0.289927368597959
2012-05-04,0.27203329060269843,0.4731182795698925,0.5,0.0,0.0,0.24903031403451817
2012-05-07,0.3720266599869354,0.7553191489361702,0.625,0.0,0.0,0.3504691617846211
2012-05-08,0.36734225273942656,0.631578947368421,0.625,0.0,0.0,0.3247842400215695
2012-05-09,0.4103184660193221,0.6770833333333334,0.625,0.0,0.0,0.3424803598705311
2012-05-10,0.40522271501613416,0.6597938144329897,0.625,0.0,0.0,0.33800330588982475
2012-05-11,0.4559592045225713,0.7346938775510204,0.625,0.0,0.0,0.36313061641471833
2012-05-14,0.47081055594029475,0.43434343434343436,0.625,0.0,0.0,0.3060307980567458
2012-05-15,0.4594771145524823,0.43,0.625,0.0,0.0,0.3028954229104964
2012-05-16,0.5583653813095224,0.5742574257425742,0.75,0.0,0.0,0.37652456141041935
2012-05-17,0.4833411918409042,0.7745098039215687,0.625,0.0,0.0,0.37657019915249457
2012-05-18,0.6095561907849179,0.8058252427184466,0.75,0.0,0.0,0.4330762867006729
