book,mode,alpha,gate,window,base_cagr,book_cagr,base_mdd,book_mdd,mdd_improve_pp,cagr_giveback_pp,mdd_pp_per_cagr_giveback_pp,mean_e45_exposure,frac_days_lt_1
BASE_E16_E18_E22_v2s,CONST,0.0,,heldout_2019_plus,0.18234637927240827,0.18234637927240827,-0.2263873534222821,-0.2263873534222821,0.0,0.0,,1.0,0.0
BASE_E16_E18_E22_v2s,CONST,0.0,,sealed_2023_plus,0.2492563398696781,0.2492563398696781,-0.144572796391655,-0.144572796391655,0.0,0.0,,1.0,0.0
BASE_E16_E18_E22_v2s,CONST,0.0,,full,0.1378248622325564,0.1378248622325564,-0.2263873534222821,-0.2263873534222821,0.0,0.0,,1.0,0.0
CONST_A05,CONST,0.05,,heldout_2019_plus,0.18234637927240827,0.17168621919535254,-0.2263873534222821,-0.21786080178618272,0.8526551636099389,1.0660160077055725,0.7998521198993452,0.9953398647195717,0.9833472106577852
CONST_A05,CONST,0.05,,sealed_2023_plus,0.2492563398696781,0.23422475413471222,-0.144572796391655,-0.11388645226706673,3.068634412458826,1.503158573496588,2.041457545840084,0.9953398647195717,0.9833472106577852
CONST_A05,CONST,0.05,,full,0.1378248622325564,0.13311077376297686,-0.2263873534222821,-0.21786080178618272,0.8526551636099389,0.4714088469579547,1.808738145480727,0.9953398647195717,0.9833472106577852
CONST_A25,CONST,0.25,,heldout_2019_plus,0.18234637927240827,0.15406866712029776,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,2.82777121521105,0.22298774207584723,0.9766993235978588,0.9833472106577852
CONST_A25,CONST,0.25,,sealed_2023_plus,0.2492563398696781,0.20564512383990396,-0.144572796391655,-0.09332258706256946,5.125020932908553,4.361121602977414,1.1751612083941003,0.9766993235978588,0.9833472106577852
CONST_A25,CONST,0.25,,full,0.1378248622325564,0.124038092709855,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,1.3786769522701414,0.4573648071426043,0.9766993235978588,0.9833472106577852
CONST_A100_FULL,CONST,1.0,,heldout_2019_plus,0.18234637927240827,0.12587757186262594,-0.2263873534222821,-0.2075836624984907,1.8803690923791416,5.646880740978233,0.33299252784527505,0.9067972943914351,0.9833472106577852
CONST_A100_FULL,CONST,1.0,,sealed_2023_plus,0.2492563398696781,0.15521554345330602,-0.144572796391655,-0.095606636426529,4.896615996512599,9.404079641637209,0.5206906133410968,0.9067972943914351,0.9833472106577852
CONST_A100_FULL,CONST,1.0,,full,0.1378248622325564,0.1079429047523961,-0.2263873534222821,-0.2075836624984908,1.8803690923791305,2.9881957480160315,0.6292657010932345,0.9067972943914351,0.9833472106577852
GATE_09_A25,GATE,0.25,0.9,heldout_2019_plus,0.18234637927240827,0.17006391898539297,-0.2263873534222821,-0.22376358413888986,0.2623769283392252,1.2282460287015295,0.21361919534688292,0.9872329758479103,0.2533999444907022
GATE_09_A25,GATE,0.25,0.9,sealed_2023_plus,0.2492563398696781,0.2288527669649867,-0.144572796391655,-0.12163308331223599,2.2939713079419,2.0403572904691414,1.124298826807164,0.9872329758479103,0.2533999444907022
GATE_09_A25,GATE,0.25,0.9,full,0.1378248622325564,0.1315252621167169,-0.2263873534222821,-0.22376358413888986,0.2623769283392252,0.6299600115839521,0.41649775146760937,0.9872329758479103,0.2533999444907022
GATE_09_A50,GATE,0.5,0.9,heldout_2019_plus,0.18234637927240827,0.16469297718788423,-0.2263873534222821,-0.22308102257204043,0.3306330850241679,1.765340208452404,0.1872914260045203,0.9744659516958204,0.2533999444907022
GATE_09_A50,GATE,0.5,0.9,sealed_2023_plus,0.2492563398696781,0.22133830074533178,-0.144572796391655,-0.12029129570333474,2.4281500688320246,2.7918039124346317,0.8697423404334018,0.9744659516958204,0.2533999444907022
GATE_09_A50,GATE,0.5,0.9,full,0.1378248622325564,0.1286306002739004,-0.2263873534222821,-0.22308102257204032,0.330633085024179,0.9194261958656025,0.3596080756790939,0.9744659516958204,0.2533999444907022
GATE_09_A100,GATE,1.0,0.9,heldout_2019_plus,0.18234637927240827,0.1507680581423867,-0.2263873534222821,-0.22234872881640533,0.4038624605876784,3.157832113002157,0.1278923154035968,0.9489319033916408,0.2533999444907022
GATE_09_A100,GATE,1.0,0.9,sealed_2023_plus,0.2492563398696781,0.20196833478455112,-0.144572796391655,-0.11252175392904262,3.2051042462612367,4.728800508512698,0.6777837721196883,0.9489319033916408,0.2533999444907022
GATE_09_A100,GATE,1.0,0.9,full,0.1378248622325564,0.12113414747394224,-0.2263873534222821,-0.22234872881640522,0.4038624605876895,1.6690714758614167,0.24196834373390386,0.9489319033916408,0.2533999444907022
GATE_085_A25,GATE,0.25,0.85,heldout_2019_plus,0.18234637927240827,0.1706749327519066,-0.2263873534222821,-0.22484046913785205,0.15468842844300612,1.1671446520501672,0.132535781380042,0.9904151971142875,0.14571190674437967
GATE_085_A25,GATE,0.25,0.85,sealed_2023_plus,0.2492563398696781,0.23039237855111416,-0.144572796391655,-0.12451000214871877,2.006279424293622,1.8863961318563938,1.0635514939904227,0.9904151971142875,0.14571190674437967
GATE_085_A25,GATE,0.25,0.85,full,0.1378248622325564,0.1317319414949698,-0.2263873534222821,-0.22484046913785216,0.15468842844299502,0.6092920737586605,0.2538822267762946,0.9904151971142875,0.14571190674437967
GATE_085_A50,GATE,0.5,0.85,heldout_2019_plus,0.18234637927240827,0.16576393695200387,-0.2263873534222821,-0.2243997827021118,0.19875707201703063,1.65824423204044,0.11985995077001631,0.9808303942285749,0.14571190674437967
GATE_085_A50,GATE,0.5,0.85,sealed_2023_plus,0.2492563398696781,0.2241928985296977,-0.144572796391655,-0.12365456325234536,2.0918233139309628,2.5063441339980397,0.8346113710227627,0.9808303942285749,0.14571190674437967
GATE_085_A50,GATE,0.5,0.85,full,0.1378248622325564,0.12892347042530194,-0.2263873534222821,-0.2243997827021118,0.19875707201703063,0.8901391807254466,0.2232876344742486,0.9808303942285749,0.14571190674437967
GATE_085_A100,GATE,1.0,0.85,heldout_2019_plus,0.18234637927240827,0.15243113989228152,-0.2263873534222821,-0.22316200273815412,0.3225350684127992,2.9915239380126746,0.10781630870955534,0.9616607884571498,0.14571190674437967
GATE_085_A100,GATE,1.0,0.85,sealed_2023_plus,0.2492563398696781,0.206599776364496,-0.144572796391655,-0.11331219152794081,3.126060486371418,4.26565635051821,0.7328439587009045,0.9616607884571498,0.14571190674437967
GATE_085_A100,GATE,1.0,0.85,full,0.1378248622325564,0.12182206570461052,-0.2263873534222821,-0.22316200273815423,0.3225350684127881,1.6002796527945895,0.2015491903865308,0.9616607884571498,0.14571190674437967
GATE_08_A25,GATE,0.25,0.8,heldout_2019_plus,0.18234637927240827,0.17315071533249893,-0.2263873534222821,-0.22566581047944445,0.07215429428376607,0.9195663939909338,0.07846556241645067,0.9934002427969373,0.0791007493755204
GATE_08_A25,GATE,0.25,0.8,sealed_2023_plus,0.2492563398696781,0.23501538578573422,-0.144572796391655,-0.1276704428801151,1.6902353511539903,1.424095408394388,1.1868835059721627,0.9934002427969373,0.0791007493755204
GATE_08_A25,GATE,0.25,0.8,full,0.1378248622325564,0.13290357606328596,-0.2263873534222821,-0.22566581047944434,0.07215429428377718,0.49212861692704557,0.14661674164433627,0.9934002427969373,0.0791007493755204
GATE_08_A50,GATE,0.5,0.8,heldout_2019_plus,0.18234637927240827,0.16852007942411307,-0.2263873534222821,-0.2252567266593144,0.11306267629677125,1.3826299848295198,0.0817736325244762,0.9868004855938746,0.0791007493755204
GATE_08_A50,GATE,0.5,0.8,sealed_2023_plus,0.2492563398696781,0.22913376004929353,-0.144572796391655,-0.12589503324309614,1.8677763148558846,2.0122579820384567,0.9281992326668723,0.9868004855938746,0.0791007493755204
GATE_08_A50,GATE,0.5,0.8,full,0.1378248622325564,0.13039380885506535,-0.2263873534222821,-0.2252567266593145,0.11306267629676015,0.7431053377491059,0.15214892230384355,0.9868004855938746,0.0791007493755204
GATE_08_A100,GATE,1.0,0.8,heldout_2019_plus,0.18234637927240827,0.15560923304529317,-0.2263873534222821,-0.22429793914034646,0.20894142819356532,2.6737146227115094,0.07814649567262731,0.973600971187749,0.0791007493755204
GATE_08_A100,GATE,1.0,0.8,sealed_2023_plus,0.2492563398696781,0.21274092021732938,-0.144572796391655,-0.11345179785230697,3.112099853934802,3.6515419652348724,0.8522700501771797,0.973600971187749,0.0791007493755204
