book,mode,alpha,gate,window,cagr,max_drawdown,vol,utility,n_days,mean_e45_exposure,frac_days_lt_1,exact_t1,live_wire
BASE_E16_E18_E22_v2s,CONST,0.0,,full,0.1378248622325564,-0.2263873534222821,0.13322264778649467,0.024631185521415355,3351,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,oof_2011_2018,0.08846337485294886,-0.17413755783374418,0.10679475834335891,0.0013945959360767701,1495,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,validation_2019_2022,0.12329654723233241,-0.2263873534222821,0.1356113287117382,0.010102870521191354,977,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,sealed_2023_plus,0.2492563398696781,-0.144572796391655,0.16654549266359758,0.1769699416738506,879,1.0,0.0,True,False
BASE_E16_E18_E22_v2s,CONST,0.0,,heldout_2019_plus,0.18234637927240827,-0.2263873534222821,0.1510303139281758,0.06915270256126721,1856,1.0,0.0,True,False
CONST_A05,CONST,0.05,,full,0.13311077376297686,-0.21786080178618272,0.12792789520010944,0.024180372869885502,3351,0.9953398647195717,0.9833472106577852,True,False
CONST_A05,CONST,0.05,,oof_2011_2018,0.09030423969935275,-0.1731338008122305,0.1049626364476561,0.003737339293237496,1495,0.9953398647195717,0.9833472106577852,True,False
CONST_A05,CONST,0.05,,validation_2019_2022,0.11635613431764802,-0.21786080178618272,0.13245700878857386,0.0074257334245566575,977,0.9953398647195717,0.9833472106577852,True,False
CONST_A05,CONST,0.05,,sealed_2023_plus,0.23422475413471222,-0.11388645226706673,0.15519507509258892,0.17728152800117886,879,0.9953398647195717,0.9833472106577852,True,False
CONST_A05,CONST,0.05,,heldout_2019_plus,0.17168621919535254,-0.21786080178618272,0.14365123828708692,0.06275581830226118,1856,0.9953398647195717,0.9833472106577852,True,False
CONST_A25,CONST,0.25,,full,0.124038092709855,-0.22008177023841224,0.11992778375578673,0.013997207590648875,3351,0.9766993235978588,0.9833472106577852,True,False
CONST_A25,CONST,0.25,,oof_2011_2018,0.09128144255463799,-0.165746292631895,0.1004628042853837,0.008408296238690494,1495,0.9766993235978588,0.9833472106577852,True,False
CONST_A25,CONST,0.25,,validation_2019_2022,0.10846661305403948,-0.22008177023841224,0.1274411027649833,-0.0015742720651666375,977,0.9766993235978588,0.9833472106577852,True,False
CONST_A25,CONST,0.25,,sealed_2023_plus,0.20564512383990396,-0.09332258706256946,0.13983088916830658,0.15898383030861923,879,0.9766993235978588,0.9833472106577852,True,False
CONST_A25,CONST,0.25,,heldout_2019_plus,0.15406866712029776,-0.22008177023841224,0.13341423752666234,0.04402778200109164,1856,0.9766993235978588,0.9833472106577852,True,False
CONST_A100_FULL,CONST,1.0,,full,0.1079429047523961,-0.2075836624984908,0.10785160901336181,0.004151073503150693,3351,0.9067972943914351,0.9833472106577852,True,False
CONST_A100_FULL,CONST,1.0,,oof_2011_2018,0.08906131377792659,-0.15572113682777788,0.0942689821675622,0.011200745364037645,1495,0.9067972943914351,0.9833472106577852,True,False
CONST_A100_FULL,CONST,1.0,,validation_2019_2022,0.09971953722588722,-0.2075836624984907,0.11498865798471121,-0.004072294023358125,977,0.9067972943914351,0.9833472106577852,True,False
CONST_A100_FULL,CONST,1.0,,sealed_2023_plus,0.15521554345330602,-0.095606636426529,0.1204349273850096,0.10741222524004151,879,0.9067972943914351,0.9833472106577852,True,False
CONST_A100_FULL,CONST,1.0,,heldout_2019_plus,0.12587757186262594,-0.2075836624984907,0.11754730382141575,0.02208574061338059,1856,0.9067972943914351,0.9833472106577852,True,False
GATE_09_A25,GATE,0.25,0.9,full,0.1315252621167169,-0.22376358413888986,0.12825024546520453,0.01964347004727196,3351,0.9872329758479103,0.2533999444907022,True,False
GATE_09_A25,GATE,0.25,0.9,oof_2011_2018,0.08906428449194359,-0.1723925879190733,0.10552184784412173,0.002867990532406939,1495,0.9872329758479103,0.2533999444907022,True,False
