date,nav_base_e16_e18_e22_v2s,nav_const_a05,nav_const_a25,nav_const_a100_full,nav_gate_09_a25,nav_gate_09_a50,nav_gate_09_a100,nav_gate_085_a25,nav_gate_085_a50,nav_gate_085_a100,nav_gate_08_a25,nav_gate_08_a50,nav_gate_08_a100,nav_e1bin_a25,nav_e1bin_a50,nav_e1bin_a100
2012-12-18,3015719.1408219407,3015657.022130683,3015350.092349649,3014176.291908114,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407,3015719.1408219407
2012-12-19,3025637.590821941,3025588.322130683,3025176.6423496488,3023507.741908114,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941,3025637.590821941
2012-12-20,2991001.190821941,2990924.072130683,2990909.7923496487,2990972.741908114,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941,2991001.190821941
2012-12-21,2953054.790821941,2953047.6221306827,2953525.742349649,2955476.391908114,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941,2953054.790821941
2012-12-22,2959571.340821941,2959512.572130683,2959890.2923496487,2961519.191908114,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941,2959571.340821941
2012-12-24,2962925.140821941,2962845.1221306827,2963165.442349649,2964629.891908114,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941,2962925.140821941
2012-12-25,2997274.290821941,2997197.172130683,2997111.8923496488,2996859.341908114,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941,2997274.290821941
2012-12-26,2984192.440821941,2984120.622130683,2984194.2923496487,2984594.941908114,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941,2984192.440821941
2012-12-27,2990237.4908219413,2990198.672130683,2990219.992349649,2990318.691908114,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413,2990237.4908219413
2012-12-28,3010804.7430912997,3010738.72951258,3010516.1611300157,3009604.7610376095,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997,3010804.7430912997
2013-01-02,3039519.7487295866,3039416.538697672,3039025.4611300156,3036783.861037609,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866,3039519.7487295866
2013-01-03,3049606.148729587,3049518.4886976723,3048863.3611300155,3046162.0110376095,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587,3049606.148729587
2013-01-04,3022334.8987295865,3022313.4386976724,3022161.7111300156,3020703.9110376094,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865,3022334.8987295865
2013-01-07,3009760.698729587,3009727.3386976724,3009826.9611300156,3008945.1110376096,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587,3009760.698729587
2013-01-08,3010328.648729587,3010251.7386976723,3010210.0611300156,3009309.6110376096,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587,3010328.648729587
