date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_telecom,pre_0050,pre_def,tgt_financial,tgt_telecom,tgt_0050,tgt_def
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1606781355027903,0.33932186449720975,0.0
2012-12-05,3003620.1481155,2571620.1481155,432000.0,0.14382644232528569,Bull,1.0,0.0,0.0,0.0,0.09014122513789606,0.0,0.053685217187389625,0.0,0.5,0.13954452898927586,0.36045547101072417,0.0
2012-12-06,3002211.7492073746,2085211.7492073744,917000.0,0.30544148001622495,Bull,1.0,0.0,0.0,0.0,0.1804669507882123,0.0,0.12497452922801264,0.0,0.5,0.12681626552563147,0.37318373447436853,0.0
2012-12-07,3004627.9513083743,1616977.9513083743,1387650.0,0.4618375461080776,Bull,1.0,0.0,0.0,0.0,0.2645086223250781,0.0,0.19732892378299946,0.0,0.5,0.12681626552563147,0.37318373447436853,0.0
2012-12-10,2990869.0560534988,1241019.056053499,1749850.0,0.5850640623862537,Bull,1.0,0.0,0.0,0.0,0.3336989956079667,0.0,0.251365066778287,0.0,0.5,0.1682290518142454,0.3317709481857546,0.0
2012-12-11,2992908.737599749,864008.737599749,2128900.0,0.7113147064107721,Bull,1.0,0.0,0.0,0.0,0.3995778370973941,0.02492558462034083,0.2868112846930371,0.0,0.5,0.1682290518142454,0.3317709481857546,0.0
2012-12-12,3016312.432545874,460412.4325458739,2555900.0,0.8473591702311589,Bull,1.0,0.0,0.0,0.0,0.4613580426830786,0.08109239525745979,0.30490873229062043,0.0,0.5,0.1682290518142454,0.3317709481857546,0.0
2012-12-13,3029419.909344249,355119.90934424894,2674300.0,0.8827762674138104,Bull,1.0,0.0,0.0,0.0,0.47774823012676504,0.08001531885768524,0.3250127184293601,0.0,0.5,0.14591235956796159,0.35408764043203844,0.0
2012-12-14,3019945.903002749,300445.90300274896,2719500.0,0.9005128195495111,Bull,1.0,0.0,0.0,0.0,0.4796112402410413,0.07990209353090533,0.34099948577756445,0.0,0.5,0.13062725750286264,0.3693727424971374,0.0
2012-12-17,2997322.438832249,246172.43883224897,2751150.0,0.9178692169908296,Bull,1.0,0.0,0.0,0.0,0.4806456527117164,0.08023828096842939,0.35698528331068374,0.0,0.5,0.14640614530862034,0.35359385469137966,0.0
2012-12-18,3000472.438832249,246172.43883224897,2754300.0,0.9179554407345076,Bull,1.0,0.0,0.0,0.0,0.48079095189471033,0.0802207002086904,0.3569437886311069,0.0,0.5,0.15834578013636627,0.3416542198636337,0.0
2012-12-19,3009572.438832249,246172.43883224897,2763400.0,0.9182035176638689,Bull,1.0,0.0,0.0,0.0,0.48123114809024437,0.08011104729997785,0.3568613222736467,0.0,0.5,0.15834578013636627,0.3416542198636337,0.0
2012-12-20,2977522.438832249,246172.43883224897,2731350.0,0.9173230617436438,Bull,1.0,0.0,0.0,0.0,0.4808527994037608,0.08013373699160979,0.3563365253482732,0.0,0.5,0.14171095115230625,0.35828904884769375,0.0
2012-12-21,2949172.438832249,246172.43883224897,2703000.0,0.9165282993999079,Bull,1.0,0.0,0.0,0.0,0.4786766556651313,0.07978509391372487,0.3580665498210517,0.0,0.5,0.12461747172997462,0.3753825282700254,0.0
2012-12-22,2954672.438832249,246172.43883224897,2708500.0,0.9166836785029403,Bull,1.0,0.0,0.0,0.0,0.4788009599328446,0.07946735377976386,0.35841536479033187,0.0,0.5,0.11069021774125148,0.3893097822587485,0.0
2012-12-24,2953350.736717499,193200.73671749898,2760150.0,0.9345825288153103,Bull,1.0,0.0,0.0,0.0,0.48001410139848366,0.07984151596639683,0.37472691145042986,0.0,0.5,0.11069021774125148,0.3893097822587485,0.0
2012-12-25,2990550.736717499,193200.73671749898,2797350.0,0.9353962685382958,Bull,1.0,0.0,0.0,0.0,0.47919267257540343,0.07981807399863843,0.37638552196425396,0.0,0.5,0.11069021774125148,0.3893097822587485,0.0
