date,Financial,Telecom,0050
2015-01-26,0.7876221500687428,0.13719120914116076,0.07518664079009645
2015-01-27,0.7876221500687428,0.13719120914116076,0.07518664079009645
2015-01-28,0.7876221500687428,0.13719120914116076,0.07518664079009645
2015-01-29,0.7876221500687428,0.13719120914116076,0.07518664079009645
2015-01-30,0.7876221500687428,0.13719120914116076,0.07518664079009645
2015-02-02,0.7876221500687428,0.13719120914116076,0.07518664079009645
2015-02-03,0.7875158397783032,0.12122536338619455,0.09125879683550221
2015-02-04,0.7879128926390753,0.10759841586868474,0.10448869149223994
2015-02-05,0.7879128926390753,0.10759841586868474,0.10448869149223994
2015-02-06,0.7879128926390753,0.10759841586868474,0.10448869149223994
2015-02-09,0.7975497889217393,0.09279764177592036,0.1096525693023403
2015-02-10,0.8085502500587783,0.08115784595918593,0.11029190398203567
2015-02-11,0.8085502500587783,0.08115784595918593,0.11029190398203567
2015-02-12,0.8085502500587783,0.08115784595918593,0.11029190398203567
2015-02-13,0.8085502500587783,0.08115784595918593,0.11029190398203567
2015-02-24,0.8085502500587783,0.08115784595918593,0.11029190398203567
2015-02-25,0.8085502500587783,0.08115784595918593,0.11029190398203567
2015-02-26,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-02,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-03,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-04,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-05,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-06,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-09,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-10,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-11,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-12,0.8161541892905928,0.06932496685880146,0.11452084385060572
2015-03-13,0.8128461732984901,0.07950366571018039,0.10765016099132946
2015-03-16,0.8128461732984901,0.07950366571018039,0.10765016099132946
2015-03-17,0.8128461732984901,0.07950366571018039,0.10765016099132946
2015-03-18,0.8128461732984901,0.07950366571018039,0.10765016099132946
2015-03-19,0.8109127490893271,0.07100277729800099,0.1180844736126718
2015-03-20,0.8075184894283373,0.06263474146199777,0.12984676910966486
2015-03-23,0.8045680118267301,0.054476056096498325,0.14095593207677148
2015-03-24,0.8045680118267301,0.054476056096498325,0.14095593207677148
2015-03-25,0.8045680118267301,0.054476056096498325,0.14095593207677148
2015-03-26,0.8245860561802729,0.057741782719666304,0.11767216110006075
2015-03-27,0.8260908624773782,0.07895838907351305,0.09495074844910878
2015-03-30,0.8359096256114924,0.08747344825031539,0.0766169261381922
2015-03-31,0.8434905551453616,0.09296507964944163,0.0635443652051967
2015-04-01,0.8475334429897344,0.09920025620557045,0.053266300804695056
2015-04-02,0.8475334429897344,0.09920025620557045,0.053266300804695056
2015-04-07,0.8475334429897344,0.09920025620557045,0.053266300804695056
2015-04-08,0.8475334429897344,0.09920025620557045,0.053266300804695056
2015-04-09,0.8475334429897344,0.09920025620557045,0.053266300804695056
2015-04-10,0.8475334429897344,0.09920025620557045,0.053266300804695056
2015-04-13,0.8475334429897344,0.09920025620557045,0.053266300804695056
2015-04-14,0.8566946835792784,0.08916927738359996,0.05413603903712156
2015-04-15,0.861149977365707,0.07437695803769998,0.06447306459659287
2015-04-16,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-17,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-20,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-21,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-22,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-23,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-24,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-27,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-28,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-29,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-04-30,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-04,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-05,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-06,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-07,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-08,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-11,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-12,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-13,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-14,0.8591030887545753,0.06328271852827498,0.07761419271714969
2015-05-15,0.8701255815333602,0.05496203889620623,0.07491237957043356
2015-05-18,0.8701255815333602,0.05496203889620623,0.07491237957043356
2015-05-19,0.8609456693233754,0.04872152917215467,0.09033280150447001
2015-05-20,0.8609456693233754,0.04872152917215467,0.09033280150447001
2015-05-21,0.8609456693233754,0.04872152917215467,0.09033280150447001
2015-05-22,0.8542439770305019,0.044041146879116005,0.10171487609038206
2015-05-25,0.8542439770305019,0.044041146879116005,0.10171487609038206
2015-05-26,0.8542439770305019,0.044041146879116005,0.10171487609038206
2015-05-27,0.8542439770305019,0.044041146879116005,0.10171487609038206
2015-05-28,0.8456486276326867,0.040530860159337004,0.11382051220797626
2015-05-29,0.8456486276326867,0.040530860159337004,0.11382051220797626
2015-06-01,0.8456486276326867,0.040530860159337004,0.11382051220797626
2015-06-02,0.8456486276326867,0.040530860159337004,0.11382051220797626
2015-06-03,0.8456486276326867,0.040530860159337004,0.11382051220797626
2015-06-04,0.8598480766266309,0.03789814511950275,0.10225377825386626
2015-06-05,0.8720682744885634,0.03592360883962706,0.09200811667180944
2015-06-08,0.8856905078471475,0.03444270662972029,0.07986678552313209
2015-06-09,0.8506248075289975,0.0894751033286533,0.05990008914234907
2015-06-10,0.8255313358567833,0.12954359728645493,0.0449250668567618
2015-06-11,0.8119121590735143,0.15439404078391442,0.033693800142571353
2015-06-12,0.8009731526934629,0.17375649719960862,0.025270350106928515
2015-06-15,0.7902431203957492,0.19080411702405442,0.018952762580196385
2015-06-16,0.7902431203957492,0.19080411702405442,0.018952762580196385
2015-06-17,0.791996302281853,0.18024207950050036,0.027761618217646576
2015-06-18,0.791996302281853,0.18024207950050036,0.027761618217646576
2015-06-22,0.8253644751760887,0.14268155962537526,0.03195396519853594
2015-06-23,0.8506933098391323,0.11451116971903144,0.03479552044183622
2015-06-24,0.8673466486823179,0.09350008915234483,0.03915326216533718
2015-06-25,0.8742766584255165,0.08006815877924187,0.0456551827952416
2015-06-26,0.8742766584255165,0.08006815877924187,0.0456551827952416
2015-06-29,0.8412408231844588,0.12451778971911004,0.034241387096431194
2015-06-30,0.8542854322589946,0.10856834850640307,0.03714621923460236
2015-07-01,0.8612265004879635,0.09713848139552635,0.04163501811651011
2015-07-02,0.8612265004879635,0.09713848139552635,0.04163501811651011
2015-07-03,0.8638389382803215,0.0864107421097011,0.04975031960997729
2015-07-06,0.8296326146543573,0.12977095303824945,0.040596432307393224
2015-07-07,0.8032033629934893,0.16634931277596582,0.030447324230544918
2015-07-08,0.7748052277077617,0.2023592791193296,0.02283549317290869
2015-07-09,0.7552438221986952,0.22762955792162326,0.017126619879681518
