date,nav_base,nav_mix_l75
2012-12-04,500000000.0,500000000.0
2012-12-05,500942715.0370358,500925919.71326065
2012-12-06,500772595.2462571,500765644.5685434
2012-12-07,500854095.2752695,500833390.3957305
2012-12-10,497494063.6092255,497377686.22959
2012-12-11,498187923.6575915,497888608.0024039
2012-12-12,503535094.3925455,503459857.94682056
2012-12-13,505379144.3925455,505338157.94682056
2012-12-14,504783144.3925455,504758357.94682056
2012-12-17,501825344.3925455,501707307.94682056
2012-12-18,502620011.754856,502514261.2793489
2012-12-19,504272311.754856,504164061.2793489
2012-12-20,498497561.754856,498427711.2793489
2012-12-21,492170061.754856,491955211.2793489
2012-12-22,493255061.754856,493170561.2793489
2012-12-24,493815711.754856,493762011.2793489
2012-12-25,499542761.754856,499488211.2793489
2012-12-26,497361461.754856,497316811.2793489
2012-12-27,498368511.754856,498205661.2793489
2012-12-28,501800361.2373936,501640685.4825547
2013-01-02,506584237.99979436,506480957.6555713
2013-01-03,508260037.99979436,508162957.6555713
2013-01-04,503716687.99979436,503616407.6555713
2013-01-07,501625937.99979436,501532507.6555713
2013-01-08,501718387.99979436,501746707.6555713
2013-01-09,501016387.99979436,501063657.6555713
2013-01-10,508110087.99979436,508172507.6555713
2013-01-11,508341037.99979436,508420407.6555713
2013-01-14,508242537.99979436,508405107.6555713
2013-01-15,506071137.99979436,506145757.6555713
2013-01-16,502634287.99979436,502722457.6555713
2013-01-17,499237537.99979436,499144957.6555713
2013-01-18,503930737.99979436,504048757.6555713
2013-01-21,503279187.99979436,503254307.6555713
2013-01-22,505638242.9595463,505740140.2049452
2013-01-23,505092157.08197284,505212555.7766151
2013-01-24,501684275.7836935,501643867.66397643
2013-01-25,499986325.7836935,500040117.66397643
2013-01-28,505743375.7836935,505960467.66397643
2013-01-29,509077425.7836935,509272817.66397643
2013-01-30,509660225.7836935,509840517.66397643
2013-01-31,513752375.7836935,514175217.66397643
2013-02-01,514878225.7836935,515189617.66397643
2013-02-04,529891775.7836935,530443567.66397643
2013-02-05,527293225.7836935,527635217.66397643
2013-02-06,530356425.7836935,530749467.66397643
2013-02-18,531071575.78369355,531348117.6639765
2013-02-19,529008425.7836935,529145667.66397643
2013-02-20,536615825.7836935,536794267.66397643
2013-02-21,529510125.7836935,529551917.66397643
2013-02-22,528969425.7836935,528880367.66397643
2013-02-23,533281025.7836935,533356617.66397643
2013-02-25,528537225.7836935,528473367.66397643
2013-02-26,526410225.7836935,526338917.66397643
2013-02-27,525726425.7836935,525789117.66397643
2013-03-01,529203525.7836935,529358617.66397643
2013-03-04,520928975.7836935,521126217.66397643
2013-03-05,525719675.7836935,526063567.66397643
2013-03-06,525037825.7836935,525303717.66397643
2013-03-07,525926475.7836935,526164817.66397643
2013-03-08,534291725.7836935,534653817.66397643
2013-03-11,533391625.7836935,533726167.66397643
2013-03-12,529011825.7836935,529214517.66397643
2013-03-13,528849275.7836935,529124017.66397643
2013-03-14,527879575.7836935,528123767.66397643
2013-03-15,527208275.7836935,527703967.66397643
2013-03-18,518848125.7836935,519049217.66397643
2013-03-19,518572925.7836935,518809317.66397643
2013-03-20,515809675.7836935,515917717.66397643
2013-03-21,515397275.7836935,515492417.66397643
2013-03-22,512987975.7836935,513097267.66397643
2013-03-25,520369675.7836935,520463417.66397643
2013-03-26,518465125.7836935,518391867.66397643
2013-03-27,522695275.7836935,522694567.66397643
2013-03-28,521252725.7836935,521150817.66397643
2013-03-29,523544925.7836935,523423767.66397643
2013-04-01,521478475.7836935,521330167.66397643
2013-04-02,520015525.7836935,519913767.66397643
2013-04-03,522212125.7836935,522184267.66397643
2013-04-08,508408775.7836935,508188317.66397643
2013-04-09,508983725.7836935,508878917.66397643
2013-04-10,508870225.7836935,508770217.66397643
2013-04-11,511002825.7836935,510920967.66397643
2013-04-12,509745675.7836935,509593017.66397643
2013-04-15,507239625.7836935,507014917.66397643
2013-04-16,506220125.7836935,505890217.66397643
2013-04-17,500860125.7836935,500467417.66397643
2013-04-18,501007925.8319394,500693592.4880832
2013-04-19,508628375.8319394,508416042.4880832
2013-04-22,509371311.5239155,509167030.70788765
2013-04-23,510236211.5239155,509988530.70788765
2013-04-24,512601743.1678736,512462390.27184355
2013-04-25,511459743.1678736,511225490.27184355
2013-04-26,510257493.1678736,509824540.27184355
2013-04-29,510399093.1678736,509935540.27184355
2013-04-30,513668793.1678736,513147190.27184355
2013-05-02,515975243.1678736,515620440.27184355
2013-05-03,518014493.1678736,517738840.27184355
2013-05-06,518048643.1678736,517868640.27184355
2013-05-07,518305043.1678736,518094140.27184355
2013-05-08,521206993.1678736,520964940.27184355
2013-05-09,522678243.1678736,522438790.27184355
2013-05-10,521811943.1678736,521527240.27184355
2013-05-13,519045393.1678736,518757940.27184355
2013-05-14,519288243.1678736,518935790.27184355
2013-05-15,524201143.1678736,523946890.27184355
2013-05-16,532456543.1678736,532337740.27184355
2013-05-17,531319743.1678736,531159840.27184355
2013-05-20,531251993.1678736,531283140.27184355
2013-05-21,530565843.1678736,530393140.27184355
2013-05-22,531450793.1678736,531248090.27184355
2013-05-23,521837293.1678736,521582190.27184355
2013-05-24,518702937.10418075,518478900.02601814
2013-05-27,523921887.10418075,523831000.02601814
2013-05-28,523821787.10418075,523649700.02601814
2013-05-29,527134280.9265619,526959398.2425607
2013-05-30,520008280.9265619,519836798.2425607
2013-05-31,525350630.9265619,525230098.2425607
2013-06-03,517680680.9265619,517511898.2425607
2013-06-04,516146680.9265619,515911548.2425607
2013-06-05,515160980.9265619,514702398.2425607
2013-06-06,510224767.4493439,509792725.11893207
2013-06-07,511937517.4493439,511578375.11893207
2013-06-10,515085367.4493439,514859375.11893207
2013-06-11,512941817.4493439,512607825.11893207
2013-06-13,503890417.4493439,503508375.11893207
2013-06-14,503302617.4493439,502832575.11893207
2013-06-17,504764567.4493439,504321375.11893207
2013-06-18,506753185.8965453,506207647.14183253
2013-06-19,504741935.8965453,504195297.14183253
2013-06-20,501260885.8965453,500898447.14183253
2013-06-21,497111585.8965453,496906047.14183253
2013-06-24,494923285.8965453,494483697.14183253
2013-06-25,491466635.8965453,491105397.14183253
2013-06-26,496123484.04325765,495692352.9308549
2013-06-27,497437881.70286417,497089727.82808006
2013-06-28,509743831.70286417,509417927.82808006
2013-07-01,507163031.70286417,506962077.82808006
2013-07-02,507294631.70286417,507033477.82808006
2013-07-03,505663081.70286417,505497027.82808006
2013-07-04,505565531.70286417,505624927.82808006
2013-07-05,508322181.70286417,508235977.82808006
2013-07-08,505587881.70286417,505564127.82808006
2013-07-09,511272331.70286417,511306327.82808006
2013-07-10,515759531.70286417,516051527.82808006
2013-07-11,523867231.70286417,524259527.82808006
2013-07-12,526237081.70286417,526561127.82808006
2013-07-15,528054681.70286417,528361027.82808006
2013-07-16,528388792.62076414,528653582.7951595
2013-07-17,532445652.04860616,532770982.86003476
2013-07-18,532394570.3252145,532667948.64504766
2013-07-19,529126970.3252145,529381398.64504766
2013-07-22,530783870.136039,531091177.8956385
2013-07-23,535561208.45331264,535877048.48736143
2013-07-24,533999948.8895972,534288671.8840862
2013-07-25,531310790.0651845,531512672.4493452
2013-07-26,533051994.38680625,533259107.38835365
2013-07-29,531573261.07859945,531890234.9913382
2013-07-30,534866711.0785994,535397484.9913382
2013-07-31,531842411.0785994,532130184.9913382
2013-08-01,533249911.07859945,533745784.9913382
2013-08-02,537830125.4291543,538337777.3599526
2013-08-05,538378637.3009641,538921032.6452147
2013-08-06,532769438.3009642,533086220.6452147
2013-08-07,528716227.0509642,528988168.1452147
2013-08-08,526740564.8009642,527111177.6452147
2013-08-09,523399873.33391076,523755163.9995947
2013-08-12,526799272.33391076,526996475.9995947
2013-08-13,525820784.58391076,525785216.4995947
2013-08-14,525780691.2244134,525569039.6807657
2013-08-15,524191575.7244134,523972403.6807657
2013-08-16,525278928.395613,525180025.76218194
2013-08-19,524563895.895613,524399468.26218194
2013-08-20,523878490.645613,523659766.26218194
2013-08-22,522687421.37928814,522582208.0532063
2013-08-23,523146901.4196874,522959440.5311453
2013-08-26,524894269.4196874,524680304.0311453
2013-08-27,523644108.32905215,523507624.0401751
2013-08-28,522528926.26311827,522123331.5335647
2013-08-29,523372683.08411664,522927901.0296851
2013-08-30,529367678.7787642,528833489.6714499
2013-09-02,528564000.4762202,528069411.6189059
2013-09-03,533407401.2361333,532976233.1063894
2013-09-04,537492220.1163849,537292107.3268903
2013-09-05,538854165.5136443,538533555.628525
2013-09-06,538117044.7636443,537808467.628525
2013-09-09,537678507.0136443,537276658.128525
2013-09-10,541608963.2636443,541292452.128525
2013-09-11,542531598.7636443,542094558.128525
2013-09-12,544424909.7636443,544056083.128525
2013-09-13,543350409.2636443,543048162.128525
2013-09-14,541173123.7636443,540853856.128525
2013-09-16,547890294.7636443,547765268.128525
2013-09-17,549025634.5136443,548912857.628525
2013-09-18,546945149.0136443,546873951.628525
2013-09-23,555242915.5136443,555312226.128525
