date,nav_base,nav_fin_rs_soft_tilt_exdiv
2012-12-04,500000000.0,500000000.0
2012-12-05,500942715.0370358,500875507.9210414
2012-12-06,500772595.2462571,500744936.7070639
2012-12-07,500854095.2752695,500771685.51619154
2012-12-10,497494063.6092255,497028894.02329814
2012-12-11,498187923.6575915,496989472.5274253
2012-12-12,503535094.3925455,503234804.78351307
2012-12-13,505379144.3925455,505217304.78351307
2012-12-14,504783144.3925455,504685104.78351307
2012-12-17,501825344.3925455,501352554.78351307
2012-12-18,502620011.754856,502197528.2899641
2012-12-19,504272311.754856,503840528.2899641
2012-12-20,498497561.754856,498216878.2899641
2012-12-21,492170061.754856,491309028.2899641
2012-12-22,493255061.754856,492914928.2899641
2012-12-24,493815711.754856,493598878.2899641
2012-12-25,499542761.754856,499324028.2899641
2012-12-26,497361461.754856,497187078.2899641
2012-12-27,498368511.754856,497715578.2899641
2012-12-28,501800361.2373936,501156933.0109581
2013-01-02,506584237.99979436,506164847.0788052
2013-01-03,508260037.99979436,507862297.0788052
2013-01-04,503716687.99979436,503304547.0788052
2013-01-07,501625937.99979436,501244747.0788052
2013-01-08,501718387.99979436,501828197.0788052
2013-01-09,501016387.99979436,501200647.0788052
2013-01-10,508110087.99979436,508359647.0788052
2013-01-11,508341037.99979436,508653897.0788052
2013-01-14,508242537.99979436,508890247.0788052
2013-01-15,506071137.99979436,506365997.0788052
2013-01-16,502634287.99979436,502981347.0788052
2013-01-17,499237537.99979436,498861847.0788052
2013-01-18,503930737.99979436,504401397.0788052
2013-01-21,503279187.99979436,503181747.0788052
2013-01-22,505638242.9595463,506043920.6325122
2013-01-23,505092157.08197284,505566553.0945292
2013-01-24,501684275.7836935,501533830.0054542
2013-01-25,499986325.7836935,500201430.0054542
2013-01-28,505743375.7836935,506598030.0054542
2013-01-29,509077425.7836935,509860280.0054542
2013-01-30,509660225.7836935,510376130.0054542
2013-01-31,513752375.7836935,515412930.0054542
2013-02-01,514878225.7836935,516094780.0054542
2013-02-04,529891775.7836935,532054380.0054542
2013-02-05,527293225.7836935,528630530.0054542
2013-02-06,530356425.7836935,531901430.0054542
2013-02-18,531071575.78369355,532177480.0054542
2013-02-19,529008425.7836935,529571180.0054542
2013-02-20,536615825.7836935,537330980.0054542
2013-02-21,529510125.7836935,529691430.0054542
2013-02-22,528969425.7836935,528643930.0054542
2013-02-23,533281025.7836935,533607130.0054542
2013-02-25,528537225.7836935,528321630.0054542
2013-02-26,526410225.7836935,526158330.0054542
2013-02-27,525726425.7836935,526000380.0054542
2013-03-01,529203525.7836935,529834580.0054542
2013-03-04,520928975.7836935,521713080.0054542
2013-03-05,525719675.7836935,527075980.0054542
2013-03-06,525037825.7836935,526081730.0054542
2013-03-07,525926475.7836935,526864280.0054542
2013-03-08,534291725.7836935,535719430.0054542
2013-03-11,533391625.7836935,534708830.0054542
2013-03-12,529011825.7836935,529823780.0054542
2013-03-13,528849275.7836935,529945330.0054542
2013-03-14,527879575.7836935,528842680.0054542
2013-03-15,527208275.7836935,529174330.0054542
2013-03-18,518848125.7836935,519647180.0054542
2013-03-19,518572925.7836935,519513730.0054542
2013-03-20,515809675.7836935,516245230.0054542
2013-03-21,515397275.7836935,515784180.0054542
2013-03-22,512987975.7836935,513431580.0054542
2013-03-25,520369675.7836935,520748180.0054542
2013-03-26,518465125.7836935,518189630.0054542
2013-03-27,522695275.7836935,522702230.0054542
2013-03-28,521252725.7836935,520864930.0054542
2013-03-29,523544925.7836935,523083480.0054542
2013-04-01,521478475.7836935,520922680.0054542
2013-04-02,520015525.7836935,519639830.0054542
2013-04-03,522212125.7836935,522120780.0054542
2013-04-08,508408775.7836935,507548680.0054542
2013-04-09,508983725.7836935,508569080.0054542
2013-04-10,508870225.7836935,508464130.0054542
2013-04-11,511002825.7836935,510665130.0054542
2013-04-12,509745675.7836935,509131030.0054542
2013-04-15,507239625.7836935,506341430.0054542
2013-04-16,506220125.7836935,504919980.0054542
2013-04-17,500860125.7836935,499310830.0054542
2013-04-18,501007925.8319394,499762730.80290294
2013-04-19,508628375.8319394,507789730.80290294
2013-04-22,509371311.5239155,508552591.5380169
2013-04-23,510236211.5239155,509261441.5380169
2013-04-24,512601743.1678736,512051624.2335908
2013-04-25,511459743.1678736,510528174.2335908
2013-04-26,510257493.1678736,508542624.2335908
2013-04-29,510399093.1678736,508582274.2335908
2013-04-30,513668793.1678736,511631674.2335908
2013-05-02,515975243.1678736,514585874.2335908
2013-05-03,518014493.1678736,516943474.2335908
2013-05-06,518048643.1678736,517337724.2335908
2013-05-07,518305043.1678736,517471324.2335908
2013-05-08,521206993.1678736,520258574.2335908
2013-05-09,522678243.1678736,521735224.2335908
2013-05-10,521811943.1678736,520701874.2335908
2013-05-13,519045393.1678736,517923874.2335908
2013-05-14,519288243.1678736,517913524.2335908
2013-05-15,524201143.1678736,523226424.2335908
2013-05-16,532456543.1678736,532003424.2335908
2013-05-17,531319743.1678736,530708324.2335908
2013-05-20,531251993.1678736,531383174.2335908
2013-05-21,530565843.1678736,529896274.2335908
2013-05-22,531450793.1678736,530664324.2335908
2013-05-23,521837293.1678736,520845874.2335908
2013-05-24,518702937.10418075,517836474.01351094
2013-05-27,523921887.10418075,523582074.01351094
2013-05-28,523821787.10418075,523155324.01351094
2013-05-29,527134280.9265619,526463522.2667058
2013-05-30,520008280.9265619,519347422.2667058
2013-05-31,525350630.9265619,524885272.2667058
2013-06-03,517680680.9265619,517025972.2667058
2013-06-04,516146680.9265619,515231072.2667058
2013-06-05,515160980.9265619,513357686.8827813
2013-06-06,510224767.4493439,508531986.8827813
2013-06-07,511937517.4493439,510547536.8827813
2013-06-10,515085367.4493439,514214236.8827813
2013-06-11,512941817.4493439,511642836.8827813
2013-06-13,503890417.4493439,502363086.8827813
2013-06-14,503302617.4493439,501456086.8827813
2013-06-17,504764567.4493439,503032586.8827813
2013-06-18,506753185.8965453,504619913.61992556
2013-06-19,504741935.8965453,502602963.61992556
2013-06-20,501260885.8965453,499857563.61992556
2013-06-21,497111585.8965453,496302163.61992556
2013-06-24,494923285.8965453,493220013.61992556
2013-06-25,491466635.8965453,490080113.61992556
2013-06-26,496123484.04325765,494459014.7682778
2013-06-27,497437881.70286417,496089774.4927579
2013-06-28,509743831.70286417,508495474.4927579
2013-07-01,507163031.70286417,506390224.4927579
2013-07-02,507294631.70286417,506287024.4927579
2013-07-03,505663081.70286417,505029574.4927579
2013-07-04,505565531.70286417,505810324.4927579
2013-07-05,508322181.70286417,507998774.4927579
2013-07-08,505587881.70286417,505517824.4927579
2013-07-09,511272331.70286417,511404574.4927579
2013-07-10,515759531.70286417,516907474.4927579
2013-07-11,523867231.70286417,525422724.4927579
2013-07-12,526237081.70286417,527515174.4927579
2013-07-15,528054681.70286417,529264524.4927579
2013-07-16,528388792.62076414,529442518.0545432
2013-07-17,532445652.04860616,533706909.53836447
2013-07-18,532394570.3252145,533456016.0284338
2013-07-19,529126970.3252145,530107766.0284338
2013-07-22,530783870.136039,531980174.2067981
2013-07-23,535561208.45331264,536801232.44025356
2013-07-24,533999948.8895972,535127214.6472571
2013-07-25,531310790.0651845,532096366.9746721
2013-07-26,533051994.38680625,533865453.2230172
2013-07-29,531573261.07859945,532798331.62398344
2013-07-30,534866711.0785994,536893081.6239835
2013-07-31,531842411.0785994,532949481.62398344
2013-08-01,533249911.07859945,535156231.62398344
2013-08-02,537830125.4291543,539843604.3020563
2013-08-05,538378637.3009641,540531855.1907907
2013-08-06,532769438.3009642,534044846.1907907
2013-08-07,528716227.0509642,529791072.4407907
2013-08-08,526740564.8009642,528200407.6907907
2013-08-09,523399873.33391076,524794573.4338217
2013-08-12,526799272.33391076,527633482.4338217
2013-08-13,525820784.58391076,525811447.1838217
2013-08-14,525780691.2244134,525064995.9999431
2013-08-15,524191575.7244134,523456391.4999431
2013-08-16,525278928.395613,525003327.81608456
2013-08-19,524563895.895613,524049500.31608456
2013-08-20,523878490.645613,523164342.56608456
2013-08-22,522687421.37928814,522415218.59429044
2013-08-23,523146901.4196874,522552697.04659235
2013-08-26,524894269.4196874,524209219.04659235
2013-08-27,523644108.32905215,523257466.22614735
2013-08-28,522528926.26311827,521130560.00841135
2013-08-29,523372683.08411664,521820278.7353212
2013-08-30,529367678.7787642,527474022.3727571
2013-09-02,528564000.4762202,526843449.8240602
2013-09-03,533407401.2361333,531923130.8829201
2013-09-04,537492220.1163849,536877238.6408359
2013-09-05,538854165.5136443,537792034.9990001
2013-09-06,538117044.7636443,537112222.7490001
2013-09-09,537678507.0136443,536340087.4990001
2013-09-10,541608963.2636443,540578944.2490001
2013-09-11,542531598.7636443,541077788.7490001
2013-09-12,544424909.7636443,543218703.7490001
2013-09-13,543350409.2636443,542382954.2490001
2013-09-14,541173123.7636443,540133459.7490001
2013-09-16,547890294.7636443,547578648.7490001
2013-09-17,549025634.5136443,548727923.9990001
2013-09-18,546945149.0136443,546782929.4990001
2013-09-23,555242915.5136443,555583400.9990001
2013-09-24,555096575.7636443,555816425.7490001
2013-09-25,555587869.37878,556210646.7190886
2013-09-26,546455185.37878,546524102.7190886
2013-09-27,551467213.0800761,552304107.7430016
2013-09-30,545058250.0800761,545487516.7430016
2013-10-01,546104053.8300761,547004833.9930016
2013-10-02,543369541.5800761,543424469.2430016
2013-10-03,555138728.3300761,556064439.4930016
2013-10-04,556372945.8300761,557648561.9930016
2013-10-07,555805578.3300761,557122289.4930016
2013-10-08,559320597.0800761,560526951.7430016
2013-10-09,557173885.5800761,558771437.2430016
2013-10-11,557595686.0800761,558861186.7430016
2013-10-14,555394324.3370191,557064039.8655796
2013-10-15,559801608.5870191,561823884.6155796
2013-10-16,557783632.0870191,559907665.1155796
2013-10-17,557327981.532885,558863426.1609343
2013-10-18,558467481.532885,560303126.1609343
2013-10-21,555190230.3161273,556306059.3361341
2013-10-22,554403418.0661273,555560844.5861341
2013-10-23,555191450.5661273,556580572.0861341
2013-10-24,556845020.0661273,558169834.5861341
2013-10-25,553060097.5661273,554621955.0861341
2013-10-28,557878800.5661273,560155372.0861341
2013-10-29,555286227.8161273,556527941.8361341
2013-10-30,559150468.5661273,560843544.0861341
2013-10-31,560749977.0661273,562816341.5861341
2013-11-01,556300745.3161273,557789014.3361341
2013-11-04,551054604.0661273,552029712.5861341
2013-11-05,548388990.8161273,549059520.8361341
2013-11-06,548464212.0661273,548966560.5861341
2013-11-07,545392686.5661273,545432254.0861341
2013-11-08,546787520.172233,546956708.6820164
2013-11-11,542448375.672233,541786739.1820164
2013-11-12,545487265.672233,546010501.1820164
2013-11-13,539278480.922233,539489706.9320164
2013-11-14,539489780.922233,539698306.9320164
2013-11-15,541179904.672233,540765986.1820164
2013-11-18,541948105.172233,541921463.6820164
2013-11-19,543147101.922233,542805145.9320164
2013-11-20,541664796.922233,542304638.9320164
2013-11-21,535724824.67223305,535823450.1820163
2013-11-22,539954829.672233,540251657.1820164
2013-11-25,547134032.922233,547749250.9320164
2013-11-26,546950157.172233,548185103.6820164
2013-11-27,548200271.422233,549073858.4320164
2013-11-28,551635191.922233,552687347.9320164
2013-11-29,553013491.922233,554459447.9320164
2013-12-02,552245583.422233,553610250.4320164
2013-12-03,549937910.172233,551099270.6820164
2013-12-04,551741089.172233,552468707.6820164
2013-12-05,549827777.672233,551041793.1820164
2013-12-06,546775500.672233,547411946.1820164
2013-12-09,553507856.672233,554687130.1820164
2013-12-10,556153812.422233,557780537.4320164
2013-12-11,558275479.922233,560548359.9320164
2013-12-12,552204860.172233,554252620.6820164
2013-12-13,555764789.172233,558070807.6820164
2013-12-16,551978592.672233,554367098.1820164
2013-12-17,550743462.922233,552720560.9320164
2013-12-18,550907258.922233,552351920.9320164
2013-12-19,552343606.672233,553225280.1820164
2013-12-20,550548369.172233,551153567.6820164
2013-12-23,551775565.0821134,553427819.6312337
2013-12-24,551446815.0821134,553000619.6312337
2013-12-25,553201888.3321134,554764049.3812337
2013-12-26,554203257.5821134,555788971.1312337
2013-12-27,556145275.5821134,557547043.1312337
2013-12-30,562257297.0821134,563652731.6312337
2013-12-31,560451737.8321134,562297893.8812337
2014-01-02,561035051.5821134,563054149.1312337
2014-01-03,555623535.8321134,557502817.8812337
2014-01-06,553718850.8321134,555192872.8812337
2014-01-07,552602288.5821134,553821158.1312337
2014-01-08,553479488.5821134,554994608.1312337
2014-01-09,553871005.3321134,554699530.3812337
2014-01-10,554109231.3321134,554777650.3812337
2014-01-13,556010414.8321134,556967304.8812337
2014-01-14,556607413.5821134,557555605.1312337
2014-01-15,557647165.8607166,558958487.1898556
2014-01-16,558075601.4848286,559489857.680811
2014-01-17,557292380.7348286,558665795.430811
2014-01-20,558544577.4848286,559799077.680811
2014-01-21,556187045.7348286,557453850.430811
2014-01-22,558668994.9848286,559981200.180811
2014-01-23,555968897.2348286,557248990.930811
2014-01-24,558318783.2348286,559139384.930811
2014-01-27,550155767.7348286,550593426.430811
2014-02-05,538660167.2348286,538937200.930811
2014-02-06,539467565.7348286,539930260.430811
2014-02-07,542974062.9848286,544097420.180811
2014-02-10,542577688.9848286,543241390.180811
2014-02-11,543097838.9848286,543863440.180811
2014-02-12,547306473.7348286,547694334.430811
2014-02-13,545140410.9848286,545509020.180811
2014-02-14,548078776.2348286,548239501.930811
2014-02-17,547882638.4848286,547808716.680811
2014-02-18,551833779.7348286,551881868.430811
2014-02-19,551658347.2348286,551464440.930811
2014-02-20,546942638.4848286,546569066.680811
2014-02-21,553421759.4848286,553678305.680811
2014-02-24,551166771.2348286,551132220.930811
2014-02-25,549312909.7348286,549570706.430811
2014-02-26,549119041.7348286,549853984.430811
2014-02-27,552341636.4848286,552490716.680811
2014-03-03,547160950.2348286,547188031.930811
2014-03-04,544205319.9848286,544057845.180811
2014-03-05,545694649.7348286,545567182.430811
2014-03-06,550474203.2348286,550335498.930811
2014-03-07,553558501.8921689,554088893.6973699
2014-03-10,549530398.8921689,549541476.6973699
2014-03-11,547324237.3921689,547329212.1973699
2014-03-12,547902990.3921689,547541479.1973699
2014-03-13,546274912.1415277,545548749.3892064
2014-03-14,543622782.3915277,542483762.1392064
2014-03-17,544776148.6415277,543676934.8892064
2014-03-18,546718288.1415277,546022069.3892064
2014-03-19,544485561.6415277,543793349.8892064
2014-03-20,539249832.6415277,538103062.8892064
2014-03-21,538805543.1415277,536825950.38920647
2014-03-24,540837594.1415277,539206727.3892064
2014-03-25,542105085.1415277,540596852.3892064
2014-03-26,543815073.3915277,542302937.1392064
2014-03-27,542111617.1415277,540878880.3892064
2014-03-28,547091488.1415277,546195769.3892064
2014-03-31,550483258.1415277,549573831.3892064
2014-04-01,551248619.1415277,549894046.3892064
2014-04-02,549428617.8915277,547925428.6392064
2014-04-03,550952558.6415277,549414880.8892064
2014-04-07,549291906.1415277,547490763.3892064
2014-04-08,551836489.8915277,550325958.6392064
2014-04-09,553438339.8915277,552418958.6392064
2014-04-10,555635050.8915277,554858373.6392064
2014-04-11,554965657.3915277,554293831.1392064
2014-04-14,554280243.6415277,553537625.8892064
2014-04-15,552613986.8915277,551859441.6392064
2014-04-16,551196986.3915277,550482392.1392064
2014-04-17,553830465.3915277,553080479.1392064
2014-04-18,554547023.8915277,553678326.6392064
2014-04-21,552477805.8915277,551496804.6392064
2014-04-22,552074361.1415277,550891862.3892064
2014-04-23,550612196.8915277,549594357.6392064
2014-04-24,551789059.1415277,551029022.3892064
2014-04-25,544994392.1859827,543521754.7585508
2014-04-28,546103773.1859827,544758941.7585508
2014-04-29,548585602.1859827,547007128.7585508
2014-04-30,543867416.9359827,542803685.0085508
2014-05-02,548835712.7103357,547710357.324413
2014-05-05,547127118.0465155,545814284.1803672
2014-05-06,550305955.5874346,549377484.1036409
2014-05-07,550558300.3374346,549835876.3536409
2014-05-08,553070385.8374346,552215470.8536409
2014-05-09,551848973.5874346,550839456.1036409
2014-05-12,548553997.0874346,547354486.6036409
2014-05-13,549719898.3374346,549124736.3536409
2014-05-14,552668328.8374346,551950213.8536409
2014-05-15,553378871.8374346,553081606.8536409
2014-05-16,554001291.0874346,553537478.6036409
2014-05-19,554454661.8374346,553834590.8536409
2014-05-20,553263906.5874346,552682461.1036409
2014-05-21,551622517.8374346,550550648.8536409
2014-05-22,558088231.8374346,557675380.8536409
2014-05-23,560856973.8374346,561116332.8536409
2014-05-26,561583051.3546742,562185409.515352
2014-05-27,563803315.2511132,564574103.1786687
2014-05-28,569907346.9804322,571050016.0423552
2014-05-29,569217140.4768336,570195329.4619554
2014-05-30,574368485.8485444,576690313.8686824
2014-06-03,574081602.9086087,575547261.2932522
2014-06-04,571062094.754362,572344624.7224612
2014-06-05,571162928.0065274,572794683.2735183
2014-06-06,572058771.5065274,573595575.7735183
2014-06-09,572555630.0065274,573957623.2735183
2014-06-10,577018092.8373175,578635651.5169126
2014-06-11,575699163.0873175,577102214.2669126
2014-06-12,576304085.8373175,577981844.5169126
2014-06-13,576583291.5873175,577928051.7669126
2014-06-16,576361132.5873175,577502426.7669126
2014-06-17,577658195.5873175,578156631.7669126
2014-06-18,578211695.5873175,578805681.7669126
2014-06-19,578192038.3373175,579002534.0169126
2014-06-20,574599706.0054026,574688626.0013499
2014-06-23,577153091.5324757,577492936.2793753
2014-06-24,579991577.0324757,580596630.7793753
2014-06-25,581597976.2824757,582062380.5293753
2014-06-26,584855375.5324757,585370630.2793753
2014-06-27,585290220.7824757,585345322.0293753
2014-06-30,586089064.2824757,585857264.5293753
2014-07-01,587309188.2824757,587529944.5293753
2014-07-02,588219956.2824757,587870316.5293753
2014-07-03,585043897.5324757,584599392.2793753
2014-07-04,585579141.0324757,585040634.7793753
2014-07-07,584142893.2824757,583956575.5293753
2014-07-08,589691005.7824757,590173067.0293753
2014-07-09,590626720.0324757,590735471.7793753
2014-07-10,595737508.0324757,595722755.7793753
2014-07-11,591965068.0324757,592096253.7793753
2014-07-14,594593341.7824757,594399233.0293753
2014-07-15,601159433.0324757,602049334.7793753
2014-07-16,598960837.0324757,599934024.7793753
2014-07-17,601336273.3324757,601815273.2793753
2014-07-18,600895348.8324757,601461343.7793753
2014-07-21,601078938.3324757,601610428.2793753
2014-07-22,604896322.5824757,605518223.0293753
2014-07-24,608107115.0824757,608837624.5293753
2014-07-25,609935444.0824757,610643261.5293753
2014-07-28,617499908.0174394,617177511.9527245
2014-07-29,612606000.7674394,612608206.2027245
2014-07-30,616526329.0174394,615885092.9527245
2014-07-31,611877518.2674394,611851678.7027245
2014-08-01,606292078.6123558,605370017.8231223
2014-08-04,604426039.0155855,604548562.0671866
2014-08-05,590247653.9794035,589794180.0085586
2014-08-06,598207423.5714515,598497445.3286071
2014-08-07,600227258.5714515,600944640.3286071
2014-08-08,597383598.8714516,597969624.3286071
2014-08-11,601447928.7714516,602599453.8286071
2014-08-12,599287447.9714515,600092136.0786071
2014-08-13,605752574.3714516,606575403.0786071
2014-08-14,605996306.1714516,606727283.741776
2014-08-15,603800800.085047,604543835.5865113
2014-08-18,600961585.685047,601892588.5865114
2014-08-19,609355666.485047,610214950.1365113
2014-08-20,615999796.285047,616685225.2865113
2014-08-21,620939831.285047,621902248.2865113
2014-08-22,630522427.085047,631963128.6365113
2014-08-25,628562266.285047,629542976.7865113
2014-08-26,627611752.485047,629014514.0865113
2014-08-27,631157450.8850471,633237554.0365113
2014-08-28,628555384.60891,629907868.899643
2014-08-29,621450814.5117341,622926677.88672
2014-09-01,626363553.617804,627953661.5340358
2014-09-02,620739032.3066761,621430552.165543
2014-09-03,628670115.9066762,629818164.5655429
2014-09-04,628129686.1066761,629181652.165543
2014-09-05,624371003.5066761,624590167.965543
2014-09-09,625852025.3066761,626041260.715543
2014-09-10,623288431.9066762,623462424.665543
2014-09-11,623090536.1066761,622552562.5655429
2014-09-12,620402858.3066761,620149882.8155429
2014-09-15,619326749.906676,620300707.015543
2014-09-16,611764877.3066761,612095935.515543
2014-09-17,615714225.1066761,615684748.515543
2014-09-18,618002018.5066761,618083934.5655429
2014-09-19,617702531.1066761,617830425.115543
2014-09-22,613245116.3066761,613711089.7155429
2014-09-23,611471686.9066762,611892610.3155429
2014-09-24,612471942.9066762,612850586.915543
2014-09-25,608205594.9066762,608258679.9655429
2014-09-26,606764539.8122681,607434968.0458888
2014-09-29,602188690.2294213,602112698.3217435
2014-09-30,601303715.9577111,601245401.1961495
2014-10-01,598952685.6537756,598712684.9667555
2014-10-02,595011328.0376664,594730352.7124623
2014-10-03,606110831.0376664,606149176.3124623
2014-10-06,600625904.0376666,600847322.9624624
2014-10-07,600021082.4376664,600363629.6624624
2014-10-08,601358818.0376664,601803990.0124624
2014-10-09,605705318.2654074,606554420.9916831
2014-10-13,593044814.1959367,593260238.557859
2014-10-14,595178809.966047,595195937.2636832
2014-10-15,590251341.2567955,590331709.3497852
2014-10-16,588202513.8192915,588067008.2622812
2014-10-17,587094445.0503427,586800957.4748387
2014-10-20,589779392.1288816,589437680.3922459
2014-10-21,590272002.1967336,589973103.2629284
2014-10-22,591854893.9967337,591497939.6629283
2014-10-23,593988900.6714153,593770660.7751168
2014-10-24,593917880.6714153,593777667.1251168
2014-10-27,596643719.4714154,597165832.2751168
2014-10-28,601465115.4714154,602215046.1751168
2014-10-29,606292722.8714154,607281588.8751168
2014-10-30,606676252.8714154,607233805.6251168
2014-10-31,610452188.2714154,611440361.6251168
2014-11-03,607981438.6714153,608918044.6251168
2014-11-04,607351726.1328169,608268021.0426381
2014-11-05,606488565.0665259,607232785.443312
2014-11-06,604406907.6023357,604737081.8882934
2014-11-07,600731743.8364938,601056599.125873
2014-11-10,610107625.6802558,611113785.4793847
2014-11-11,608415011.0900693,609155285.9624368
2014-11-12,602032760.9468793,603180043.470839
2014-11-13,605237861.7468792,605918982.620839
2014-11-14,605786308.7345961,606415455.0202653
2014-11-17,599968146.7345961,599774491.4202653
2014-11-18,603334228.7885689,603500169.1642891
2014-11-19,607230353.6268505,607325044.8527389
2014-11-20,608889625.5976198,608611240.4822865
2014-11-21,607401087.9180485,607896389.2069426
2014-11-24,608314685.4350921,608502372.7832034
2014-11-25,604629466.7825085,605062810.9994017
2014-11-26,604354337.3959594,604578193.873083
2014-11-27,606977106.4061021,607433665.8596941
2014-11-28,608974584.1740326,609501616.0858948
2014-12-01,598761307.0802635,598628020.9368569
2014-12-02,590896502.6802635,589366643.9868569
2014-12-03,595695577.2179394,593924596.465688
2014-12-04,602551611.0179393,601647202.8156879
