date,nav_base,nav_mix_l25
2012-12-04,500000000.0,500000000.0
2012-12-05,500942715.0370358,500892311.85178113
2012-12-06,500772595.2462571,500751845.9917422
2012-12-07,500854095.2752695,500792257.67743105
2012-12-10,497494063.6092255,497145514.3547106
2012-12-11,498187923.6575915,497289925.18578357
2012-12-12,503535094.3925455,503310043.08961457
2012-12-13,505379144.3925455,505257543.08961457
2012-12-14,504783144.3925455,504709643.08961457
2012-12-17,501825344.3925455,501471343.08961457
2012-12-18,502620011.754856,502303371.44505507
2012-12-19,504272311.754856,503948471.44505507
2012-12-20,498497561.754856,498287421.44505507
2012-12-21,492170061.754856,491524271.44505507
2012-12-22,493255061.754856,492999771.44505507
2012-12-24,493815711.754856,493653321.44505507
2012-12-25,499542761.754856,499378571.44505507
2012-12-26,497361461.754856,497229821.44505507
2012-12-27,498368511.754856,497878821.44505507
2012-12-28,501800361.2373936,501317535.99289846
2013-01-02,506584237.99979436,506269853.9237139
2013-01-03,508260037.99979436,507962103.9237139
2013-01-04,503716687.99979436,503407753.9237139
2013-01-07,501625937.99979436,501339803.9237139
2013-01-08,501718387.99979436,501800053.9237139
2013-01-09,501016387.99979436,501153803.9237139
2013-01-10,508110087.99979436,508296503.9237139
2013-01-11,508341037.99979436,508575353.9237139
2013-01-14,508242537.99979436,508727553.9237139
2013-01-15,506071137.99979436,506291853.9237139
2013-01-16,502634287.99979436,502894103.923714
2013-01-17,499237537.99979436,498955553.9237139
2013-01-18,503930737.99979436,504282803.9237139
2013-01-21,503279187.99979436,503205203.9237139
2013-01-22,505638242.9595463,505941604.8417817
2013-01-23,505092157.08197284,505447768.6819453
2013-01-24,501684275.7836935,501568990.5974959
2013-01-25,499986325.7836935,500146940.5974959
2013-01-28,505743375.7836935,506384690.5974959
2013-01-29,509077425.7836935,509662340.5974959
2013-01-30,509660225.7836935,510195440.5974959
2013-01-31,513752375.7836935,514998690.5974959
2013-02-01,514878225.7836935,515791640.5974959
2013-02-04,529891775.7836935,531516990.5974959
2013-02-05,527293225.7836935,528297940.5974959
2013-02-06,530356425.7836935,531515540.5974959
