date,nav_base,nav_mix_l50
2012-12-04,500000000.0,500000000.0
2012-12-05,500942715.0370358,500909115.7825209
2012-12-06,500772595.2462571,500758711.0217127
2012-12-07,500854095.2752695,500812802.6470746
2012-12-10,497494063.6092255,497261459.4598968
2012-12-11,498187923.6575915,497589498.9057648
2012-12-12,503535094.3925455,503384937.6001332
2012-12-13,505379144.3925455,505298187.6001332
2012-12-14,504783144.3925455,504734137.6001332
2012-12-17,501825344.3925455,501589337.6001332
2012-12-18,502620011.754856,502408835.22235155
2012-12-19,504272311.754856,504056635.22235155
2012-12-20,498497561.754856,498358385.22235155
2012-12-21,492170061.754856,491741035.22235155
2012-12-22,493255061.754856,493086635.22235155
2012-12-24,493815711.754856,493708885.22235155
2012-12-25,499542761.754856,499433985.22235155
2012-12-26,497361461.754856,497274135.22235155
2012-12-27,498368511.754856,498043385.22235155
2012-12-28,501800361.2373936,501479307.3281712
2013-01-02,506584237.99979436,506376343.70807546
2013-01-03,508260037.99979436,508063943.70807546
2013-01-04,503716687.99979436,503513143.70807546
2013-01-07,501625937.99979436,501436693.70807546
2013-01-08,501718387.99979436,501774293.70807546
2013-01-09,501016387.99979436,501109893.70807546
2013-01-10,508110087.99979436,508236193.70807546
2013-01-11,508341037.99979436,508499593.70807546
2013-01-14,508242537.99979436,508568443.70807546
2013-01-15,506071137.99979436,506220493.70807546
2013-01-16,502634287.99979436,502809593.70807546
2013-01-17,499237537.99979436,499050943.70807546
2013-01-18,503930737.99979436,504167243.70807546
2013-01-21,503279187.99979436,503230893.70807546
2013-01-22,505638242.9595463,505841889.4356457
2013-01-23,505092157.08197284,505331758.59919846
2013-01-24,501684275.7836935,501605476.85706896
2013-01-25,499986325.7836935,500096526.85706896
2013-01-28,505743375.7836935,506176576.85706896
2013-01-29,509077425.7836935,509469526.85706896
2013-01-30,509660225.7836935,510020826.85706896
2013-01-31,513752375.7836935,514592676.85706896
2013-02-01,514878225.7836935,515496526.85706896
2013-02-04,529891775.7836935,530993476.85706896
2013-02-05,527293225.7836935,527976326.85706896
2013-02-06,530356425.7836935,531141326.85706896
2013-02-18,531071575.78369355,531628176.85706896
2013-02-19,529008425.7836935,529289326.85706896
2013-02-20,536615825.7836935,536976026.8570689
2013-02-21,529510125.7836935,529600226.85706896
2013-02-22,528969425.7836935,528799126.85706896
2013-02-23,533281025.7836935,533436826.85706896
2013-02-25,528537225.7836935,528415926.85706896
