book,rule,years_helped,n_years,multi_event_ok,heldout_score,covid_ex_heldout_score,sealed_score,heldout_ok,sealed_ok,qualifies
TEL_ONLY_A05,incl_covid,[],0,False,0.01368190343641329,-0.42530774985812814,0.4466797162567038,True,True,False
TEL_ONLY_A05,strict_noncovid,[],0,False,0.01368190343641329,-0.42530774985812814,0.4466797162567038,True,True,False
TEL_ONLY_A10,incl_covid,[],0,False,0.09713204121203356,-0.780845205263192,0.8213817892788855,True,True,False
TEL_ONLY_A10,strict_noncovid,[],0,False,0.09713204121203356,-0.780845205263192,0.8213817892788855,True,True,False
TEL_ONLY_A15,incl_covid,[2020],1,False,0.11632315904450685,-0.9895990535155441,1.0854422979988287,True,True,False
TEL_ONLY_A15,strict_noncovid,[],0,False,0.11632315904450685,-0.9895990535155441,1.0854422979988287,True,True,False
FIN0050_A03,incl_covid,[2020],1,False,0.16467945619589308,-1.2094480940150643,1.2038798130646344,True,True,False
FIN0050_A03,strict_noncovid,[],0,False,0.16467945619589308,-1.2094480940150643,1.2038798130646344,True,True,False
FIN0050_A07,incl_covid,[2020],1,False,0.22858367490891096,-2.2868131228955035,2.232702097544337,True,True,False
FIN0050_A07,strict_noncovid,[],0,False,0.22858367490891096,-2.2868131228955035,2.232702097544337,True,True,False
FIN0050_A12,incl_covid,[2020],1,False,-0.0007003894909152208,-2.6563976196008476,2.6224734110204873,False,True,False
FIN0050_A12,strict_noncovid,[],0,False,-0.0007003894909152208,-2.6563976196008476,2.6224734110204873,False,True,False
FIN0050_A15,incl_covid,"[2018, 2020]",2,True,-0.19629816328881056,-2.684258133366213,2.69752196450741,False,True,False
FIN0050_A15,strict_noncovid,[2018],1,False,-0.19629816328881056,-2.684258133366213,2.69752196450741,False,True,False
E1BIN_A05,incl_covid,[],0,False,-0.01814368621936291,-0.10805676966567646,0.12456500351831767,False,True,False
E1BIN_A05,strict_noncovid,[],0,False,-0.01814368621936291,-0.10805676966567646,0.12456500351831767,False,True,False
E1BIN_A10,incl_covid,[],0,False,-0.033081206521923257,-0.12017342931477382,0.12836987262668798,False,True,False
E1BIN_A10,strict_noncovid,[],0,False,-0.033081206521923257,-0.12017342931477382,0.12836987262668798,False,True,False
E1BIN_A25,incl_covid,[],0,False,-0.08541560382674396,-0.15094253107048594,0.2868461774839126,False,True,False
E1BIN_A25,strict_noncovid,[],0,False,-0.08541560382674396,-0.15094253107048594,0.2868461774839126,False,True,False
GATE085_A10,incl_covid,[],0,False,-0.26172610960218945,-0.9895884029459068,1.1349854263870585,False,True,False
GATE085_A10,strict_noncovid,[],0,False,-0.26172610960218945,-0.9895884029459068,1.1349854263870585,False,True,False
GATE085_A25,incl_covid,[],0,False,-0.4279324411586516,-1.2646731522823251,1.0704628207455325,False,True,False
GATE085_A25,strict_noncovid,[],0,False,-0.4279324411586516,-1.2646731522823251,1.0704628207455325,False,True,False
GATE090_FIN_A10,incl_covid,[],0,False,-0.20888257942021093,-0.996817381648174,1.2882165071862461,False,True,False
GATE090_FIN_A10,strict_noncovid,[],0,False,-0.20888257942021093,-0.996817381648174,1.2882165071862461,False,True,False
REF_BLEND_A05,incl_covid,[2020],1,False,0.22225024440115648,-2.0536784087974325,2.0686833418786854,True,True,False
REF_BLEND_A05,strict_noncovid,[],0,False,0.22225024440115648,-2.0536784087974325,2.0686833418786854,True,True,False
REF_FIN_ONLY_A10,incl_covid,[2020],1,False,0.2854667577512848,-2.4079056535237564,2.5176656414680365,True,True,False
REF_FIN_ONLY_A10,strict_noncovid,[],0,False,0.2854667577512848,-2.4079056535237564,2.5176656414680365,True,True,False
REF_CHAL_E3,incl_covid,"[2015, 2018, 2020, 2022]",4,True,-0.9957295412196809,-2.6718741087920606,0.025226362316688622,False,True,False
REF_CHAL_E3,strict_noncovid,"[2015, 2018, 2022]",3,True,-0.9957295412196809,-2.6718741087920606,0.025226362316688622,False,True,False
