book,family,alpha,ref_observe,heldout_score,heldout_mdd_improve_pp,heldout_cagr_giveback_pp,covid_ex_heldout_score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_n_days,sealed_score,sealed_mdd_improve_pp,sealed_cagr_giveback_pp
TEL_ONLY_A05,TEL,0.05,False,0.01368190343641329,0.09574681721715717,0.16412982756148775,-0.42530774985812814,-0.3283277661234818,0.19395996746929267,1611,0.4466797162567038,0.5712414584493009,0.24912348438519416
TEL_ONLY_A10,TEL,0.1,False,0.09713204121203356,0.24703244910462274,0.29980081578517837,-0.780845205263192,-0.6037163038908444,0.3542578027446952,1611,0.8213817892788855,1.0546096875459154,0.4664557965340599
TEL_ONLY_A15,TEL,0.15,False,0.11632315904450685,0.3152082686421642,0.39777021919531474,-0.9895990535155441,-0.7546025265882883,0.4699930538545116,1611,1.0854422979988287,1.3795267604268857,0.5881689248561139
FIN0050_A03,FIN0050,0.03,False,0.16467945619589308,0.39872296686279673,0.4680870213338073,-1.2094480940150643,-0.9329220280428707,0.5530521319443871,1611,1.2038798130646344,1.5591712712945682,0.7105829164598676
FIN0050_A07,FIN0050,0.07,False,0.22858367490891096,0.7783654016098485,1.099563453401875,-2.2868131228955035,-1.6375025322497683,1.2986211812914705,1611,2.232702097544337,3.0529349337298117,1.6404656723709499
FIN0050_A12,FIN0050,0.12,False,-0.0007003894909152208,0.780169022102617,1.5617388231870644,-2.6563976196008476,-1.734441070844206,1.8439130975132834,1611,2.6224734110204873,3.702434512307573,2.1599222025741716
FIN0050_A15,FIN0050,0.15,False,-0.19629816328881056,0.7010795953679372,1.7947555173134955,-2.684258133366213,-1.6249029295709372,2.1187104075905516,1611,2.69752196450741,3.978080170635334,2.5611164122558483
E1BIN_A05,E1BIN,0.05,False,-0.01814368621936291,0.0,0.03628737243872582,-0.10805676966567646,-0.08661375344717337,0.04288603243700617,1611,0.12456500351831767,0.1366094905441262,0.02408897405161703
E1BIN_A10,E1BIN,0.1,False,-0.033081206521923257,0.0,0.06616241304384651,-0.12017342931477382,-0.0810773385618857,0.07819218150577623,1611,0.12836987262668798,0.15319747055390076,0.04965519585442557
E1BIN_A25,E1BIN,0.25,False,-0.08541560382674396,0.0,0.17083120765348792,-0.15094253107048594,-0.05000331450086826,0.20187843313923537,1611,0.2868461774839126,0.36140645120413817,0.1491205474404511
GATE085_A10,GATE085,0.1,False,-0.26172610960218945,0.09281743999641767,0.7090870991972142,-0.9895884029459068,-0.5707548446907573,0.8376671165102989,1611,1.1349854263870585,1.7524094059854778,1.2348479591968387
GATE085_A25,GATE085,0.25,False,-0.4279324411586516,0.128036044379487,1.1119369710762772,-1.2646731522823251,-0.6080610540836084,1.3132241963974334,1611,1.0704628207455325,1.994762690257501,1.8485997390239373
GATE090_FIN_A10,GATE090,0.1,False,-0.20888257942021093,0.12976524760045516,0.6772956540413322,-0.996817381648174,-0.596753727718613,0.800127307859122,1611,1.2882165071862461,1.8687764803666629,1.1611199463608335
REF_BLEND_A05,REF,0.05,True,0.22225024440115648,0.702410619961702,0.9603207511210909,-2.0536784087974325,-1.4865418444504397,1.1342731286939856,1611,2.0686833418786854,2.7784750941674097,1.4195835045774485
REF_FIN_ONLY_A10,REF,0.1,True,0.2854667577512848,0.9119746801036444,1.253015844704719,-2.4079056535237564,-1.6680524154453091,1.4797064761568945,1611,2.5176656414680365,3.4184805927018114,1.8016299024675497
REF_CHAL_E3,REF,1.0,True,-0.9957295412196809,1.7098029519699187,5.411064986379199,-2.6718741087920606,0.5144346847085646,6.37261758700125,1611,0.025226362316688622,4.5421428079298725,9.033832891226368
