book,year,mdd_help_pp,is_2020
TEL_ONLY_A05,2015,-0.035564985431002505,False
TEL_ONLY_A05,2018,-0.03062812165505191,False
TEL_ONLY_A05,2020,0.09574681721714606,True
TEL_ONLY_A05,2022,-0.3283277661234929,False
TEL_ONLY_A10,2015,-0.08371431899133475,False
TEL_ONLY_A10,2018,-0.03931311414157035,False
TEL_ONLY_A10,2020,0.24703244910460054,True
TEL_ONLY_A10,2022,-0.6037163038908444,False
TEL_ONLY_A15,2015,-0.13142259711785842,False
TEL_ONLY_A15,2018,-0.04407715100669396,False
TEL_ONLY_A15,2020,0.3152082686421531,True
TEL_ONLY_A15,2022,-0.7546025265882772,False
FIN0050_A03,2015,-0.06131077792774775,False
FIN0050_A03,2018,-0.04426758713423906,False
FIN0050_A03,2020,0.39872296686277453,True
FIN0050_A03,2022,-0.9329220280428818,False
FIN0050_A07,2015,-0.06046995183319748,False
FIN0050_A07,2018,0.06956779443244576,False
FIN0050_A07,2020,0.7783654016098263,True
FIN0050_A07,2022,-1.6375025322497572,False
FIN0050_A12,2015,-0.06990607554636652,False
FIN0050_A12,2018,0.2421025493782536,False
FIN0050_A12,2020,0.7801690221026059,True
FIN0050_A12,2022,-1.7344410708441949,False
FIN0050_A15,2015,-0.04943468643986426,False
FIN0050_A15,2018,0.31504913767280707,False
FIN0050_A15,2020,0.7010795953679372,True
FIN0050_A15,2022,-1.6249029295709483,False
E1BIN_A05,2015,0.0,False
E1BIN_A05,2018,0.0,False
E1BIN_A05,2020,0.0,True
E1BIN_A05,2022,-0.08661375344716227,False
E1BIN_A10,2015,0.0,False
E1BIN_A10,2018,0.0,False
E1BIN_A10,2020,0.0,True
E1BIN_A10,2022,-0.0810773385618968,False
E1BIN_A25,2015,0.0,False
E1BIN_A25,2018,0.0,False
E1BIN_A25,2020,0.0,True
E1BIN_A25,2022,-0.05000331450087936,False
GATE085_A10,2015,-0.05958301187852788,False
GATE085_A10,2018,-0.011190949067385603,False
GATE085_A10,2020,0.09281743999639547,True
GATE085_A10,2022,-0.5707548446907573,False
GATE085_A25,2015,-0.09565905191498691,False
GATE085_A25,2018,-0.011983852022756647,False
GATE085_A25,2020,0.1280360443794759,True
GATE085_A25,2022,-0.6080610540836084,False
GATE090_FIN_A10,2015,-0.030802450602118725,False
GATE090_FIN_A10,2018,-0.01342900408358716,False
GATE090_FIN_A10,2020,0.12976524760045516,True
GATE090_FIN_A10,2022,-0.596753727718613,False
REF_BLEND_E45_A05,2015,-0.0757229701511597,False
REF_BLEND_E45_A05,2018,0.062216719367691464,False
REF_BLEND_E45_A05,2020,0.7024106199616797,True
REF_BLEND_E45_A05,2022,-1.4865418444504508,False
REF_FIN_ONLY_A10,2015,-0.06311787655726153,False
REF_FIN_ONLY_A10,2018,0.17105472034134594,False
REF_FIN_ONLY_A10,2020,0.9119746801036444,True
REF_FIN_ONLY_A10,2022,-1.6680524154453091,False
REF_CHAL_E3,2015,0.8332860642873197,False
REF_CHAL_E3,2018,0.8262411823406035,False
REF_CHAL_E3,2020,1.7098029519699076,True
REF_CHAL_E3,2022,0.5144346847085646,False
