code,ex,sig,ret_hold,rnd_ret,near_season_low,k_at_sig
2880,2012-08-15,2012-10-22,0.05362776025236582,0.1081967213114754,False,10.52344414055936
2880,2013-08-15,2013-11-05,0.02052785923753664,0.032835820895522394,False,26.332556816255295
2880,2014-08-14,2014-10-20,-0.005797101449275477,0.0028169014084507005,True,26.16619305296083
2880,2015-08-13,2015-11-02,-0.015923566878980888,-0.02980132450331119,False,29.74266846503724
2880,2016-08-18,2016-11-04,0.025236593059936974,0.01552795031055898,True,24.436255867240078
2880,2017-08-17,2017-10-26,0.0030120481927708997,0.012084592145015005,False,29.886848777537292
2880,2018-08-16,2018-10-22,0.0028571428571428914,0.0512820512820511,True,22.506274342046932
2880,2019-08-15,2019-12-06,0.0092592592592593,0.0045977011494253706,False,22.810824333794162
2880,2020-08-13,2020-10-20,0.014367816091954033,0.02865329512893977,True,12.490549378577986
2880,2021-09-16,2021-11-26,0.06326034063260333,0.04433497536945796,True,28.58873475219027
2880,2022-08-11,2022-10-20,0.11274509803921573,0.020224719101123556,True,12.474134421466005
2880,2023-08-17,2023-10-24,0.08823529411764719,0.062200956937799035,True,24.240106094629944
2880,2024-08-13,2024-10-28,0.03522504892367895,0.047337278106508895,True,27.873060903722717
2880,2025-08-13,2025-10-31,0.10787671232876717,0.11754966887417218,False,26.731456155313058
2886,2012-08-08,2012-10-26,0.0616113744075828,0.04166666666666652,False,21.08660983260773
2886,2013-08-13,2013-11-06,0.039094650205761194,0.03563941299790341,False,25.803515173075372
2886,2014-08-13,2014-10-20,-0.010330578512396715,-0.05788423153692612,False,16.585847733945986
2886,2015-08-13,2015-11-06,-0.08096280087527363,-0.10816777041942605,False,28.240123780488947
2886,2016-08-15,2016-11-02,0.06976744186046502,0.05909090909090908,True,27.359463966742364
2886,2017-08-10,2017-10-30,0.002105263157894832,-0.008368200836820106,False,24.263494928671093
2886,2018-08-09,2018-10-22,-0.01338432122370925,0.02111324376199608,True,14.678170129269603
2886,2019-08-12,2019-12-03,0.06489184692179695,0.02931596091205213,False,23.55443574544903
2886,2020-08-13,2020-10-20,0.04873646209386284,-0.022260273972602662,True,24.38569338358517
2886,2022-08-11,2022-10-20,0.0667808219178081,0.01944894651539708,True,16.319659477315845
2886,2023-08-10,2023-10-25,0.05156037991858886,-0.029113924050632844,True,24.222685994917935
2886,2024-08-08,2024-10-25,-0.006426735218509005,-0.023076923076922995,True,26.83271542787938
2886,2025-08-07,2025-10-28,0.0,0.011194029850746245,False,29.22871645998527
2892,2012-08-10,2012-10-22,0.03458213256484144,-0.002849002849002913,False,21.75591753919394
2892,2013-08-02,2013-11-07,0.031073446327683607,0.0,True,26.56504137785018
2892,2014-08-01,2014-10-20,0.013812154696132506,-0.002680965147452974,True,17.67871561963556
2892,2015-07-31,2015-11-10,-0.03858520900321549,-0.05919003115264809,False,25.30585840148205
2892,2016-08-05,2016-11-03,0.042813455657492394,0.06116207951070329,True,25.9874963314626
2892,2017-08-04,2017-11-03,0.0077319587628867925,0.04960835509138395,True,29.308570211841975
2892,2018-08-10,2018-10-22,-0.002512562814070196,0.012820512820512775,True,17.25781462220918
2892,2020-08-07,2020-10-20,0.01728395061728394,0.009501187648456089,True,17.25397873794679
2892,2021-08-26,2021-11-30,0.08874458874458857,0.07359307359307365,False,26.038355325212464
2892,2022-08-04,2022-10-20,0.111578947368421,0.027027027027027195,True,14.027870464038305
2892,2023-08-11,2023-10-24,0.04615384615384621,0.04247104247104261,True,26.724944294465384
2892,2024-08-08,2024-11-11,0.029906542056074903,0.001831501831501825,True,27.25594939879517
2892,2025-08-07,2025-10-29,0.022687609075043635,0.04569420035149396,False,23.351848591118205
5880,2012-08-03,2012-10-22,0.028481012658227778,0.028481012658227778,False,16.943822886110574
5880,2013-08-14,2013-10-23,-0.0060975609756096505,0.0030674846625766694,False,26.29066553980158
5880,2014-08-19,2014-10-20,0.006269592476489061,-0.0031250000000000444,True,16.35977193028934
5880,2015-08-13,2015-11-10,-0.04255319148936165,-0.057627118644067776,False,29.07916855899551
5880,2016-08-10,2016-11-14,0.044117647058823595,0.04395604395604402,True,20.714705822233505
5880,2018-08-21,2018-10-22,0.017142857142857126,0.014005602240896309,True,24.341960684141213
5880,2019-08-14,2019-11-15,0.012048192771084265,0.002409638554216942,False,24.769810682638113
5880,2020-08-12,2020-10-20,0.017948717948718107,-0.012594458438287104,True,23.949351387155275
5880,2022-08-10,2022-10-20,0.09278350515463907,0.019120458891013437,True,17.93630596813226
5880,2023-08-09,2023-10-24,0.05742574257425748,-0.03364485981308407,True,28.16637798080597
5880,2024-08-14,2024-10-24,-0.04330708661417315,-0.04330708661417315,False,24.80642102277196
5880,2025-08-13,2025-10-29,0.029350104821803003,-0.008350730688935215,True,26.960263090376845
