code,ex,kind,low_date,dist,in_autumn,month
2880,2011-12-01,close,2012-01-16,32,False,1
2880,2011-12-01,low,2012-01-16,32,False,1
2880,2011-12-01,close,2012-01-16,32,False,1
2880,2011-12-01,low,2012-01-16,32,False,1
2880,2012-08-15,close,2012-11-21,69,True,11
2880,2012-08-15,low,2012-11-15,65,True,11
2880,2013-08-15,close,2013-08-16,1,False,8
2880,2013-08-15,low,2013-08-19,2,False,8
2880,2014-08-14,close,2014-12-17,87,False,12
2880,2014-08-14,low,2014-10-17,44,False,10
2880,2015-08-13,close,2015-08-24,7,False,8
2880,2015-08-13,low,2015-08-24,7,False,8
2880,2016-08-18,close,2016-11-11,57,True,11
2880,2016-08-18,low,2016-11-14,58,True,11
2880,2017-08-17,close,2017-08-21,2,False,8
2880,2017-08-17,low,2017-08-21,2,False,8
2880,2018-08-16,close,2018-10-29,50,True,10
2880,2018-08-16,low,2018-10-25,48,True,10
2880,2019-08-15,close,2019-08-26,7,False,8
2880,2019-08-15,low,2019-08-16,1,False,8
2880,2020-08-13,close,2020-10-30,53,True,10
2880,2020-08-13,low,2020-09-24,30,False,9
2880,2021-09-16,close,2021-10-14,17,False,10
2880,2021-09-16,low,2021-09-22,2,False,9
2880,2022-08-11,close,2022-10-19,47,False,10
2880,2022-08-11,low,2022-10-20,48,True,10
2880,2023-08-17,close,2023-10-04,33,False,10
2880,2023-08-17,low,2023-10-04,33,False,10
2880,2024-08-13,close,2024-09-04,16,False,9
2880,2024-08-13,low,2024-09-04,16,False,9
2880,2025-08-13,close,2025-08-26,9,False,8
2880,2025-08-13,low,2025-08-27,10,False,8
2886,2011-12-01,close,2011-12-20,13,False,12
2886,2011-12-01,low,2011-12-20,13,False,12
2886,2011-12-01,close,2011-12-20,13,False,12
2886,2011-12-01,low,2011-12-20,13,False,12
2886,2012-08-08,close,2012-11-15,70,True,11
2886,2012-08-08,low,2012-11-15,70,True,11
2886,2013-08-13,close,2013-08-28,10,False,8
2886,2013-08-13,low,2013-08-28,10,False,8
2886,2014-08-13,close,2014-12-17,88,False,12
2886,2014-08-13,low,2014-12-03,78,True,12
2886,2015-08-13,close,2016-01-06,100,False,1
2886,2015-08-13,low,2016-01-06,100,False,1
2886,2016-08-15,close,2016-09-01,13,False,9
2886,2016-08-15,low,2016-09-01,13,False,9
2886,2017-08-10,close,2017-12-08,84,True,12
2886,2017-08-10,low,2017-12-08,84,True,12
2886,2018-08-09,close,2018-12-26,98,False,12
2886,2018-08-09,low,2018-10-26,54,True,10
2886,2019-08-12,close,2019-08-15,3,False,8
2886,2019-08-12,low,2019-08-16,4,False,8
2886,2020-08-13,close,2020-09-24,30,False,9
2886,2020-08-13,low,2020-09-24,30,False,9
2886,2021-08-12,close,2021-08-13,1,False,8
2886,2021-08-12,low,2021-08-13,1,False,8
2886,2022-08-11,close,2022-10-19,47,False,10
2886,2022-08-11,low,2022-10-20,48,True,10
2886,2023-08-10,close,2023-08-22,8,False,8
2886,2023-08-10,low,2023-08-22,8,False,8
2886,2024-08-08,close,2024-09-04,19,False,9
2886,2024-08-08,low,2024-09-04,19,False,9
2886,2025-08-07,close,2025-11-19,70,True,11
2886,2025-08-07,low,2025-11-19,70,True,11
2892,2011-12-01,close,2011-12-19,12,False,12
2892,2011-12-01,low,2011-12-19,12,False,12
2892,2011-12-01,close,2011-12-19,12,False,12
2892,2011-12-01,low,2011-12-19,12,False,12
2892,2012-08-10,close,2012-11-16,69,True,11
2892,2012-08-10,low,2012-11-16,69,True,11
2892,2013-08-02,close,2013-08-09,5,False,8
2892,2013-08-02,low,2013-08-12,6,False,8
2892,2014-08-01,close,2014-08-08,5,False,8
2892,2014-08-01,low,2014-08-06,3,False,8
2892,2015-07-31,close,2015-12-10,91,True,12
2892,2015-07-31,low,2015-12-14,93,False,12
2892,2016-08-05,close,2016-08-22,11,False,8
2892,2016-08-05,low,2016-08-22,11,False,8
2892,2017-08-04,close,2017-08-14,6,False,8
2892,2017-08-04,low,2017-08-14,6,False,8
2892,2018-08-10,close,2018-10-25,52,True,10
2892,2018-08-10,low,2018-10-25,52,True,10
2892,2019-08-12,close,2019-08-13,1,False,8
2892,2019-08-12,low,2019-08-15,3,False,8
2892,2020-08-07,close,2020-09-24,34,False,9
2892,2020-08-07,low,2020-09-24,34,False,9
2892,2021-08-26,close,2021-09-22,17,False,9
2892,2021-08-26,low,2021-08-27,1,False,8
2892,2022-08-04,close,2022-10-19,52,False,10
2892,2022-08-04,low,2022-10-20,53,True,10
2892,2023-08-11,close,2023-10-26,51,True,10
2892,2023-08-11,low,2023-08-17,4,False,8
