sleeve,alert,window,cagr_giveback_pp,mdd_improve_pp,asof
FULL_E45_OBSERVE,ALERT: CHAL_E45_E3 ytd CAGR giveback > 3.0 pp (paper),,,,
FULL_E45_OBSERVE,PAUSE_REVIEW: ytd giveback > 5 pp — extend observe; Soft-Frozen unchanged; no stitch talk,,,,
FULL_E45_OBSERVE,ALERT: CHAL_E45_E3 trailing_1y CAGR giveback > 3.0 pp (paper),,,,
FULL_E45_OBSERVE,PAUSE_REVIEW: trailing_1y giveback > 5 pp — extend observe; Soft-Frozen unchanged; no stitch talk,,,,
FULL_E45_OBSERVE,,mtd,1012.8066362019736,0.0,2026-09-04
FULL_E45_OBSERVE,,ytd,23.22807683620185,7.228128799143452,2026-09-04
FULL_E45_OBSERVE,,trailing_1y,20.493436961884793,7.228128799143441,2026-09-04
FULL_E45_OBSERVE,,sealed_2023_plus,9.404079641637209,4.896615996512588,2026-09-04
FULL_E45_OBSERVE,,heldout_2019_plus,5.646880740978233,1.8803690923791416,2026-09-04
FULL_E45_OBSERVE,,full,2.9881957480160315,1.8803690923791305,2026-09-04
BLEND_A25_OBSERVE,ALERT: BLEND_E45_A25 ytd CAGR giveback > 3.0 pp (paper),,,,
BLEND_A25_OBSERVE,PAUSE_REVIEW: ytd giveback > 5 pp — extend observe; Soft-Frozen unchanged; no stitch talk,,,,
BLEND_A25_OBSERVE,ALERT: BLEND_E45_A25 trailing_1y CAGR giveback > 3.0 pp (paper),,,,
BLEND_A25_OBSERVE,PAUSE_REVIEW: trailing_1y giveback > 5 pp — extend observe; Soft-Frozen unchanged; no stitch talk,,,,
BLEND_A25_OBSERVE,,mtd,728.792599845714,0.0,2026-09-04
BLEND_A25_OBSERVE,,ytd,11.5541113601636,5.941594773596382,2026-09-04
BLEND_A25_OBSERVE,,trailing_1y,11.68514135660148,5.941594773596359,2026-09-04
BLEND_A25_OBSERVE,,sealed_2023_plus,4.361121602977414,5.125020932908542,2026-09-04
BLEND_A25_OBSERVE,,heldout_2019_plus,2.82777121521105,0.6305583183869867,2026-09-04
BLEND_A25_OBSERVE,,full,1.3786769522701414,0.6305583183869867,2026-09-04
