sleeve,window,asof,mdd_improve_pp,cagr_giveback_pp,flag,observe_operating
BLEND_E45_A10,ytd,2026-09-04,3.6543522255785277,6.564195533192474,PAUSE_REVIEW,False
BLEND_E45_A10,trailing_1y,2026-09-04,3.6543522255785277,6.927274929019678,PAUSE_REVIEW,False
BLEND_E45_A10,heldout_2019_plus,2026-09-04,0.799556371054333,1.5094181207245816,n/a,False
BLEND_E45_A10,sealed_2023_plus,2026-09-04,3.654352225578539,2.116729162136921,n/a,False
