cost_multiple,period,n,ret,mdd,sharpe,vol
0,E3_Validation,490,0.3111893526843192,-0.1754771084464684,1.0797340011849783,0.1381890224475825
0,Blind_2023_2025,722,0.5598937064678355,-0.15350479889205,1.226329610409698,0.134148422046459
0,Final_2026,152,0.2073449347623517,-0.0630559628410156,2.1961611428499697,0.1482314071177678
1,E3_Validation,490,0.2565768601909806,-0.1848659743145534,0.918970161218452,0.138549397943295
1,Blind_2023_2025,722,0.4633123917016977,-0.1656459251327807,1.0596780612886358,0.1341566824388166
1,Final_2026,152,0.1920519792031869,-0.0638094656200689,2.054744293514834,0.1480544102261617
2,E3_Validation,490,0.2041462187796912,-0.1941667712991557,0.7575678432138271,0.1391797974883265
2,Blind_2023_2025,722,0.3725289030706864,-0.1776382276783972,0.8908641087699497,0.134493693242941
2,Final_2026,152,0.1769295231742631,-0.0661344900985861,1.9102501709759976,0.1480894266729836
3,E3_Validation,490,0.1538139220514423,-0.2033801692494702,0.5964845667364373,0.1400765754876405
3,Blind_2023_2025,722,0.2872060359927046,-0.1894832440202148,0.721148875569269,0.1351569952868345
3,Final_2026,152,0.161975915565709,-0.0687494534866544,1.7633023040774023,0.1483363063139386
