book,alpha,scope,sleeves,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,turnover_per_year,fees_tax_sum,n_fills,book_cagr,base_cagr,book_mdd,base_mdd
BASE_E16_E18_E22_v2s,0.0,,,0,heldout_2019_plus,0.0,0.0,0.0,2.195322522131772,0.0,6119,0.18786262611011084,0.18786262611011084,-0.22420865630431908,-0.22420865630431908
BASE_E16_E18_E22_v2s,0.0,,,0,sealed_2023_plus,0.0,0.0,0.0,2.195322522131772,0.0,6119,0.255989930276151,0.255989930276151,-0.13578976506552143,-0.13578976506552143
BASE_E16_E18_E22_v2s,0.0,,,0,full,0.0,0.0,0.0,2.195322522131772,0.0,6119,0.14407208674819638,0.14407208674819638,-0.22420865630431908,-0.22420865630431908
BLEND_E45_A05,0.05,ALL,,0,heldout_2019_plus,0.6946269483974254,0.9406448486156904,0.22430452408958024,2.233820089797587,0.0,6155,0.17845617762395394,0.18786262611011084,-0.21726238682034482,-0.22420865630431908
BLEND_E45_A05,0.05,ALL,,0,sealed_2023_plus,2.6753237652790585,1.375903651763366,1.9873719393973754,2.233820089797587,0.0,6155,0.24223089375851736,0.255989930276151,-0.10903652741273084,-0.13578976506552143
BLEND_E45_A05,0.05,ALL,,0,full,0.6946269483974143,0.40998511390410997,0.48963439144535936,2.233820089797587,0.0,6155,0.13997223560915528,0.14407208674819638,-0.21726238682034493,-0.22420865630431908
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,0,heldout_2019_plus,0.6408036372050341,0.776925191362654,0.25234104152370707,2.227064995100268,0.0,6161,0.1800933741964843,0.18786262611011084,-0.21780061993226874,-0.22420865630431908
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,0,sealed_2023_plus,2.33014509021654,1.1517024527238906,1.7542938638545946,2.227064995100268,0.0,6161,0.24447290574891212,0.255989930276151,-0.11248831416335603,-0.13578976506552143
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,0,full,0.6408036372050341,0.33769755654349254,0.4719548589332878,2.227064995100268,0.0,6161,0.14069511118276146,0.14407208674819638,-0.21780061993226874,-0.22420865630431908
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,0,heldout_2019_plus,0.8632778683128839,1.2317836160515183,0.24738606028712473,2.273504523631205,0.0,6221,0.17554478994959566,0.18786262611011084,-0.21557587762119024,-0.22420865630431908
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,0,sealed_2023_plus,3.291285035951741,1.772694072049097,2.4049379999271925,2.273504523631205,0.0,6221,0.23826298955566005,0.255989930276151,-0.10287691470600402,-0.13578976506552143
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,0,full,0.8632778683128728,0.5436178342310694,0.5914689511973381,2.273504523631205,0.0,6221,0.1386359084058857,0.14407208674819638,-0.21557587762119035,-0.22420865630431908
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",0,heldout_2019_plus,0.6649535661045314,0.8683678792225091,0.2307696264932768,2.2295362107934493,0.0,6148,0.17917894731788575,0.18786262611011084,-0.21755912064327376,-0.22420865630431908
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",0,sealed_2023_plus,2.5436692618717394,1.2685618833224943,1.9093883202104922,2.2295362107934493,0.0,6148,0.24330431144292608,0.255989930276151,-0.11035307244680403,-0.13578976506552143
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",0,full,0.6649535661045203,0.3834659046858757,0.4732206137615824,2.2295362107934493,0.0,6148,0.14023742770133762,0.14407208674819638,-0.21755912064327387,-0.22420865630431908
BASE_E16_E18_E22_v2s,0.0,,,1,heldout_2019_plus,0.0,0.0,0.0,2.18569227557563,391684.7088881098,6104,0.18203522229472702,0.18203522229472702,-0.2254334443782552,-0.2254334443782552
BASE_E16_E18_E22_v2s,0.0,,,1,sealed_2023_plus,0.0,0.0,0.0,2.18569227557563,391684.7088881098,6104,0.2488922261012192,0.2488922261012192,-0.14087148125010163,-0.14087148125010163
BASE_E16_E18_E22_v2s,0.0,,,1,full,0.0,0.0,0.0,2.18569227557563,391684.7088881098,6104,0.13789395672938531,0.13789395672938531,-0.22543344437825508,-0.22543344437825508
BLEND_E45_A05,0.05,ALL,,1,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,2.233277734222544,400183.75862767885,6175,0.1724320147835161,0.18203522229472702,-0.21840933817863817,-0.2254334443782552
BLEND_E45_A05,0.05,ALL,,1,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,2.233277734222544,400183.75862767885,6175,0.2346963910554447,0.2488922261012192,-0.11308673030842753,-0.14087148125010163
BLEND_E45_A05,0.05,ALL,,1,full,0.7024106199616909,0.42342237927519566,0.490699430324093,2.233277734222544,400183.75862767885,6175,0.13365973293663336,0.13789395672938531,-0.21840933817863817,-0.22543344437825508
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,1,heldout_2019_plus,0.6421180471372079,0.7617617615311323,0.26123716637164174,2.217004591466903,397541.57021842874,6105,0.1744176046794157,0.18203522229472702,-0.2190122639068831,-0.2254334443782552
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,1,sealed_2023_plus,2.3595688541433346,1.1396887202211659,1.7897244940327517,2.217004591466903,397541.57021842874,6105,0.23749533889900754,0.2488922261012192,-0.11727579270866828,-0.14087148125010163
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,1,full,0.6421180471372079,0.33598221150605845,0.47412694138417866,2.217004591466903,397541.57021842874,6105,0.13453413461432473,0.13789395672938531,-0.219012263906883,-0.22543344437825508
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,1,heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,2.265940532357012,405612.14461244736,6231,0.16950506384767983,0.18203522229472702,-0.21631369757721874,-0.2254334443782552
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,1,sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,2.265940532357012,405612.14461244736,6231,0.2308759270765437,0.2488922261012192,-0.10668667532308351,-0.14087148125010163
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,1,full,0.9119746801036444,0.5604244367688915,0.6317624617191986,2.265940532357012,405612.14461244736,6231,0.1322897123616964,0.13789395672938531,-0.21631369757721863,-0.22543344437825508
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",1,heldout_2019_plus,0.6596669796110177,0.8521528111249177,0.23359057404855887,2.2201527929329408,398095.6156074076,6115,0.17351369418347784,0.18203522229472702,-0.218836774582145,-0.2254334443782552
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",1,sealed_2023_plus,2.581359990388288,1.2725197539510846,1.9451001134127455,2.2201527929329408,398095.6156074076,6115,0.23616702856170835,0.2488922261012192,-0.11505788134621875,-0.14087148125010163
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",1,full,0.6596669796109955,0.37815557596638794,0.47058919162780155,2.2201527929329408,398095.6156074076,6115,0.13411240096972143,0.13789395672938531,-0.21883677458214512,-0.22543344437825508
BASE_E16_E18_E22_v2s,0.0,,,2,heldout_2019_plus,0.0,0.0,0.0,2.1781887970938945,746243.4866161725,6121,0.17628281683062874,0.17628281683062874,-0.226955650132887,-0.226955650132887
BASE_E16_E18_E22_v2s,0.0,,,2,sealed_2023_plus,0.0,0.0,0.0,2.1781887970938945,746243.4866161725,6121,0.24200513903064214,0.24200513903064214,-0.14445484782247153,-0.14445484782247153
BASE_E16_E18_E22_v2s,0.0,,,2,full,0.0,0.0,0.0,2.1781887970938945,746243.4866161725,6121,0.13174310802986677,0.13174310802986677,-0.2269556501328871,-0.2269556501328871
BLEND_E45_A05,0.05,ALL,,2,heldout_2019_plus,0.7366110395178094,0.9660298204434037,0.25359612929610753,2.225674480040662,763092.3348075293,6158,0.1666225186261947,0.17628281683062874,-0.2195895397377089,-0.226955650132887
BLEND_E45_A05,0.05,ALL,,2,sealed_2023_plus,2.6803988168110915,1.4227910337783145,1.9690032999219342,2.225674480040662,763092.3348075293,6158,0.227777228692859,0.24200513903064214,-0.11765085965436062,-0.14445484782247153
BLEND_E45_A05,0.05,ALL,,2,full,0.7366110395178094,0.4272517314494628,0.522985173793078,2.225674480040662,763092.3348075293,6158,0.12747059071537215,0.13174310802986677,-0.219589539737709,-0.2269556501328871
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,2,heldout_2019_plus,0.6529116922903477,0.7967520540599571,0.2545356652603692,2.219860196671922,760834.4190218586,6137,0.16831529629002917,0.17628281683062874,-0.2204265332099835,-0.226955650132887
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,2,sealed_2023_plus,2.320489323423247,1.1984198530185397,1.7212793969139772,2.219860196671922,760834.4190218586,6137,0.23002094050045674,0.24200513903064214,-0.12124995458823906,-0.14445484782247153
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,2,full,0.6529116922903477,0.3561456279614461,0.4748388783096247,2.219860196671922,760834.4190218586,6137,0.1281816517502523,0.13174310802986677,-0.22042653320998362,-0.2269556501328871
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,2,heldout_2019_plus,0.964108002428965,1.2892893769133718,0.3194633139722791,2.2583892035879405,772298.401499703,6176,0.16338992306149502,0.17628281683062874,-0.21731457010859734,-0.226955650132887
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,2,sealed_2023_plus,3.3986440938879703,1.8670326458963604,2.46512777093979,2.2583892035879405,772298.401499703,6176,0.22333481257167853,0.24200513903064214,-0.11046840688359183,-0.14445484782247153
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,2,full,0.9641080024289872,0.5875981457069024,0.670308929575536,2.2583892035879405,772298.401499703,6176,0.12586712657279775,0.13174310802986677,-0.21731457010859723,-0.2269556501328871
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",2,heldout_2019_plus,0.6728244028281871,0.8458093998809479,0.24991970288771315,2.2193139632091574,760999.1902930286,6103,0.16782472283181926,0.17628281683062874,-0.22022740610460512,-0.226955650132887
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",2,sealed_2023_plus,2.4752360757089864,1.2675492762628027,1.841461437577585,2.2193139632091574,760999.1902930286,6103,0.2293296462680141,0.24200513903064214,-0.11970248706538167,-0.14445484782247153
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",2,full,0.6728244028282093,0.3780509650538777,0.4837989203012705,2.2193139632091574,760999.1902930286,6103,0.127962598379328,0.13174310802986677,-0.220227406104605,-0.2269556501328871
BASE_E16_E18_E22_v2s,0.0,,,3,heldout_2019_plus,0.0,0.0,0.0,2.1763805022912925,1071121.9063740014,6105,0.1707297752219452,0.1707297752219452,-0.22881748058361306,-0.22881748058361306
BASE_E16_E18_E22_v2s,0.0,,,3,sealed_2023_plus,0.0,0.0,0.0,2.1763805022912925,1071121.9063740014,6105,0.23499216132394207,0.23499216132394207,-0.14972218287494565,-0.14972218287494565
BASE_E16_E18_E22_v2s,0.0,,,3,full,0.0,0.0,0.0,2.1763805022912925,1071121.9063740014,6105,0.12580370452487655,0.12580370452487655,-0.22881748058361318,-0.22881748058361318
BLEND_E45_A05,0.05,ALL,,3,heldout_2019_plus,0.7562688169570397,0.9925323484194726,0.26000264274730345,2.215592797383246,1090070.964962673,6132,0.1608044517377505,0.1707297752219452,-0.22125479241404267,-0.22881748058361306
BLEND_E45_A05,0.05,ALL,,3,sealed_2023_plus,2.7724925625807972,1.4821151785098463,2.031434973325874,2.215592797383246,1090070.964962673,6132,0.2201710095388436,0.23499216132394207,-0.12199725724913768,-0.14972218287494565
BLEND_E45_A05,0.05,ALL,,3,full,0.7562688169570397,0.45254457992529584,0.5299965269943918,2.215592797383246,1090070.964962673,6132,0.12127825872562359,0.12580370452487655,-0.22125479241404278,-0.22881748058361318
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,3,heldout_2019_plus,0.6863541327214784,0.8021615263816617,0.2852733695306475,2.2116948405966315,1087894.7003664807,6119,0.1627081599581286,0.1707297752219452,-0.22195393925639828,-0.22881748058361306
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,3,sealed_2023_plus,2.340738415124499,1.1712524770865818,1.7551121765812083,2.2116948405966315,1087894.7003664807,6119,0.22327963655307626,0.23499216132394207,-0.12631479872370066,-0.14972218287494565
FIN_ONLY_A05,0.05,FIN_ONLY,Financial,3,full,0.6863541327215006,0.3680091010547448,0.5023495821941282,2.2116948405966315,1087894.7003664807,6119,0.1221236135143291,0.12580370452487655,-0.22195393925639817,-0.22881748058361318
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,3,heldout_2019_plus,1.0328273999026583,1.3355416084149585,0.365056595695179,2.2557920286839734,1106138.437127895,6187,0.15737435913779563,0.1707297752219452,-0.21848920658458648,-0.22881748058361306
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,3,sealed_2023_plus,3.5611869258790785,1.8887937221058415,2.6167900648261577,2.2557920286839734,1106138.437127895,6187,0.21610422410288366,0.23499216132394207,-0.11411031361615487,-0.14972218287494565
SLEEVE_FIN_ONLY_A10,0.1,FIN_ONLY,Financial,3,full,1.0328273999026694,0.6258234020694031,0.7199156988679678,2.2557920286839734,1106138.437127895,6187,0.11954547050418252,0.12580370452487655,-0.21848920658458648,-0.22881748058361318
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",3,heldout_2019_plus,0.7098878138898534,0.8615685052889788,0.27910356124536406,2.2140333802198784,1089016.8332040422,6097,0.16211409016905542,0.1707297752219452,-0.22171860244471453,-0.22881748058361306
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",3,sealed_2023_plus,2.5242732698561365,1.2568715376193085,1.8958375010464823,2.2140333802198784,1089016.8332040422,6097,0.222423445947749,0.23499216132394207,-0.12447945017638429,-0.14972218287494565
FIN_0050_A05,0.05,FIN_0050,"Financial,0050",3,full,0.7098878138898868,0.39765968034672916,0.5110579737165222,2.2140333802198784,1089016.8332040422,6097,0.12182710772140926,0.12580370452487655,-0.2217186024447143,-0.22881748058361318
