book,kind,mode,cut,def_code,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_mdd_improve_pp,covid_ex_cagr_giveback_pp,covid_ex_score,help_2015_pp,help_2018_pp,help_2020_pp,help_2022_pp,years_helped,n_years_helped,turnover_per_year,fees_tax_sum
BASE_E16_E18_E22_v2s,ref,,,,1,heldout_2019_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BASE_E16_E18_E22_v2s,ref,,,,1,sealed_2023_plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BASE_E16_E18_E22_v2s,ref,,,,1,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2.18569227557563,391684.7088881098
BLEND_E45_A05,ref_e45,,,,1,heldout_2019_plus,0.702410619961702,0.9603207511210909,0.22225024440115648,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
BLEND_E45_A05,ref_e45,,,,1,sealed_2023_plus,2.7784750941674097,1.4195835045774485,2.0686833418786854,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
BLEND_E45_A05,ref_e45,,,,1,full,0.7024106199616909,0.42342237927519566,0.490699430324093,-1.4865418444504397,1.1342731286939856,-2.0536784087974325,-0.0757229701511486,0.062216719367702567,0.7024106199616909,-1.4865418444504397,2020,1,2.233277734222544,400183.75862767885
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,,1,heldout_2019_plus,0.9119746801036444,1.253015844704719,0.2854667577512848,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,,1,sealed_2023_plus,3.4184805927018114,1.8016299024675497,2.5176656414680365,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
SLEEVE_FIN_ONLY_A10,ref_e45_sleeve,,,,1,full,0.9119746801036444,0.5604244367688915,0.6317624617191986,-1.6680524154453091,1.4797064761568945,-2.4079056535237564,-0.06311787655725043,0.17105472034134594,0.9119746801036666,-1.668052415445298,2020,1,2.265940532357012,405612.14461244736
M2_SHRINK_C50,m2_shrink,SHRINK,0.5,,1,heldout_2019_plus,5.354807914755244,6.002039703485207,2.3537880630126407,2.831788936594859,7.065834538839333,-0.7011283328248075,2.2800183806319763,1.3671429597266749,5.3548079147552325,2.831788936594859,"2015,2018,2020,2022",4,3.652030667183624,590274.6200734263
