date,nav,cost,exposure
2004-02-11,1.0,0.0,1.0
2004-02-12,0.9839988424015655,0.0006839999999999999,1.0
2004-02-13,1.0299591668969694,0.0,1.0
2004-02-16,1.0478615434353509,0.0,1.0
2004-02-17,1.0580290701769932,0.0,1.0
2004-02-18,1.0336612381930244,0.0,1.0
2004-02-19,1.0568209888773357,0.0,1.0
2004-02-20,1.0539116737145002,0.0,1.0
2004-02-23,1.0553522763877732,0.0,1.0
2004-02-24,1.0501316800275386,0.0,1.0
2004-02-25,1.0536471305325443,0.0,1.0
2004-02-26,1.0543406472115189,0.0,1.0
2004-02-27,1.0741085432138975,0.0,1.0
2004-03-01,1.1133570474125016,0.0,1.0
2004-03-02,1.1142190081564851,0.0,1.0
2004-03-03,1.1095977212757417,0.0,1.0
2004-03-04,1.1261957236263906,0.0,1.0
2004-03-05,1.0968406339678405,0.0,1.0
2004-03-08,1.083294717479559,0.0,1.0
2004-03-09,1.1018045944012755,0.0,1.0
2004-03-10,1.0860611735467431,0.0,1.0
2004-03-11,1.085640229720409,0.0,1.0
2004-03-12,1.0820289456793697,0.0,1.0
2004-03-15,1.035969310557044,0.0,1.0
2004-03-16,1.0297823595593274,0.0,1.0
2004-03-17,1.0236267088105884,0.0,1.0
2004-03-18,1.0525283880742942,0.0,1.0
2004-03-19,1.0418603500533545,0.0,1.0
2004-03-22,0.9859380346710247,0.0,1.0
2004-03-23,0.9758827572924273,0.0,1.0
2004-03-24,0.9742527925314628,0.0,1.0
2004-03-25,0.9697795958176865,0.0,1.0
2004-03-26,0.9573165882336369,0.0,1.0
2004-03-29,1.0043697920505836,0.0,1.0
2004-03-30,1.0155788627594977,0.0,1.0
2004-03-31,1.0221660660655474,0.0,1.0
2004-04-01,1.0112221785440334,0.0,1.0
2004-04-02,1.0205634530247794,0.0,1.0
2004-04-05,1.0303402679514766,0.0,1.0
2004-04-06,1.0215234786112823,0.0,1.0
2004-04-07,1.026227655953207,0.0,1.0
2004-04-08,1.0391604903607465,0.0,1.0
2004-04-09,1.0313940747443486,0.0,1.0
2004-04-12,1.0602729161923063,0.0,1.0
2004-04-13,1.0602246425477224,0.0,1.0
2004-04-14,1.0545567420239874,0.0,1.0
2004-04-15,1.033716768718375,0.0,1.0
2004-04-16,1.045777288040163,0.0,1.0
2004-04-19,1.0398581279150363,0.0,1.0
2004-04-20,1.0492209233049445,0.0,1.0
2004-04-21,1.0672540879615293,0.0,1.0
2004-04-22,1.0490002824753724,0.0,1.0
2004-04-23,1.0490662108337265,0.0,1.0
2004-04-26,1.0425027540601042,0.0,1.0
2004-04-27,1.0447543896734122,0.0,1.0
2004-04-28,1.0469240418127135,0.0,1.0
2004-04-29,1.0080543480985489,0.0,1.0
2004-04-30,0.9810787187959017,0.0,1.0
2004-05-03,0.9688740910281681,0.0,1.0
2004-05-04,0.9886684274462836,0.0,1.0
2004-05-05,0.9443101031191208,0.0,0.5
2004-05-06,0.9602144790142618,0.0015419999999999998,0.5
2004-05-07,0.9675206843100136,0.0,0.5
2004-05-10,0.9548576331935178,0.0,0.5
2004-05-11,0.9588796251962471,0.0002355,0.5
2004-05-12,0.9577158975910333,0.0,0.5
2004-05-13,0.9549205299930571,0.0,0.5
2004-05-14,0.9514538696087529,0.0,0.5
2004-05-17,0.9341602112239026,0.0,0.5
2004-05-18,0.9403542440245234,0.0,0.5
2004-05-19,0.9593730157877213,0.0,0.5
2004-05-20,0.9525851496555372,0.0,0.5
2004-05-21,0.9618501690547404,0.0,0.5
2004-05-24,0.9579397123637142,0.0,0.5
2004-05-25,0.9553843285397048,0.0,0.5
2004-05-26,0.9652350660872405,0.0,0.5
2004-05-27,0.9689670812605738,0.0,0.5
2004-05-28,0.9740943303149768,0.0,0.5
2004-05-31,0.9629450448331295,0.0,0.5
2004-06-01,0.9651686644050956,0.0,0.5
2004-06-02,0.9585929649552808,0.0,0.5
2004-06-03,0.943383374444589,0.0,0.5
2004-06-04,0.9477420416247643,0.0,0.5
2004-06-07,0.9699788172651465,0.0,0.5
2004-06-08,0.9730528171572643,0.0,0.5
2004-06-09,0.9735511998620877,0.0015494999999999999,0.525
2004-06-10,0.969059575870281,1.2150000000000028e-05,0.525
2004-06-11,0.9654398392626118,0.0,0.525
2004-06-14,0.9583829843730137,0.0,0.525
2004-06-15,0.9639740666374984,0.0,0.525
2004-06-16,0.9568884104817357,0.0,0.5
2004-06-17,0.9619215096597783,5.478157894736855e-05,0.5
2004-06-18,0.9577160103195574,0.0,0.5
2004-06-21,0.961223484130776,0.0,0.5
2004-06-23,0.9716271687291052,0.0,0.5
2004-06-24,0.9696821747000752,0.0,0.525
2004-06-25,0.9681667003425908,1.2150000000000028e-05,0.525
2004-06-28,0.9613478861938386,0.0,0.525
2004-06-29,0.9656537135036122,0.0,0.525
2004-06-30,0.9684473743440256,0.0,0.525
2004-07-01,0.9688142057512285,0.0,0.5021851674875014
