window,strategy,n,ret,mdd,sharpe,vol
Train_2010_2018,D_FORMAL_ROUTER,2223,0.7448494626960847,-0.30916993190497,0.4613933958027462,0.1670821200530671
Train_2010_2018,E45_PASSTHROUGH,2223,0.7448494626960847,-0.30916993190497,0.4613933958027462,0.1670821200530671
Train_2010_2018,E45_E3_VOLTARGET_WINNER,2223,0.6376908880908094,-0.21546905094202862,0.5158772838210439,0.12316267275120213
Train_2010_2018,E45_E1_BINARY,2223,0.776321202499549,-0.2565197129964143,0.5148363516142617,0.14780007165212236
Validation_2019_2022,D_FORMAL_ROUTER,977,0.5274201741901383,-0.2408839901932598,0.8055680351901076,0.1497201248237837
Validation_2019_2022,E45_PASSTHROUGH,977,0.5274201741901383,-0.2408839901932598,0.8055680351901076,0.1497201248237837
Validation_2019_2022,E45_E3_VOLTARGET_WINNER,977,0.38574732683043567,-0.20215011369699953,0.7596745920050731,0.12046724823065673
Validation_2019_2022,E45_E1_BINARY,977,0.4657387999445104,-0.2262606804442232,0.788368124821438,0.13720899613641943
Blind_2023_2025,D_FORMAL_ROUTER,722,0.5044368083436825,-0.1644231781843184,1.0450321212314373,0.14708235240186918
Blind_2023_2025,E45_PASSTHROUGH,722,0.5044368083436825,-0.1644231781843184,1.0450321212314373,0.14708235240186918
Blind_2023_2025,E45_E3_VOLTARGET_WINNER,722,0.36579886525561545,-0.14944234615265506,0.9139161413152085,0.12833660714198328
Blind_2023_2025,E45_E1_BINARY,722,0.48426945425743395,-0.14124067519871275,1.0829812305948228,0.13617772114959945
Final_2026,D_FORMAL_ROUTER,152,0.26393229892471415,-0.0747237039827805,2.210027834218879,0.18462821150456027
Final_2026,E45_PASSTHROUGH,152,0.26393229892471415,-0.0747237039827805,2.210027834218879,0.18462821150456027
Final_2026,E45_E3_VOLTARGET_WINNER,152,0.19566468149491056,-0.06758883376372182,2.0824799910461613,0.1485348507032541
Final_2026,E45_E1_BINARY,152,0.26393229892471437,-0.07472370398278039,2.210027834218882,0.18462821150456027
Crisis_2008_2009,D_FORMAL_ROUTER,498,0.1712295069043408,-0.584376115709752,0.39989025835055775,0.39968792324522373
Crisis_2008_2009,E45_PASSTHROUGH,498,0.1712295069043408,-0.584376115709752,0.39989025835055775,0.39968792324522373
Crisis_2008_2009,E45_E3_VOLTARGET_WINNER,498,0.13980658579857952,-0.3727235683236667,0.411081825358042,0.22032289312805564
Crisis_2008_2009,E45_E1_BINARY,498,0.3187039160575824,-0.41327229138707744,0.6126470291226885,0.304408166639994
Full,D_FORMAL_ROUTER,5313,4.98578440039155,-0.584376115709752,0.5276091293551162,0.1981604184717047
Full,E45_PASSTHROUGH,5313,4.98578440039155,-0.584376115709752,0.5276091293551162,0.1981604184717047
Full,E45_E3_VOLTARGET_WINNER,5313,3.203957757017739,-0.3727235683236667,0.5637901787875877,0.13769118704841113
Full,E45_E1_BINARY,5313,5.275159251400595,-0.41327229138707744,0.5985629010374605,0.16967461972901182
