window,start,end,n_days,base_cagr,base_mdd,chal_cagr,chal_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end,challenger
mtd,2026-09-01,2026-09-16,12,4.944724548304135,-0.005073224057777437,5.27169183422264,-0.01102137633068545,-0.5948152272908014,-32.696728591850466,1.002339881982803,FIN_RS_SOFT_TILT_EXDIV
ytd,2026-01-01,2026-09-16,170,0.6249579540722041,-0.07085031675275755,0.6339510447575858,-0.1021092891737796,-3.1258972421022047,-0.8993090685381677,1.0037081558233565,FIN_RS_SOFT_TILT_EXDIV
trailing_1y,2025-09-16,2026-09-16,242,0.42694907953178696,-0.07085031675275766,0.46415168831821174,-0.1021092891737797,-3.1258972421022047,-3.7202608786424785,1.0249193346459597,FIN_RS_SOFT_TILT_EXDIV
heldout_2019_plus,2019-01-01,2026-09-16,1864,0.15431466037852415,-0.24901506739784063,0.15506748094303235,-0.2434785604923464,0.5536506905494232,-0.07528205645082053,1.0048315340487757,FIN_RS_SOFT_TILT_EXDIV
sealed_2023_plus,2023-01-01,2026-09-16,887,0.20200824298757492,-0.10448421345142611,0.2247507236631583,-0.1021092891737796,0.23749242776465174,-2.2742480675583376,1.0681201702022904,FIN_RS_SOFT_TILT_EXDIV
full,2012-12-04,2026-09-16,3359,0.12385841487439175,-0.24901506739784052,0.12086273727798513,-0.2434785604923465,0.553650690549401,0.29956775964066207,0.9650584017873577,FIN_RS_SOFT_TILT_EXDIV
mtd,2026-09-01,2026-09-16,12,4.944724548304135,-0.005073224057777437,5.634391528823106,-0.0032082570619913486,0.18649669957860882,-68.96669805189708,1.0048027279592187,MIX_L75
ytd,2026-01-01,2026-09-16,170,0.6249579540722041,-0.07085031675275755,0.6367306830857014,-0.07072672390326729,0.012359284949026161,-1.177272901349724,1.0048529338197492,MIX_L75
trailing_1y,2025-09-16,2026-09-16,242,0.42694907953178696,-0.07085031675275766,0.4370242259533803,-0.0707267239032674,0.012359284949026161,-1.007514642159335,1.0067513811385629,MIX_L75
heldout_2019_plus,2019-01-01,2026-09-16,1864,0.15431466037852415,-0.24901506739784063,0.15787873246614792,-0.24989271625516107,-0.08776488573204455,-0.3564072087623771,1.0230527848925342,MIX_L75
sealed_2023_plus,2023-01-01,2026-09-16,887,0.20200824298757492,-0.10448421345142611,0.21194219366232225,-0.09444643615825099,1.003777729317512,-0.9933950674747338,1.029360138819094,MIX_L75
full,2012-12-04,2026-09-16,3359,0.12385841487439175,-0.24901506739784052,0.12539664741140566,-0.24989271625516107,-0.08776488573205565,-0.1538232537013906,1.0183931984849521,MIX_L75
mtd,2026-09-01,2026-09-16,12,4.944724548304135,-0.005073224057777437,6.283550207762418,-0.009311955303689445,-0.42387312459120086,-133.88256594582825,1.0089055168711771,KD_OPT
ytd,2026-01-01,2026-09-16,170,0.6249579540722041,-0.07085031675275755,0.6455624519203695,-0.11789581640515545,-4.70454996523979,-2.0604497848165426,1.0084860054658973,KD_OPT
trailing_1y,2025-09-16,2026-09-16,242,0.42694907953178696,-0.07085031675275766,0.48349030748022725,-0.11789581640515534,-4.704549965239768,-5.65412279484403,1.0378619169338579,KD_OPT
heldout_2019_plus,2019-01-01,2026-09-16,1864,0.15431466037852415,-0.24901506739784063,0.16249652257194325,-0.2592133802126809,-1.0198312814840294,-0.8181862193419098,1.053603554058619,KD_OPT
sealed_2023_plus,2023-01-01,2026-09-16,887,0.20200824298757492,-0.10448421345142611,0.23701985197838304,-0.11789581640515556,-1.3411602953729451,-3.501160899080813,1.1062166888383074,KD_OPT
full,2012-12-04,2026-09-16,3359,0.12385841487439175,-0.24901506739784052,0.12764775409030005,-0.25921338021268103,-1.0198312814840516,-0.3789339215908294,1.0458751208724215,KD_OPT
