window,start,end,n_days,base_cagr,base_mdd,mdd_improve_pp,cagr_giveback_pp,rel_nav_end,fin_rs_soft_tilt_exdiv_cagr,fin_rs_soft_tilt_exdiv_mdd
mtd,2026-09-01,2026-09-11,9,8.69284643365904,-0.013498348489398238,0.21383855586825096,66.60265852901048,0.9977426151236379,8.026819848368936,-0.011359962930715728
ytd,2026-01-01,2026-09-11,167,0.7425205801455577,-0.13969427823982672,2.5939580096013604,4.790313540770663,0.9818050293370209,0.694617444737851,-0.11375469814381312
trailing_1y,2025-09-11,2026-09-11,242,0.5643493839644675,-0.13969427823982683,2.5939580096013715,5.45836009078573,0.9666051406344968,0.5097657830566102,-0.11375469814381312
sealed_2023_plus,2023-01-01,2026-09-11,884,0.25929443008444,-0.13969427823982683,2.5939580096013826,1.4185661519003467,0.9610821433679987,0.2451087685654365,-0.113754698143813
heldout_2019_plus,2019-01-01,2026-09-11,1861,0.18649011567030072,-0.22386722284139682,0.8926195082533894,0.9929627703258559,0.9398542722086517,0.17656048796704216,-0.21494102775886292
full,2012-12-04,2026-09-11,3356,0.14072009651362993,-0.22386722284139682,0.8926195082533894,0.57888183503918,0.9345089638253608,0.13493127816323813,-0.21494102775886292
