date,code,open,high,low,close,adj_close,volume,source,source_symbol,currency,proxy_class
2010-01-04,BIL,91.69999694824219,91.72000122070312,91.68000030517578,91.69999694824219,73.2247314453125,192800,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-05,BIL,91.69999694824219,91.72000122070312,91.68000030517578,91.68000030517578,73.20873260498047,105600,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-06,BIL,91.68000030517578,91.69999694824219,91.68000030517578,91.68000030517578,73.20873260498047,450300,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-07,BIL,91.68000030517578,91.69999694824219,91.68000030517578,91.68000030517578,73.20873260498047,264350,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-08,BIL,91.69999694824219,91.69999694824219,91.68000030517578,91.68000030517578,73.20873260498047,116700,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-11,BIL,91.68000030517578,91.69999694824219,91.68000030517578,91.68000030517578,73.20873260498047,131100,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-12,BIL,91.69999694824219,91.69999694824219,91.68000030517578,91.68000030517578,73.20873260498047,142400,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-13,BIL,91.69999694824219,91.72000122070312,91.68000030517578,91.72000122070312,73.24068450927734,133300,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-14,BIL,91.69999694824219,91.72000122070312,91.69999694824219,91.69999694824219,73.2247314453125,53300,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-15,BIL,91.69999694824219,91.72000122070312,91.69999694824219,91.69999694824219,73.2247314453125,83700,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-19,BIL,91.72000122070312,91.72000122070312,91.69999694824219,91.69999694824219,73.2247314453125,61250,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-20,BIL,91.72000122070312,91.72000122070312,91.69999694824219,91.69999694824219,73.2247314453125,76500,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-21,BIL,91.69999694824219,91.72000122070312,91.69999694824219,91.69999694824219,73.2247314453125,188900,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-22,BIL,91.72000122070312,91.72000122070312,91.69999694824219,91.69999694824219,73.2247314453125,103850,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-25,BIL,91.72000122070312,91.72000122070312,91.66000366210938,91.72000122070312,73.24068450927734,132000,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-26,BIL,91.72000122070312,91.72000122070312,91.68000030517578,91.72000122070312,73.24068450927734,136000,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-27,BIL,91.68000030517578,91.73999786376953,91.68000030517578,91.73999786376953,73.25668334960938,406850,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-28,BIL,91.69999694824219,91.73999786376953,91.69999694824219,91.72000122070312,73.24068450927734,117500,Yahoo Finance,BIL,USD,usd_cash_like
2010-01-29,BIL,91.72000122070312,91.73999786376953,91.69999694824219,91.73999786376953,73.25668334960938,190750,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-01,BIL,91.69999694824219,91.73999786376953,91.69999694824219,91.72000122070312,73.24068450927734,364350,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-02,BIL,91.72000122070312,91.73999786376953,91.69999694824219,91.69999694824219,73.2247314453125,170950,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-03,BIL,91.73999786376953,91.76000213623047,91.72000122070312,91.73999786376953,73.25668334960938,739400,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-04,BIL,91.72000122070312,91.73999786376953,91.72000122070312,91.73999786376953,73.25668334960938,155750,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-05,BIL,91.69999694824219,91.73999786376953,91.69999694824219,91.73999786376953,73.25668334960938,685400,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-08,BIL,91.72000122070312,91.73999786376953,91.72000122070312,91.73999786376953,73.25668334960938,215150,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-09,BIL,91.73999786376953,91.73999786376953,91.72000122070312,91.73999786376953,73.25668334960938,314850,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-10,BIL,91.72000122070312,91.73999786376953,91.69999694824219,91.73999786376953,73.25668334960938,233950,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-11,BIL,91.73999786376953,91.73999786376953,91.72000122070312,91.73999786376953,73.25668334960938,109900,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-12,BIL,91.73999786376953,91.73999786376953,91.72000122070312,91.73999786376953,73.25668334960938,144400,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-16,BIL,91.73999786376953,91.73999786376953,91.72000122070312,91.73999786376953,73.25668334960938,155950,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-17,BIL,91.73999786376953,91.73999786376953,91.68000030517578,91.68000030517578,73.20873260498047,338900,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-18,BIL,91.69999694824219,91.72000122070312,91.69999694824219,91.72000122070312,73.24068450927734,103800,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-19,BIL,91.72000122070312,91.72000122070312,91.68000030517578,91.68000030517578,73.20873260498047,287550,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-22,BIL,91.72000122070312,91.72000122070312,91.69999694824219,91.72000122070312,73.24068450927734,170250,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-23,BIL,91.72000122070312,91.72000122070312,91.68000030517578,91.68000030517578,73.20873260498047,86850,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-24,BIL,91.69999694824219,91.72000122070312,91.68000030517578,91.72000122070312,73.24068450927734,144950,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-25,BIL,91.69999694824219,91.72000122070312,91.69999694824219,91.72000122070312,73.24068450927734,67250,Yahoo Finance,BIL,USD,usd_cash_like
2010-02-26,BIL,91.69999694824219,91.72000122070312,91.68000030517578,91.72000122070312,73.24068450927734,104250,Yahoo Finance,BIL,USD,usd_cash_like
2010-03-01,BIL,91.72000122070312,91.72000122070312,91.68000030517578,91.68000030517578,73.20873260498047,265300,Yahoo Finance,BIL,USD,usd_cash_like
