date,generated_at_utc,data_max_date,regime,score_financial,score_telecom,score_0050,e19_points,e19_alert,e20_confirmations,e20_streak,e16_financial,e16_telecom,e16_0050,e20_financial,e20_telecom,e20_0050
2026-08-24,2026-09-08T00:51:54.587142+00:00,2026-08-24,Crisis,0.37193833145512,-0.1541423891705947,-0.2177959422845253,1,False,2,0,0.6586994606191088,0.3074378163576171,0.033862723023274,0.6586994606191088,0.3074378163576171,0.033862723023274
2026-08-25,2026-09-08T00:51:55.260389+00:00,2026-08-25,Crisis,0.255229225018728,-0.0654602418928413,-0.1897689831258868,1,False,2,0,0.6586994606191088,0.3074378163576171,0.033862723023274,0.6586994606191088,0.3074378163576171,0.033862723023274
2026-08-26,2026-09-08T00:51:55.953983+00:00,2026-08-26,Sideways,0.1474205419620445,-0.0994252735342825,-0.0479952684277619,1,False,2,0,0.7102101090133827,0.2530927304298557,0.0366971605567614,0.7102101090133827,0.2530927304298557,0.0366971605567614
2026-08-27,2026-09-08T00:51:56.625361+00:00,2026-08-27,Sideways,0.1089805136466243,-0.081923805706775,-0.0270567079398493,1,False,2,0,0.7478820946012026,0.2127714526797224,0.0393464527190748,0.7478820946012026,0.2127714526797224,0.0393464527190748
2026-08-28,2026-09-08T00:51:57.302543+00:00,2026-08-28,Bull,-0.1328263526995829,-0.0342580655108901,0.1670844182104729,0,False,2,0,0.7700909121334123,0.1712221378720195,0.0586869499945679,0.7700909121334123,0.1712221378720195,0.0586869499945679
2026-08-31,2026-09-08T00:51:57.984715+00:00,2026-08-31,Bull,0.1999055418320601,-0.1939901650674131,-0.0059153767646472,1,False,2,0,0.7950658226458608,0.1360668492773293,0.0688673280768098,0.7950658226458608,0.1360668492773293,0.0688673280768098
2026-09-01,2026-09-08T00:51:58.675569+00:00,2026-09-01,Bull,0.192813119991758,-0.3592910028920227,0.1664778829002648,1,False,2,0,0.8101534576014104,0.109550136957997,0.0802964054405925,0.8101534576014104,0.109550136957997,0.0802964054405925
2026-09-02,2026-09-08T00:51:59.360649+00:00,2026-09-02,Bull,0.5151382930315769,-0.4396423302787564,-0.07549596275282,0,False,2,0,0.8276311681627325,0.0896626027184977,0.0827062291187696,0.8276311681627325,0.0896626027184977,0.0827062291187696
2026-09-03,2026-09-08T00:52:00.028473+00:00,2026-09-03,Bull,0.7141563346579127,-0.1583385712994003,-0.5558177633585124,0,False,3,1,0.8510772844884973,0.0757884877563883,0.0731342277551144,0.8510772844884973,0.0757884877563883,0.0731342277551144
2026-09-04,2026-09-08T00:52:00.693783+00:00,2026-09-04,Bull,0.5606006159819014,-0.4862463305497926,-0.0743542854321087,1,False,3,2,0.8584151489712601,0.0643413658172912,0.0772434852114485,0.8584151489712601,0.0643413658172912,0.0772434852114485
2026-09-07,2026-09-08T00:52:01.341982+00:00,2026-09-07,Bull,0.5647956918720182,-0.6193189542229363,0.054523262350917576,1,False,3,3,0.8584151489712601,0.06434136581729125,0.07724348521144858,0.8584151489712601,0.06434136581729125,0.07724348521144858
