date,nav_e16_e18,cash,pre_financial,pre_telecom,pre_0050,target_l1_gap,orders_created,fills_processed,exact_t1_ok,same_bar_fills,e22_version,e22_cash_credit,e22_stock_shares_added
2026-08-24,15000000.0,15000000.0,0.0,0.0,0.0,1.0,7,0,True,0,E22_v2s_tw,0.0,0.0
2026-08-25,15014804.1711105,12306554.1711105,0.1263253238859735,0.0540466589342124,0.0,0.8196280171798139,8,7,True,0,E22_v2s_tw,0.0,0.0
2026-08-26,14985455.1789135,9499955.1789135,0.2514171211363341,0.1075709733707852,0.0070668524069268,0.6339450530859536,8,8,True,0,E22_v2s_tw,0.0,0.0
2026-08-27,14955410.5851835,6844360.585183501,0.3899558602408268,0.1382108493930484,0.0141821582758904,0.457651132090234,8,8,True,0,E22_v2s_tw,0.0,0.0
2026-08-28,15145673.009127002,4120073.009127002,0.5476316565795237,0.1591543669632506,0.0211842682597631,0.2720297081974623,5,8,True,0,E22_v2s_tw,0.0,0.0
2026-08-31,15352487.940611375,1397637.9406113774,0.709744898817102,0.1576943104834374,0.04152421434663,0.1342914987650466,5,5,True,0,E22_v2s_tw,0.0,0.0
2026-09-01,15469251.782129005,299701.7821290023,0.7682304333380263,0.156310081059862,0.0560854534026204,0.1128939204032211,8,5,True,0,E22_v2s_tw,0.0,0.0
2026-09-02,15697598.035920378,45398.03592037737,0.7960899477362172,0.1329821285538865,0.068035886608647,0.0895310887720265,8,8,True,0,E22_v2s_tw,0.0,0.0
2026-09-03,15930765.523560127,6215.523560127462,0.8165238500788047,0.1097561819872453,0.0733298094352302,0.0687167103206655,6,8,True,0,E22_v2s_tw,0.0,0.0
2026-09-04,15968263.169819376,9663.169819377516,0.829376361045395,0.0956898056945841,0.0743286848029462,0.0633020282116603,6,5,True,0,E22_v2s_tw,0.0,0.0
2026-09-07,16027790.182171628,6290.182171627515,0.8433227442068135,0.08085955613778836,0.07542524491896015,0.03342883537743217,3,6,True,0,E22_v2s_tw,0.0,0.0
