date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a25,nav_blend_e45_a35,nav_blend_e45_a50,nav_chal_e45_e3
2012-12-04,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
2012-12-05,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936,3005663.377002936
2012-12-06,3004638.320241335,3004638.3150076643,3004638.270752957,3004638.989112327,3004638.7440443626
2012-12-07,3005127.0548355477,3005127.479436557,3005126.7322829547,3005128.7745808954,3005127.8896480873
2012-12-10,2984956.965624803,2984939.124367311,2984930.335195456,2984919.0317782676,2984874.0110096773
2012-12-11,2989130.304668315,2989122.170949268,2989115.7495936747,2989109.898991891,2989081.2408079267
2012-12-12,3021220.8971615816,3020742.840230976,3020548.8199676094,3020260.992230918,3019293.654341418
2012-12-13,3032283.9471615814,3031623.790230976,3031357.6699676095,3030959.992230918,3029629.3043414177
2012-12-14,3028701.7971615815,3028101.690230976,3027858.9199676095,3027498.0422309176,3026287.354341418
2012-12-17,3010951.5971615813,3010644.140230976,3010518.9699676093,3010333.2922309176,3009708.854341418
2012-12-18,3015719.1408219407,3015350.092349649,3015195.149950494,3014959.78407602,3014176.291908114
2012-12-19,3025637.590821941,3025176.6423496488,3024954.6999504943,3024621.28407602,3023507.741908114
2012-12-20,2991001.190821941,2990909.7923496487,2990916.249950494,2990930.93407602,2990972.741908114
2012-12-21,2953054.790821941,2953525.742349649,2953781.8499504942,2954175.13407602,2955476.391908114
2012-12-22,2959571.340821941,2959890.2923496487,2960104.949950494,2960433.03407602,2961519.191908114
2012-12-24,2962925.140821941,2963165.442349649,2963357.5999504942,2963653.18407602,2964629.891908114
2012-12-25,2997274.290821941,2997111.8923496488,2997076.4499504943,2997027.8340760204,2996859.341908114
2012-12-26,2984192.440821941,2984194.2923496487,2984246.0999504942,2984327.73407602,2984594.941908114
2012-12-27,2990237.4908219413,2990219.992349649,2990232.999950494,2990253.78407602,2990318.691908114
2012-12-28,3010804.7430912997,3010516.1611300157,3010394.933680192,3010214.759142511,3009604.7610376095
2013-01-02,3039519.7487295866,3039025.4611300156,3038724.7836801917,3038279.159142511,3036783.861037609
2013-01-03,3049606.148729587,3048863.3611300155,3048500.733680192,3047962.2091425112,3046162.0110376095
2013-01-04,3022334.8987295865,3022161.7111300156,3021964.233680192,3021675.359142511,3020703.9110376094
2013-01-07,3009760.698729587,3009826.9611300156,3009708.483680192,3009533.9091425114,3008945.1110376096
2013-01-08,3010328.648729587,3010210.0611300156,3010090.233680192,3009911.8091425113,3009309.6110376096
2013-01-09,3006135.948729587,3005988.1111300155,3005894.7836801917,3005754.009142511,3005283.1610376094
2013-01-10,3048707.2487295866,3048022.0611300156,3047666.9336801916,3047134.159142511,3045354.9610376093
2013-01-11,3050101.798729587,3049267.1611300157,3048902.883680192,3048359.4591425112,3046543.0610376094
2013-01-14,3049526.8487295867,3048648.7111300156,3048288.733680192,3047750.009142511,3045951.0610376094
2013-01-15,3036495.0987295867,3035846.4111300157,3035565.883680192,3035146.8091425113,3033747.3610376096
2013-01-16,3015866.548729587,3015478.611130016,3015325.283680192,3015096.2091425112,3014330.6610376094
2013-01-17,2995470.048729587,2995612.3611300155,2995582.7836801917,2995539.4591425112,2995393.0610376094
2013-01-18,3023631.748729587,3023232.5611300156,3023031.733680192,3022730.2091425112,3021528.3888243493
2013-01-21,3019704.048729587,3019526.8611300155,3019350.4336801916,3019083.5591425113,3017902.6388243493
2013-01-22,3033866.714743624,3033415.4888248667,3033151.1591828866,3032766.088501307,3031343.309069442
2013-01-23,3030597.138647862,3030104.832329415,3029864.2883705962,3029506.0261049527,3028174.1142494828
2013-01-24,3010131.1670160415,3010151.132329415,3010031.2883705967,3009832.2261049524,3009018.0142494827
2013-01-25,2999972.9670160413,3000245.682329415,3000152.8383705965,3000033.026104952,2999478.8142494825
2013-01-28,3034554.6170160417,3034015.471725885,3033708.9059668784,3033323.825398426,3031903.7224071273
2013-01-29,3054519.6670160415,3053612.071725885,3053194.205966878,3052653.275398426,3050721.122407127
2013-01-30,3058036.1670160415,3057092.3717258847,3056667.705966878,3056099.025398426,3054078.3224071274
2013-01-31,3082631.5170160416,3081211.7717258846,3080601.9059668784,3079844.975398426,3077198.622407127
2013-02-01,3089396.8670160417,3088066.771725885,3087466.1059668786,3086654.975398426,3083829.7224071273
2013-02-04,3179546.0170160416,3178033.9217258845,3176917.5559668783,3175398.975398426,3170232.122407127
2013-02-05,3163951.4170160415,3162783.421725885,3161793.4059668784,3160396.775398426,3155630.4224071275
2013-02-06,3182338.2670160416,3180892.221725885,3179767.1559668784,3178229.875398426,3172997.3224071274
2013-02-18,3186594.0170160416,3184944.071725885,3183809.205966878,3182240.1253984263,3176909.522407127
2013-02-19,3174206.9170160415,3172824.221725885,3171778.6059668786,3170305.475398426,3165292.7224071273
2013-02-20,3219881.3170160414,3217903.3717258847,3216639.7559668785,3214813.175398426,3208627.4224071275
2013-02-21,3177229.117016041,3175786.5217258846,3174773.3059668783,3173278.7753984258,3168188.7224071273
2013-02-22,3173965.0670160414,3172940.821725885,3171947.3559668786,3170475.675398426,3165460.9224071275
2013-02-23,3199823.6670160415,3198156.171725885,3196980.8059668783,3195310.225398426,3189638.922407127
2013-02-25,3171327.6670160415,3169833.6217258847,3168830.7559668785,3167383.175398426,3162449.7224071273
2013-02-26,3158573.5670160414,3157523.571725885,3156608.505966878,3155255.925398426,3150639.622407127
2013-02-27,3154481.4670160413,3153106.571725885,3152164.8059668783,3150847.475398426,3146349.9224071275
2013-03-01,3175380.4170160415,3173988.221725885,3172929.705966878,3171448.125398426,3166405.8224071274
2013-03-04,3125730.8170160414,3124634.321725885,3123864.855966878,3122768.0253984258,3119004.522407127
2013-03-05,3154502.8670160417,3152881.2717258846,3151942.6559668784,3150623.925398426,3146125.7224071273
2013-03-06,3150410.9170160415,3148730.671725885,3147846.4559668787,3146560.075398426,3142168.3224071274
2013-03-07,3155735.6670160415,3154205.0217258846,3153301.1059668786,3151971.075398426,3147434.622407127
2013-03-08,3205942.2170160413,3203795.6217258847,3202580.3059668783,3200862.375398426,3195039.3224071274
2013-03-11,3200545.4170160415,3198474.671725885,3197300.955966878,3195624.125398426,3189939.2224071273
2013-03-12,3174228.7170160413,3172527.471725885,3171483.955966878,3170013.125398426,3165005.822407127
2013-03-13,3173234.6170160417,3171145.6217258847,3170097.8559668786,3168636.975398426,3163663.3224071274
2013-03-14,3167453.7670160416,3165476.5774357915,3164494.069375404,3163090.156764743,3158306.0280214767
2013-03-15,3163416.8170160414,3161234.977435792,3160179.0693754046,3158802.406764743,3154110.028021477
2013-03-18,3113241.867016041,3111837.527435792,3111086.0693754046,3110034.7567647435,3106423.228021477
2013-03-19,3111592.0170160416,3110051.8274357915,3109290.1693754042,3108251.606764743,3104680.328021477
2013-03-20,3095015.9170160415,3093855.577435792,3093195.4193754042,3092263.9567647427,3089047.178021477
2013-03-21,3092535.0170160416,3091433.4274357916,3090771.2693754043,3089856.156764743,3086694.478021477
2013-03-22,3078068.867016041,3077054.677435792,3076449.7693754043,3075629.106764743,3072781.8780214773
2013-03-25,3122382.8170160414,3120907.227435792,3120126.6693754042,3119017.7067647427,3115211.028021477
2013-03-26,3110937.9170160415,3110006.3274357915,3109321.4193754042,3108284.0567647433,3104715.178021477
2013-03-27,3136338.8170160414,3134817.7774357917,3134002.2693754043,3132802.406764743,3128692.228021477
2013-03-28,3127670.8170160414,3126386.3274357915,3125625.869375404,3124481.9567647427,3120557.178021477
2013-03-29,3141413.7170160413,3140119.977435792,3139296.1693754042,3138062.4567647427,3133839.3780214773
2013-04-01,3128979.7670160416,3127930.377435792,3127151.969375404,3125998.2567647435,3122041.828021477
2013-04-02,3120193.6170160417,3119100.0274357917,3118363.719375404,3117267.0567647433,3113501.778021477
2013-04-03,3133408.3170160414,3131977.977435792,3131168.9693754045,3129988.656764743,3125942.378021477
2013-04-08,3050560.7170160413,3050226.827435792,3049844.8693754044,3049200.606764743,3046940.328021477
2013-04-09,3054047.6170160417,3053539.677435792,3053129.8193754046,3052463.356764743,3050128.478021477
2013-04-10,3053399.5170160416,3052860.927435792,3052470.5693754046,3051809.3067647433,3049488.6280214773
2013-04-11,3066185.0670160414,3065320.277435792,3064894.0693754046,3064151.0567647433,3061557.028021477
2013-04-12,3058627.5670160414,3058002.727435792,3057628.4693754045,3056933.5567647433,3054499.528021477
2013-04-15,3043571.4670160413,3043114.077435792,3042838.7193754045,3042240.8067647433,3040130.178021477
2013-04-16,3037416.7170160413,3037292.577435792,3037042.5193754043,3036483.356764743,3034502.778021477
2013-04-17,3005246.617016041,3005819.5274357917,3005725.8693754044,3005373.106764743,3004080.328021477
2013-04-18,3006134.9218702847,3006466.7435208787,3006329.6820854554,3005947.2660802132,3004555.100322985
2013-04-19,3051851.7218702845,3051482.193520879,3051057.732085455,3050307.0160802132,3047694.150322985
2013-04-22,3056334.224039121,3056098.543520879,3055676.3320854553,3054887.066080213,3052147.650322985
2013-04-23,3061495.5740391207,3060634.4428480654,3060165.958914475,3059336.4283902077,3056462.986272619
2013-04-24,3075688.2349661468,3074597.3928480656,3074021.508914475,3073076.4283902077,3069816.78627262
2013-04-25,3068853.7349661468,3068000.7928480655,3067502.208914475,3066611.4283902077,3063534.3362726197
2013-04-26,3061640.5849661464,3061078.6428480656,3060662.658914475,3059830.128390208,3056947.48627262
2013-04-29,3062453.6849661465,3061753.5428480655,3061317.9089144752,3060479.628390208,3057578.1362726195
2013-04-30,3082048.134966146,3081197.3428480653,3080655.508914475,3079654.9283902077,3076215.736272619
2013-05-02,3095930.4849661468,3094773.6928480654,3094129.808914475,3093015.3283902076,3089197.236272619
2013-05-03,3108159.6849661465,3106766.8428480653,3106030.758914475,3104815.7283902075,3100663.8362726197
2013-05-06,3108398.0349661466,3106805.242848065,3106090.758914475,3104875.028390208,3100718.78627262
2013-05-07,3109932.1849661465,3108310.4928480657,3107582.758914475,3106356.228390208,3102160.98627262
2013-05-08,3127333.1349661467,3125420.0928480653,3124590.358914475,3123222.3283902076,3118553.73627262
2013-05-09,3136173.8849661467,3134061.5428480655,3133191.358914475,3131751.128390208,3126843.28627262
2013-05-10,3130950.834966147,3128997.842848066,3128142.158914475,3126744.8283902076,3121978.6362726195
2013-05-13,3114355.7349661463,3112649.1928480654,3111885.258914475,3110623.128390208,3106308.9362726193
2013-05-14,3115812.334966147,3114356.6928480654,3113598.058914475,3112322.528390208,3107960.28627262
2013-05-15,3145288.4349661465,3143120.3928480656,3142195.308914475,3140675.4283902077,3135510.5862726197
2013-05-16,3194854.3849661467,3192012.3928480656,3190783.858914475,3188857.028390208,3182339.48627262
2013-05-17,3188019.9849661468,3185384.1928480654,3184195.158914475,3182325.8283902076,3175992.78627262
2013-05-20,3187635.7349661468,3184760.5928480653,3183550.108914475,3181686.028390208,3175367.4362726193
2013-05-21,3183518.8849661467,3181113.7928480655,3179968.958914475,3178137.4283902077,3171921.4362726193
2013-05-22,3188820.9849661463,3186341.8928480656,3185171.0589144747,3183297.228390208,3176937.8862726195
2013-05-23,3131131.384966146,3129422.3928480656,3128594.008914475,3127191.7283902075,3122406.4362726193
2013-05-24,3112328.697928766,3110382.050232988,3109636.8841223684,3108382.0862247963,3104088.6441840595
2013-05-27,3143636.2479287656,3141060.650232988,3140133.7341223685,3138653.3362247963,3133606.1941840593
2013-05-28,3143047.947928766,3140949.0002329876,3140066.134122368,3138584.486224796,3133539.094184059
2013-05-29,3162897.7872465975,3160633.200232988,3159650.8841223684,3158025.136224796,3152498.2441840596
2013-05-30,3120163.237246597,3117372.427278871,3117375.1341223684,3116066.5862247963,3111581.594184059
2013-05-31,3152224.0872465973,3148760.5272788713,3148793.434122368,3147253.1362247965,3141992.2941840594
2013-06-03,3106207.6872465974,3102839.683146704,3103508.934122368,3102301.986224796,3098154.6941840593
