date,nav_base_e16_e18_e22_v2s,nav_blend_e45_a25,nav_blend_e45_a35,nav_blend_e45_a50,nav_chal_e45_e3
2013-06-04,3096965.667674872,3093765.633146704,3094478.5341223683,3093340.786224796,3089273.9371623304
2013-06-05,3090924.067674872,3088390.433146704,3089237.0341223683,3088137.6862247963,3084115.1871623304
2013-06-06,3061252.567674872,3058876.733146704,3059967.034122368,3058731.614587759,3055394.3871623306
2013-06-07,3071501.3176748715,3068787.383146704,3069570.441591578,3068454.2145877588,3064899.1871623304
2013-06-10,3090405.917674872,3087678.6331467037,3088394.1415915783,3087142.864587759,3083168.6371623306
2013-06-11,3077549.0176748717,3074968.083146704,3075767.9915915783,3074600.964587759,3070909.2371623307
2013-06-13,3023304.0176748717,3021362.983146704,3022376.6415915783,3021569.464587759,3019057.8371623303
2013-06-14,3019698.5176748717,3018174.083146704,3018945.1415915783,3018203.064587759,3015764.6371623306
2013-06-17,3028461.217674872,3026839.433146704,3027520.2415915783,3026727.414587759,3024102.4871623307
2013-06-18,3040377.9783781953,3038957.4111008057,3039740.803022134,3038871.048097849,3035982.890223873
2013-06-19,3028318.0283781956,3027019.5611008056,3027855.7030221345,3027010.9480978493,3024363.1902238727
2013-06-20,3007424.1783781955,3005809.9611008056,3006675.553022134,3005931.6980978493,3003708.9902238725
2013-06-21,2982588.478378196,2981379.611100806,2981939.3530221344,2981524.7480978495,2979799.7902238728
2013-06-24,2969403.1283781957,2968327.611100806,2969149.9530221345,2968722.398097849,2967265.640223873
2013-06-25,2948657.2283781953,2947893.761100806,2948695.853022134,2948655.348097849,2947610.1902238727
2013-06-26,2976584.3774384893,2976141.8413438015,2976846.68763645,2976938.6511619417,2975325.138418351
2013-06-27,2984495.8738085357,2984156.66275893,2984852.309047504,2984961.867584859,2983411.1384183504
2013-06-28,3058324.3738085353,3056971.6127589303,3057507.159047504,3057099.217584859,3052480.3884183504
2013-07-01,3042863.9738085354,3041885.01275893,3042369.809047504,3042212.117584859,3039298.4384183506
2013-07-02,3043630.1738085356,3042712.2127589304,3043249.009047504,3042988.417584859,3039903.2384183505
2013-07-03,3033860.4738085354,3033148.2737201205,3033725.4368823604,3033665.6685840106,3030692.2457872257
2013-07-04,3033306.9738085354,3032233.3737201206,3032776.286882361,3032708.5685840105,3029479.7446415215
2013-07-05,3049821.2238085354,3048426.8737201206,3048887.3868823606,3048437.1185840108,3044139.2946415218
2013-07-08,3033418.1738085356,3032325.4737201207,3032940.8368823603,3032804.2685840107,3029552.0446415218
2013-07-09,3067589.6238085353,3066770.0737201204,3066972.8868823606,3066723.8685840103,3061184.6446415214
2013-07-10,3094507.5738085355,3091729.5737201204,3091609.886882361,3090692.1685840106,3083538.2446415215
2013-07-11,3143098.0238085357,3137517.8737201206,3136911.9868823607,3134830.3685840103,3124712.0446415218
2013-07-12,3157339.6738085356,3152074.8737201206,3151335.0368823605,3149215.4685840104,3138128.6446415214
2013-07-15,3168244.3738085353,3163096.7737201205,3162272.1368823606,3160128.968584011,3148300.6446415214
2013-07-16,3170231.00053515,3164745.0737201204,3163911.436882361,3161637.5185840107,3149713.5446415218
2013-07-17,3194597.858033044,3188683.8730739807,3187512.7345820465,3185017.9000176005,3171599.87888349
2013-07-18,3194291.3463885775,3188790.886162296,3187628.357799669,3185250.980589409,3171823.9024496544
2013-07-19,3174675.4963885774,3168889.236162296,3167950.707799669,3165553.5805894085,3153408.8024496543
2013-07-22,3184603.146396228,3178298.0097860163,3177224.1590354587,3174660.4545466383,3161916.1347672846
2013-07-23,3213211.4384597545,3206887.7097860165,3205580.8090354586,3202657.004546638,3188089.1847672844
2013-07-24,3203903.3621163927,3197563.3082154994,3196273.365402202,3193381.139754494,3179404.232488221
2013-07-25,3187812.0652562613,3182406.3318493953,3181224.0084824814,3178653.182346924,3165605.1244631507
2013-07-26,3198251.2433681,3192755.1261443337,3191484.21923145,3188828.5824665753,3175146.723065464
2013-07-29,3189414.1725095427,3183703.8696576864,3182481.7967510973,3180163.982466575,3167020.7230654643
2013-07-30,3209167.4225095427,3201984.6696576863,3200563.7967510973,3197719.9324665754,3183478.273065464
2013-07-31,3191007.872509543,3185132.969657686,3183904.846751097,3181223.2824665755,3168011.773065464
2013-08-01,3199426.372509543,3192088.3696576864,3190800.0467510973,3187868.6824665754,3174235.9730654643
2013-08-02,3226926.7459420464,3219044.569657686,3217386.196751097,3214613.127011164,3199464.5760289137
2013-08-05,3230243.0622063368,3222211.8618867635,3220455.705425016,3217800.5770111643,3202458.776028914
2013-08-06,3196617.1122063366,3190693.3118867637,3189310.405425016,3187270.8270111643,3173765.176028914
2013-08-07,3172288.3622063366,3166944.1118867635,3165873.255425016,3164124.977011164,3152006.526028914
2013-08-08,3160408.0622063363,3154522.0118867634,3153590.0554250157,3151971.727011164,3140576.1260289135
2013-08-09,3140378.431342254,3135207.826665586,3134461.641067233,3133213.484581284,3122871.882330997
2013-08-12,3160738.031342254,3155831.426665586,3154912.941067233,3153526.734581284,3142041.232330997
2013-08-13,3154796.781342254,3150525.3766655857,3149730.241067233,3148320.4845812838,3137136.432330997
2013-08-14,3154556.0801092023,3151207.6059878133,3150481.586927271,3149163.4915424217,3138063.506856286
2013-08-15,3145021.9301092024,3141329.8059878135,3140678.2369272714,3139578.291542422,3128999.156856286
2013-08-16,3151521.6390435523,3147051.4374149977,3146346.399820366,3145049.3340058993,3134175.0993632525
2013-08-19,3147253.5390435527,3143272.6874149977,3142594.849820366,3141490.534005899,3130809.749363253
2013-08-20,3143148.7890435522,3139522.9374149977,3138849.049820366,3137678.4340058994,3127199.6493632523
2013-08-22,3136044.214387994,3132498.6843835507,3131849.80446162,3131093.730608426,3120979.208626289
2013-08-23,3138779.9239609214,3135103.0833933805,3134416.798750809,3133458.501621789,3123222.292893271
2013-08-26,3149256.323960921,3145165.2333933804,3144356.698750809,3143161.601621789,3132425.9928932707
2013-08-27,3141727.7677007127,3136663.536377226,3135927.8376171156,3134734.6020702575,3124428.16947264
2013-08-28,3135034.4165857662,3131894.9536121394,3131298.5397763993,3130310.117952312,3120242.2791812005
2013-08-29,3140112.4019176066,3138082.5377745167,3137459.1568137356,3136548.2679459155,3126161.49280967
2013-08-30,3176069.814793287,3174439.0809414806,3173499.357203313,3172177.6824748395,3159960.3366127564
2013-09-02,3171239.125893943,3168825.452773746,3167896.5225082003,3166562.8483455167,3154632.027789628
2013-09-03,3200357.645191595,3198381.9564977633,3197105.744819178,3195427.0551736667,3181997.562176296
2013-09-04,3224866.8258452136,3219734.2040831735,3218181.6091655544,3216012.2613237617,3201495.073500239
2013-09-05,3233006.7194696544,3227544.304083174,3225944.5591655537,3223615.8113237615,3208705.7235002387
2013-09-06,3228566.3194696545,3222198.6540831737,3220652.659165554,3218358.9113237616,3203723.273500239
2013-09-09,3225926.0194696547,3220325.854083174,3218784.709165554,3216553.4113237616,3202016.3735002386
2013-09-10,3249547.5194696547,3243124.219705383,3241342.0640781564,3238761.620464626,3223089.742871602
2013-09-11,3255052.8194696545,3249236.6697053825,3247419.914078156,3244789.3204646255,3228815.842871602
2013-09-12,3266421.8194696545,3260464.1197053827,3258564.864078156,3255985.5204646257,3239445.742871602
2013-09-13,3259975.2194696544,3252544.0697053825,3250694.014078156,3248078.320464626,3231935.892871602
2013-09-14,3246898.9194696546,3239835.1697053825,3238126.9640781563,3235672.2204646254,3220158.692871602
2013-09-16,3287232.4194696546,3278281.7697053826,3276165.764078156,3273185.620464626,3255764.592871602
2013-09-17,3294053.5194696547,3284900.8197053825,3282762.314078156,3279646.070464626,3261896.642871602
2013-09-18,3281615.0194696547,3272720.719705383,3270656.6640781565,3267708.970464626,3250564.542871602
2013-09-23,3331440.5194696547,3321164.6697053825,3318658.5640781564,3315094.6704646256,3295544.742871602
2013-09-24,3330569.2194696544,3319984.9197053825,3317478.7140781563,3314000.220464626,3294502.692871602
2013-09-25,3333537.892612597,3323479.5178942196,3320914.380935971,3317462.6831076466,3297870.2915296527
2013-09-26,3278728.1426125965,3271102.5178942196,3268996.5809359713,3266229.8331076466,3249089.741529653
2013-09-27,3308798.149498107,3298732.3178942194,3296365.380935971,3293147.6831076466,3274713.8915296523
2013-09-30,3270343.6994981067,3261659.6178942192,3259640.780935971,3256844.4831076465,3240148.3915296523
2013-10-01,3276633.4494981067,3267297.5678942194,3265211.930935971,3262476.0831076466,3245508.8915296523
2013-10-02,3260193.9494981067,3252424.3678942192,3250501.030935971,3248064.8831076464,3231795.5415296527
2013-10-03,3330863.2494981065,3319988.767894219,3317381.580935971,3314016.083107646,3294586.491529653
2013-10-04,3338270.149498107,3325646.0178942196,3322960.5809359713,3319255.9331076466,3299568.8915296523
2013-10-07,3334856.5994981066,3322251.7178942193,3319609.9809359713,3315796.5331076463,3296271.5915296525
2013-10-08,3356017.449498107,3342538.0178942196,3339622.1809359714,3335440.1331076464,3314975.5415296527
2013-10-09,3343184.599498107,3329584.0178942196,3326721.130935971,3322772.8331076466,3302910.941529652
2013-10-11,3345750.599498107,3333559.5678942194,3330614.2809359715,3326810.4331076466,3306760.691529653
2013-10-14,3332518.646810069,3319609.56350711,3316796.11028992,3313110.189680732,3293746.592269069
2013-10-15,3358960.8468100694,3344272.9635071103,3341288.7602899205,3337308.5896807318,3316911.492269069
2013-10-16,3346820.2968100696,3331420.36350711,3328531.9102899204,3324655.689680732,3304796.292269069
2013-10-17,3344103.2107491894,3329764.2259571273,3326841.896357949,3322921.7236370128,3303142.400120442
2013-10-18,3350986.3607491893,3334542.5759571274,3331484.896357949,3326839.5236370126,3306888.150120442
2013-10-21,3331325.6938812765,3315649.425957127,3312632.496357949,3307966.3236370133,3288799.4501204416
2013-10-22,3326633.9438812765,3311212.5759571274,3308226.196357949,3303780.873637013,3284790.0501204417
2013-10-23,3331316.693881277,3315382.6759571275,3312444.246357949,3307693.8236370133,3288533.850120442
2013-10-24,3341262.6938812765,3325178.025957127,3322133.9963579495,3317260.773637013,3297706.600120442
2013-10-25,3318554.6438812762,3302717.1607416687,3299878.6425833176,3295241.073245755,3276855.000120442
2013-10-28,3347489.6438812767,3329599.610741669,3326526.2425833177,3321573.523245755,3302090.011236623
2013-10-29,3331898.1438812767,3316579.2607416688,3313635.3925833176,3308812.973245755,3289806.5612366227
2013-10-30,3355040.7438812763,3338038.2607416688,3335017.7425833177,3329995.973245755,3310189.0612366227
2013-10-31,3364659.6438812762,3348478.5107416688,3345465.242583317,3340803.923245755,3320587.2112366227
2013-11-01,3337956.7438812763,3322616.0107416683,3319718.6425833176,3315185.6232457547,3295929.6612366224
2013-11-04,3306466.5938812764,3293120.4607416685,3290473.1425833176,3286483.4732457553,3268286.411236623
2013-11-05,3290487.7938812766,3277935.960741669,3275399.792583318,3271376.9732457553,3253735.111236623
2013-11-06,3290871.3438812764,3277672.2107416685,3275178.4425833174,3271065.273245755,3253425.911236623
2013-11-07,3272442.2938812766,3260866.0107416688,3258576.2425833177,3254707.273245755,3237670.5612366227
2013-11-08,3280790.3021229417,3269078.4107416687,3266717.792583318,3262812.7232457553,3245475.0612366227
2013-11-11,3254750.2021229416,3245447.4812520416,3243320.5038297586,3239704.9502995326,3223308.0811888427
2013-11-12,3273034.6021229415,3260914.4312520414,3258534.7538297586,3254526.2002995326,3237400.131188843
2013-11-13,3235765.0521229412,3225476.6312520416,3223436.2538297586,3220028.0502995322,3204572.631188843
2013-11-14,3237023.0521229412,3226533.8312520413,3224520.0538297584,3220997.2502995324,3205493.6811888427
2013-11-15,3247147.0521229412,3237698.5812520413,3235578.6038297587,3232009.6002995325,3215981.581188843
2013-11-18,3251741.2521229414,3240310.0312520415,3238117.5538297584,3234455.8502995325,3218306.231188843
2013-11-19,3258951.1521229413,3248532.3812520416,3246285.2038297583,3242480.8502995325,3225945.231188843
2013-11-20,3250089.7021229416,3238542.4312520414,3236396.453829759,3232693.7002995326,3216619.481188843
2013-11-21,3214409.5521229412,3203558.3812520416,3201738.7038297583,3198248.4502995326,3183844.6811888427
2013-11-22,3239804.7021229416,3227642.9312520414,3225578.2538297586,3221628.5002995324,3206094.331188843
2013-11-25,3282866.6021229415,3267852.6312520416,3265358.7538297586,3260836.7502995324,3243407.281188843
2013-11-26,3281863.4521229416,3268116.0312520415,3265585.8538297587,3261483.3502995325,3244016.281188843
2013-11-27,3289358.5521229417,3276007.8312520413,3273444.1538297585,3269016.8002995327,3251187.381188843
2013-11-28,3309958.702122941,3295552.481252041,3292807.6038297587,3288324.4002995323,3269562.531188843
2013-11-29,3318247.1021229415,3302826.2812520415,3300004.5038297586,3295293.4002995323,3276189.3311888427
2013-12-02,3313612.6521229413,3298101.0812520413,3295325.1038297587,3290757.0502995322,3271873.581188843
2013-12-03,3299788.6021229415,3285117.0812520413,3282423.5038297586,3277967.1002995325,3259704.1811888427
2013-12-04,3310561.3021229417,3295591.481252041,3292831.1038297587,3288064.7502995324,3269318.131188843
2013-12-05,3299105.202122941,3283913.8812520416,3281245.9038297585,3276748.5502995322,3258544.5811888427
2013-12-06,3280793.0021229414,3267753.1312520416,3265269.1538297585,3261116.500299533,3243673.381188843
2013-12-09,3321186.7021229416,3305775.2812520415,3302908.203829759,3298379.2002995326,3279131.731188843
2013-12-10,3337095.7521229414,3320631.231252041,3317607.0538297584,3312843.5002995324,3292893.4811888426
2013-12-11,3349846.5521229412,3331717.4312520414,3328569.9538297583,3323598.5502995327,3303122.031188843
2013-12-12,3313431.4021229413,3297339.4312520414,3294524.1538297585,3289994.1002995325,3271141.6311888425
2013-12-13,3334794.0021229414,3317634.2812520415,3314632.1038297587,3309886.250299533,3290072.031188843
2013-12-16,3312111.3021229412,3296350.731252041,3293523.4538297583,3289248.7502995324,3270432.4311888427
2013-12-17,3304678.402122942,3289557.231252041,3286835.1538297585,3282503.5502995327,3264014.531188843
2013-12-18,3305590.5521229417,3290097.0812520413,3287393.3038297584,3283057.2502995324,3264548.4311888427
2013-12-19,3314172.3021229412,3299251.1312520416,3296469.2538297586,3291992.400299533,3273056.481188843
2013-12-20,3303423.8021229412,3290534.2312520416,3287872.453829759,3283437.0502995327,3264913.281188843
2013-12-23,3310835.3273269767,3295719.2950440957,3292972.228614957,3288624.1463614055,3269851.418916994
2013-12-24,3308857.427326977,3294039.2950440957,3291313.078614957,3287050.8463614057,3268354.6689169933
2013-12-25,3319373.0773269767,3303961.4450440956,3301150.228614957,3296746.196361406,3277588.5689169937
2013-12-26,3325395.027326977,3310515.8450440955,3307618.078614957,3303108.446361406,3283646.0689169937
2013-12-27,3337041.977326977,3322165.245044096,3319160.278614957,3314408.7463614056,3294408.8689169935
2013-12-30,3373707.9773269766,3358269.9950440954,3354949.028614957,3349767.3963614055,3328083.2189169936
2013-12-31,3362905.077326977,3347152.845044096,3343829.1786149573,3338924.3463614057,3317752.3189169937
2014-01-02,3366406.127326977,3350078.495044096,3346757.528614957,3341678.296361406,3320372.418916994
2014-01-03,3333923.8273269767,3318309.8450440955,3315288.578614957,3310613.946361406,3290789.6189169935
2014-01-06,3322499.227326977,3308389.8450440955,3305468.228614957,3300942.446361406,3281581.9689169936
2014-01-07,3315792.677326977,3301642.0450440957,3298764.778614957,3294098.546361406,3275064.4689169936
2014-01-08,3321078.2273269766,3306414.1950440956,3303479.178614957,3298758.446361406,3279499.5689169937
2014-01-09,3323380.977326977,3308953.7950440957,3305992.178614957,3301128.5963614057,3281763.3189169937
2014-01-10,3324811.527326977,3310689.395044096,3307725.028614957,3302806.746361406,3283362.7689169934
2014-01-13,3336206.277326977,3320974.495044096,3317902.428614957,3312857.896361406,3292932.3689169935
2014-01-14,3339786.627326977,3323864.2450440954,3320749.528614957,3315662.2463614056,3295579.375376468
2014-01-15,3346058.540988251,3330040.8433870403,3326844.823654368,3321800.6658819034,3301431.3907642495
2014-01-16,3348615.5983637446,3332945.24338704,3329747.6236543683,3324790.5158819035,3304288.8907642495
