book,alpha,window,base_cagr,book_cagr,base_mdd,book_mdd,mdd_improve_pp,cagr_giveback_pp,mdd_pp_per_cagr_giveback_pp
BASE_E16_E18_E22_v2s,0.0,heldout_2019_plus,0.18234637927240827,0.18234637927240827,-0.2263873534222821,-0.2263873534222821,0.0,0.0,
BASE_E16_E18_E22_v2s,0.0,sealed_2023_plus,0.2492563398696781,0.2492563398696781,-0.144572796391655,-0.144572796391655,0.0,0.0,
BASE_E16_E18_E22_v2s,0.0,full,0.1378248622325564,0.1378248622325564,-0.2263873534222821,-0.2263873534222821,0.0,0.0,
BLEND_E45_A05,0.05,heldout_2019_plus,0.18234637927240827,0.17168621919535254,-0.2263873534222821,-0.21786080178618272,0.8526551636099389,1.0660160077055725,0.7998521198993452
BLEND_E45_A05,0.05,sealed_2023_plus,0.2492563398696781,0.23422475413471222,-0.144572796391655,-0.11388645226706673,3.068634412458826,1.503158573496588,2.041457545840084
BLEND_E45_A05,0.05,full,0.1378248622325564,0.13311077376297686,-0.2263873534222821,-0.21786080178618272,0.8526551636099389,0.4714088469579547,1.808738145480727
BLEND_E45_A10,0.1,heldout_2019_plus,0.18234637927240827,0.1663791782881041,-0.2263873534222821,-0.2168718841310523,0.9515469291229817,1.5967200984304153,0.5959384678995132
BLEND_E45_A10,0.1,sealed_2023_plus,0.2492563398696781,0.22739069565372372,-0.144572796391655,-0.10577429644608305,3.879849994557194,2.1865644215954383,1.774404612202663
BLEND_E45_A10,0.1,full,0.1378248622325564,0.1304966101202334,-0.2263873534222821,-0.2168718841310524,0.9515469291229706,0.7328252112323019,1.2984636916664907
BLEND_E45_A15,0.15,heldout_2019_plus,0.18234637927240827,0.1617478843601421,-0.2263873534222821,-0.21850026412867607,0.7887089293606042,2.0598494912266174,0.38289638768264417
BLEND_E45_A15,0.15,sealed_2023_plus,0.2492563398696781,0.21984286448730872,-0.144572796391655,-0.09807307599909232,4.649972039256268,2.941347538236938,1.580898543544259
BLEND_E45_A15,0.15,full,0.1378248622325564,0.1281585898147799,-0.2263873534222821,-0.21850026412867607,0.7887089293606042,0.9666272417776511,0.8159390665528412
BLEND_E45_A20,0.2,heldout_2019_plus,0.18234637927240827,0.1568300392931985,-0.2263873534222821,-0.22020360864741095,0.6183744774871158,2.551633997920977,0.24234450473342012
BLEND_E45_A20,0.2,sealed_2023_plus,0.2492563398696781,0.21085515955756717,-0.144572796391655,-0.09315927605975616,5.141352033189883,3.8401180312110927,1.3388526059362837
BLEND_E45_A20,0.2,full,0.1378248622325564,0.12543363158295473,-0.2263873534222821,-0.22020360864741095,0.6183744774871158,1.239123064960168,0.49904202009749016
BLEND_E45_A25,0.25,heldout_2019_plus,0.18234637927240827,0.15406866712029776,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,2.82777121521105,0.22298774207584723
BLEND_E45_A25,0.25,sealed_2023_plus,0.2492563398696781,0.20564512383990396,-0.144572796391655,-0.09332258706256946,5.125020932908553,4.361121602977414,1.1751612083941003
BLEND_E45_A25,0.25,full,0.1378248622325564,0.124038092709855,-0.2263873534222821,-0.22008177023841224,0.6305583183869867,1.3786769522701414,0.4573648071426043
BLEND_E45_A30,0.3,heldout_2019_plus,0.18234637927240827,0.1516463782659545,-0.2263873534222821,-0.2184481455648417,0.79392078574404,3.070000100645376,0.2586061106568504
BLEND_E45_A30,0.3,sealed_2023_plus,0.2492563398696781,0.2008053635513667,-0.144572796391655,-0.09333021039713629,5.12425859945187,4.845097631831141,1.0576172017229761
BLEND_E45_A30,0.3,full,0.1378248622325564,0.12288663246756593,-0.2263873534222821,-0.2184481455648416,0.7939207857440511,1.4938229764990485,0.5314691220004519
BLEND_E45_A35,0.35,heldout_2019_plus,0.18234637927240827,0.1495629265710181,-0.2263873534222821,-0.21815909396452648,0.8228259457755627,3.278345270139016,0.25098819006964185
BLEND_E45_A35,0.35,sealed_2023_plus,0.2492563398696781,0.19615872861633843,-0.144572796391655,-0.09321429942594994,5.135849696570505,5.309761125333967,0.967246845072993
BLEND_E45_A35,0.35,full,0.1378248622325564,0.12183700415975074,-0.2263873534222821,-0.21815909396452637,0.8228259457755738,1.5987858072805672,0.5146567739271768
BLEND_E45_A40,0.4,heldout_2019_plus,0.18234637927240827,0.14669533533945467,-0.2263873534222821,-0.21785278417674026,0.8534569245541856,3.5651043932953597,0.23939184674626132
BLEND_E45_A40,0.4,sealed_2023_plus,0.2492563398696781,0.1890245284197245,-0.144572796391655,-0.09287215965745099,5.170063673420399,6.02318114499536,0.8583609805121314
BLEND_E45_A40,0.4,full,0.1378248622325564,0.12036549151949916,-0.2263873534222821,-0.21785278417674014,0.8534569245541967,1.7459370713057254,0.488824562225445
BLEND_E45_A45,0.45,heldout_2019_plus,0.18234637927240827,0.1443913299370405,-0.2263873534222821,-0.21740945142287205,0.8977901999410065,3.795504933536775,0.23654038544600609
BLEND_E45_A45,0.45,sealed_2023_plus,0.2492563398696781,0.18381859599534067,-0.144572796391655,-0.09258681400572599,5.1985982385929,6.543774387433743,0.7944342104116493
BLEND_E45_A45,0.45,full,0.1378248622325564,0.11916935284549623,-0.2263873534222821,-0.21740945142287216,0.8977901999409954,1.8655509387060176,0.48124668231451245
BLEND_E45_A50,0.5,heldout_2019_plus,0.18234637927240827,0.14190839697220947,-0.2263873534222821,-0.21685181389419872,0.9535539528083392,4.043798230019879,0.23580651124713795
BLEND_E45_A50,0.5,sealed_2023_plus,0.2492563398696781,0.17945664230139236,-0.144572796391655,-0.09248103750299363,5.2091758888661355,6.979969756828575,0.7463035042193337
BLEND_E45_A50,0.5,full,0.1378248622325564,0.11784487012367761,-0.2263873534222821,-0.21685181389419883,0.9535539528083281,1.9979992108878797,0.4772544191269143
BLEND_E45_A55,0.55,heldout_2019_plus,0.18234637927240827,0.1400983203602051,-0.2263873534222821,-0.21604389653451905,1.0343456887763058,4.224805891220318,0.24482679569392934
BLEND_E45_A55,0.55,sealed_2023_plus,0.2492563398696781,0.1758947550942409,-0.144572796391655,-0.09281725071004177,5.175554568161322,7.336158477543719,0.7054856549247002
BLEND_E45_A55,0.55,full,0.1378248622325564,0.11682572443534145,-0.2263873534222821,-0.21604389653451905,1.0343456887763058,2.099913779721496,0.4925657894932654
BLEND_E45_A60,0.6,heldout_2019_plus,0.18234637927240827,0.13818140802350087,-0.2263873534222821,-0.21458865014615358,1.179870327612853,4.416497124890739,0.26715070660032236
BLEND_E45_A60,0.6,sealed_2023_plus,0.2492563398696781,0.17191655345872459,-0.144572796391655,-0.09362357192128268,5.094922447037231,7.7339786410953515,0.6587712073530687
BLEND_E45_A60,0.6,full,0.1378248622325564,0.11569070702096007,-0.2263873534222821,-0.21458865014615358,1.179870327612853,2.213415521159634,0.5330541492700409
BLEND_E45_A65,0.65,heldout_2019_plus,0.18234637927240827,0.13671154826171072,-0.2263873534222821,-0.21367432856679158,1.271302485549053,4.563483101069754,0.2785816135160091
BLEND_E45_A65,0.65,sealed_2023_plus,0.2492563398696781,0.1694145217942573,-0.144572796391655,-0.09389359157634813,5.0679204815306855,7.984181807542079,0.6347451252604729
BLEND_E45_A65,0.65,full,0.1378248622325564,0.11473611523784522,-0.2263873534222821,-0.2136743285667917,1.2713024855490418,2.3088746994711196,0.5506156249363604
BLEND_E45_A70,0.7,heldout_2019_plus,0.18234637927240827,0.1349238001931765,-0.2263873534222821,-0.21288735566454386,1.3499997757738247,4.742257907923175,0.2846744740555546
BLEND_E45_A70,0.7,sealed_2023_plus,0.2492563398696781,0.16715311277711398,-0.144572796391655,-0.09430530419598093,5.026749219567406,8.210322709256413,0.612247459396473
BLEND_E45_A70,0.7,full,0.1378248622325564,0.11360685838161477,-0.2263873534222821,-0.21288735566454375,1.3499997757738358,2.421800385094164,0.5574364361666189
BLEND_E45_A75,0.75,heldout_2019_plus,0.18234637927240827,0.1335204734886306,-0.2263873534222821,-0.2119878343635323,1.439951905874981,4.882590578377766,0.2949155541018971
BLEND_E45_A75,0.75,sealed_2023_plus,0.2492563398696781,0.16503452301938237,-0.144572796391655,-0.09460072312780443,4.997207326385055,8.422181685029573,0.5933388180484863
BLEND_E45_A75,0.75,full,0.1378248622325564,0.11284589956224012,-0.2263873534222821,-0.2119878343635323,1.439951905874981,2.4978962670316296,0.5764658544392418
BLEND_E45_A80,0.8,heldout_2019_plus,0.18234637927240827,0.13199811875313494,-0.2263873534222821,-0.21109509168240415,1.5292261739877966,5.0348260519273325,0.30372969358145124
BLEND_E45_A80,0.8,sealed_2023_plus,0.2492563398696781,0.16271671408845467,-0.144572796391655,-0.09514064345689743,4.943215293475756,8.653962578122343,0.5712083047334241
BLEND_E45_A80,0.8,full,0.1378248622325564,0.11193726309314078,-0.2263873534222821,-0.21109509168240415,1.5292261739877966,2.588759913941563,0.5907176504674185
BLEND_E45_A85,0.85,heldout_2019_plus,0.18234637927240827,0.1304715064506008,-0.2263873534222821,-0.21020413039788666,1.6183223024395454,5.187487282180747,0.31196650987435776
BLEND_E45_A85,0.85,sealed_2023_plus,0.2492563398696781,0.1608887441123188,-0.144572796391655,-0.09528981817007043,4.928297822158456,8.83675957573593,0.5577041878213626
BLEND_E45_A85,0.85,full,0.1378248622325564,0.1109115396335032,-0.2263873534222821,-0.21020413039788655,1.6183223024395565,2.6913322599053213,0.6013089972385972
BLEND_E45_A90,0.9,heldout_2019_plus,0.18234637927240827,0.12908129739327667,-0.2263873534222821,-0.20934929322046392,1.7038060201818195,5.326508187913159,0.3198729749534739
BLEND_E45_A90,0.9,sealed_2023_plus,0.2492563398696781,0.1593411595853229,-0.144572796391655,-0.09507961340868532,4.9493182982969675,8.991518028435518,0.5504430155892293
BLEND_E45_A90,0.9,full,0.1378248622325564,0.110016122957594,-0.2263873534222821,-0.20934929322046392,1.7038060201818195,2.7808739274962413,0.6126872575326853
BLEND_E45_A95,0.95,heldout_2019_plus,0.18234637927240827,0.12739299441587715,-0.2263873534222821,-0.20846420234584306,1.7923151076439048,5.495338485653112,0.32615190353117823
BLEND_E45_A95,0.95,sealed_2023_plus,0.2492563398696781,0.15718179139517297,-0.144572796391655,-0.09521779945062192,4.9354996941033065,9.207454847450514,0.5360330054151626
BLEND_E45_A95,0.95,full,0.1378248622325564,0.10896200305533732,-0.2263873534222821,-0.20846420234584306,1.7923151076439048,2.886285917721909,0.620976285349632
CHAL_E45_E3_FULL,1.0,heldout_2019_plus,0.18234637927240827,0.12587757186262594,-0.2263873534222821,-0.2075836624984907,1.8803690923791416,5.646880740978233,0.33299252784527505
CHAL_E45_E3_FULL,1.0,sealed_2023_plus,0.2492563398696781,0.15521554345330602,-0.144572796391655,-0.095606636426529,4.896615996512599,9.404079641637209,0.5206906133410968
CHAL_E45_E3_FULL,1.0,full,0.1378248622325564,0.1079429047523961,-0.2263873534222821,-0.2075836624984908,1.8803690923791305,2.9881957480160315,0.6292657010932345
