date,nav,cash,gross_equity,equity_weight,regime,e45_equity_scale,dividend_credit,stock_shares_added,cil_cash_credit,pre_financial,pre_telecom,pre_0050,tgt_financial,tgt_telecom,tgt_0050
2012-12-04,3000000.0,3000000.0,0.0,0.0,Bull,0.9817087589106268,0.0,0.0,0.0,0.0,0.0,0.0,0.7462032022893049,0.09214483797196332,0.14336071864935862
2012-12-05,3005663.377002936,2399433.127002936,606230.25,0.20169598985648746,Bull,0.9817087589106268,0.0,0.0,0.0,0.1534469906140622,0.018938913930129173,0.029310085312296084,0.7583039843995605,0.07647144417080219,0.1469333303402642
2012-12-06,3004638.3150076643,1797618.4650076646,1207019.8499999999,0.401718850475659,Bull,0.9817087589106268,0.0,0.0,0.0,0.30879768302416566,0.033606207940453034,0.059314959511040315,0.7739977816238302,0.06471639881993135,0.14299457846686534
2012-12-07,3005127.479436557,1195971.0794365571,1809156.4,0.6020231795089125,Bull,0.9826233209650954,0.0,0.0,0.0,0.4690923794901063,0.04429103287989483,0.08863976713891135,0.7883150417873227,0.05595219147756136,0.13835608770021127
2012-12-10,2984939.124367311,593866.0243673109,2391073.1,0.8010458506442113,Bull,0.9826233209650954,0.0,0.0,0.0,0.6345821208000324,0.051361683978227185,0.11510204586595173,0.7800180368648211,0.07523177034275239,0.12737351375752196
2012-12-11,2989122.170949268,186687.87094926852,2802434.3,0.9375442486882425,Bull,0.9826233209650954,0.0,0.0,0.0,0.7440592665015389,0.06947939499376347,0.12400558719294014,0.7800180368648211,0.07523177034275239,0.12737351375752196
2012-12-12,3020742.840230976,85009.79023097614,2935733.0500000003,0.9718579850297764,Bull,0.9826233209650954,0.0,0.0,0.0,0.7727986702176547,0.07281523507084814,0.12624407974127339,0.7800180368648211,0.07523177034275239,0.12737351375752196
2012-12-13,3031623.790230976,85009.79023097614,2946614.0,0.9719589909193518,Bull,0.9826233209650954,0.0,0.0,0.0,0.7726176669901195,0.07215525907432395,0.12718606485490838,0.7843808204670993,0.06379350266430252,0.13444899783369357
2012-12-14,3028101.690230976,85009.79023097614,2943091.9,0.9719263753574631,Bull,0.9834921549168407,0.0,0.0,0.0,0.7740978473616591,0.07165845873011241,0.1261700692656916,0.785074368720412,0.06384990877622042,0.1345678774202083
2012-12-17,3010644.140230976,85009.79023097614,2925634.35,0.9717635873682321,Bull,0.9834921549168407,0.0,0.0,0.0,0.7743340100703988,0.07216684864765557,0.1252627286501776,0.7962849528237155,0.06276450107833657,0.12444270101478876
2012-12-18,3015350.092349649,58371.74234964877,2956978.35,0.980641802589442,Bull,0.9834921549168407,0.0,0.0,0.0,0.7906839096558006,0.06537758268937377,0.12458031024426752,0.7962849528237155,0.06276450107833657,0.12444270101478876
2012-12-19,3025176.6423496488,58371.74234964877,2966804.9,0.980704682981979,Bull,0.9834921549168407,0.0,0.0,0.0,0.7911587926783193,0.06502241794621955,0.12452347235744012,0.7962849528237155,0.06276450107833657,0.12444270101478876
2012-12-20,2990909.7923496487,58371.74234964877,2932538.05,0.9804836165574248,Bull,0.9834921549168407,0.0,0.0,0.0,0.7910868479056413,0.06497116713350976,0.12442560151827366,0.7962849528237155,0.06276450107833657,0.12444270101478876
2012-12-21,2953525.742349649,58371.74234964877,2895154.0,0.9802365892693349,Bull,0.9843175471709986,0.0,0.0,0.0,0.7898777608567801,0.06495210021341659,0.1254067281991381,0.795086862194197,0.05449526357389611,0.13473542140290554
2012-12-22,2959890.2923496487,58371.74234964877,2901518.55,0.9802790858497287,Bull,0.9843175471709986,0.0,0.0,0.0,0.7898678900507788,0.0649186223207834,0.1254925734781665,0.795086862194197,0.05449526357389611,0.13473542140290554
2012-12-24,2963165.442349649,58371.74234964877,2904793.7,0.9803008831314654,Bull,0.9843175471709986,0.0,0.0,0.0,0.7906590251478597,0.06487984006979886,0.12476201791380674,0.795086862194197,0.05449526357389611,0.13473542140290554
2012-12-25,2997111.8923496488,58371.74234964877,2938740.15,0.9805240029580987,Bull,0.9843175471709986,0.0,0.0,0.0,0.7902086859170571,0.06485987409952922,0.12545544294151253,0.795086862194197,0.05449526357389611,0.13473542140290554
2012-12-26,2984194.2923496487,58371.74234964877,2925822.55,0.9804396977437789,Bull,0.9843175471709986,0.0,0.0,0.0,0.7895417721427428,0.06513449894944903,0.12576342665158713,0.795086862194197,0.05449526357389611,0.13473542140290554
2012-12-27,2990219.992349649,58371.74234964877,2931848.25,0.9804791144133239,Bull,0.9851016698124487,0.0,0.0,0.0,0.789967295397505,0.06511912183658197,0.12539269717923704,0.814988063190943,0.04829226903384346,0.12182133758766231
2012-12-28,3010516.1611300157,47589.46113001553,2962926.7,0.9841922585420858,Bull,0.9851016698124487,0.0,0.0,0.0,0.8083633070704183,0.05312879633901837,0.12270015513264904,0.814988063190943,0.04829226903384346,0.12182133758766231
2013-01-02,3039025.4611300156,47589.46113001553,2991436.0,0.984340552016198,Bull,0.9851016698124487,0.0,0.0,0.0,0.8092467902804401,0.05218909878465629,0.12290466295110136,0.814988063190943,0.04829226903384346,0.12182133758766231
2013-01-03,3048863.3611300155,47589.46113001553,3001273.9,0.9843910810380242,Bull,0.9851016698124487,0.0,0.0,0.0,0.8096112903810576,0.051258315473369495,0.12352147518359723,0.814988063190943,0.04829226903384346,0.12182133758766231
2013-01-04,3022161.7111300156,47589.46113001553,2974572.25,0.9842531718422767,Bull,0.9851016698124487,0.0,0.0,0.0,0.8082914759338334,0.052144033001158115,0.12381766290728503,0.8094409912243622,0.04360746429897596,0.13205321428911052
2013-01-07,3009826.9611300156,47589.46113001553,2962237.5,0.9841886388338589,Bull,0.9858465863218262,0.0,0.0,0.0,0.8077478643779683,0.05268598562239738,0.12375478883349332,0.8100530762265576,0.04364043949441399,0.13215307060085452
