code,stock_ex_date,stock_dividend_yuan,share_factor,price_ret_ex_day,cash_only_nav_ret,stock_aware_nav_ret,nav_ret_gap_stock_minus_cash
2880,2013-08-15,0.5,1.05,-0.06936416184971095,-0.015423936738049093,-0.0030225214846416604,0.012401415253407433
2880,2014-08-14,0.3,1.03,-0.05789473684210533,-0.007992314458216021,0.0003897973826956225,0.008382111840911644
2880,2015-08-13,0.62,1.062,-0.09142857142857141,-0.01255465840821779,0.005931042440977752,0.01848570084919554
2880,2016-08-18,0.62,1.062,-0.08450704225352113,-0.021989074013161525,0.004675917434554977,0.026664991447716502
2880,2017-08-17,0.5,1.05,-0.07282913165266114,-0.013086628591205907,0.009804400593595552,0.02289102918480146
2880,2018-08-16,0.45,1.045,-0.06434316353887393,-0.022404226439501684,-0.0006695494894130016,0.021734676950088683
2880,2019-08-15,0.545,1.0545,-0.086046511627907,-0.04116136216740407,-0.010434269054034329,0.03072709311336974
2880,2020-08-13,0.5603,1.05603,-0.05955334987593053,-0.017992176016875083,0.01297980464727333,0.030971980664148413
2880,2021-09-16,0.264,1.0264,-0.026066350710900466,-0.007910886606843581,0.008075237112578515,0.015986123719422096
2880,2022-08-11,0.34,1.034,-0.03901437371663252,0.001718502939943356,0.02095734672462579,0.019238843784682436
2880,2024-08-13,0.1,1.01,-0.08743169398907102,-0.027236272235208192,-0.02317082467796261,0.004065447557245583
2880,2025-08-13,0.1,1.01,-0.054514480408858645,-0.005082400083395888,0.00024254633756970456,0.005324946420965593
2880,2026-08-13,0.1,1.01,-0.09490740740740744,-0.04279742361747507,-0.03801440707210446,0.004783016545370611
2886,2022-08-11,0.25,1.025,-0.037634408602150726,0.001718502939943356,0.02095734672462579,0.019238843784682436
2886,2023-08-10,0.08,1.008,-0.04630788485607007,-0.003977264544169579,-0.001528413056990141,0.0024488514871794376
2886,2024-08-08,0.3,1.03,-0.08303249097472909,-0.018227824329027364,-0.012534758629258014,0.005693065699769351
2892,2013-08-02,0.65,1.065,-0.06451612903225823,-0.0036724554675441334,0.008602157975706737,0.01227461344325087
2892,2014-08-01,0.7,1.07,-0.08557457212713937,-0.02073836083128744,-0.009143731647485831,0.011594629183801608
2892,2015-07-31,0.65,1.065,-0.1029023746701847,0.005047508099946585,0.008985184321765871,0.003937676221819286
2892,2016-08-05,0.45,1.045,-0.07407407407407407,0.009938345940402993,0.009865248382252556,-7.309755815043673e-05
2892,2017-08-04,0.2,1.02,-0.0626506024096386,0.009769348197793404,0.00988307451491699,0.00011372631712358583
2892,2018-08-10,0.1,1.01,-0.03981264637002346,0.00990642830941324,0.010011339479822245,0.00010491117040900555
2892,2020-08-07,0.3,1.03,-0.07740585774058573,-0.0011298386709360786,-0.0009671164263896914,0.00016272224454638717
2892,2021-08-26,0.1,1.01,-0.04121475054229928,0.0016278582907405248,0.0020834968019733946,0.0004556385112328698
2892,2022-08-04,0.2,1.02,-0.051948051948051854,-0.002322104315171547,-0.00255296345946443,-0.00023085914429288312
2892,2023-08-11,0.3,1.03,-0.07008547008547006,-0.0031219777803807025,-0.0021853234362096963,0.0009366543441710062
2892,2024-08-08,0.3,1.03,-0.06548672566371683,-0.018227824329027364,-0.012534758629258014,0.005693065699769351
2892,2025-08-07,0.25,1.025,-0.07804878048780484,-0.007138762803079568,-0.006829359072058838,0.0003094037310207298
5880,2013-08-14,0.6000000000000001,1.06,-0.06784660766961648,-0.011044855637711182,-7.788390377894139e-05,0.01096697173393224
5880,2014-08-19,0.5,1.05,-0.06017191977077363,0.006574422821677306,0.01397074092962125,0.007396318107943944
5880,2015-08-13,0.5,1.05,-0.07348242811501604,-0.01255465840821779,0.005931042440977752,0.01848570084919554
5880,2016-08-10,0.7,1.07,-0.05610561056105612,0.00697899143265146,0.007098325637189484,0.00011933420453802412
5880,2017-08-16,0.3,1.03,-0.06382978723404253,0.0014847656610583737,0.0016783044389483415,0.00019353877788996776
5880,2018-08-21,0.3,1.03,-0.03968253968253965,0.010065846952409085,0.00999786118971624,-6.798576269284595e-05
5880,2019-08-14,0.3,1.03,-0.048309178743961345,0.006176960070641835,0.007264713370545461,0.0010877532999036266
5880,2020-08-12,0.3,1.03,-0.06636155606407335,-0.0024824812952768394,-0.0022919885192745904,0.000190492776002249
5880,2021-09-08,0.2,1.02,-0.015624999999999889,-0.00019150936879930303,-0.00012196498881522633,6.95443799840767e-05
5880,2022-08-10,0.3,1.03,-0.04561403508771933,0.01070573316789769,0.011406280805276614,0.0007005476373789232
5880,2023-08-09,0.5,1.05,-0.05110732538330498,0.007312831936153064,0.0075146690993499465,0.00020183716319688294
5880,2024-08-14,0.35,1.035,-0.022684310018903475,0.008510080761281902,0.008783361980140292,0.00027328121885838996
5880,2025-08-13,0.3,1.03,-0.052023121387283155,-0.005082400083395888,0.00024254633756970456,0.005324946420965593
5880,2026-08-11,0.25,1.025,-0.08045977011494254,-0.008553785597306685,-0.007783013911037084,0.0007707716862696001
