code,cash_ex_date,cash_payment_date,cash_dividend,source,source_url,raw_note
2880,2010-08-12,2010-09-03,0.2,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend,match=EXACT; yahoo_ex=2010-08-12
2880,2011-08-11,2011-09-02,0.3,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend,match=EXACT; yahoo_ex=2011-08-11
2880,2012-08-15,2012-09-07,0.5,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend,match=EXACT; yahoo_ex=2012-08-15
2880,2013-08-15,2013-09-06,0.5,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2880.TW/dividend,match=EXACT; yahoo_ex=2013-08-15
2886,2010-08-11,2010-09-06,1.0,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend,match=EXACT; yahoo_ex=2010-08-11
2886,2011-08-23,2011-09-16,0.9,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend,match=EXACT; yahoo_ex=2011-08-23
2886,2012-08-08,2012-09-06,0.85,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend,match=EXACT; yahoo_ex=2012-08-08
2886,2013-08-13,2013-09-06,1.1,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend,match=EXACT; yahoo_ex=2013-08-13
2892,2010-08-11,2010-09-02,0.5,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend,match=EXACT; yahoo_ex=2010-08-11
2892,2011-07-29,2011-08-23,0.3,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend,match=EXACT; yahoo_ex=2011-07-29
2892,2012-08-10,2012-09-03,0.4,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend,match=EXACT; yahoo_ex=2012-08-10
2892,2013-08-02,2013-08-20,0.45,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend,match=EXACT; yahoo_ex=2013-08-02
5880,2012-08-02,2012-09-03,0.5,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend,match=NEAR; yahoo_ex=2012-08-03
5880,2013-08-14,2013-10-09,0.4,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/5880.TW/dividend,match=EXACT; yahoo_ex=2013-08-14
2412,2010-08-12,2010-09-10,4.06,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend,match=EXACT; yahoo_ex=2010-08-12
2412,2011-07-21,2011-08-17,5.5243,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend,match=EXACT; yahoo_ex=2011-07-21
2412,2012-07-17,2012-08-22,5.4608,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend,match=EXACT; yahoo_ex=2012-07-17
2412,2013-07-17,2013-08-23,5.3500000000000005,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend,match=EXACT; yahoo_ex=2013-07-17
2412,2014-07-17,2014-08-27,4.5251,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2412.TW/dividend,match=EXACT; yahoo_ex=2014-07-17
3045,2010-07-05,2010-07-23,5.02783,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend,match=EXACT; yahoo_ex=2010-07-05
3045,2011-06-30,2011-07-21,4.1619,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend,match=EXACT; yahoo_ex=2011-06-30
3045,2012-07-09,2012-07-27,5.16,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend,match=EXACT; yahoo_ex=2012-07-09
3045,2013-07-08,2013-07-26,5.5,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend,match=EXACT; yahoo_ex=2013-07-08
3045,2014-06-27,2014-07-18,5.6,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/3045.TW/dividend,match=EXACT; yahoo_ex=2014-06-27
4904,2010-08-10,2010-09-10,2.8,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend,match=EXACT; yahoo_ex=2010-08-10
4904,2011-07-19,2011-08-23,2.5,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend,match=EXACT; yahoo_ex=2011-07-19
4904,2012-07-24,2012-08-22,3.0,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend,match=EXACT; yahoo_ex=2012-07-24
4904,2013-07-24,2013-08-15,3.5,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend,match=EXACT; yahoo_ex=2013-07-24
4904,2014-07-16,2014-08-08,3.75,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/4904.TW/dividend,match=EXACT; yahoo_ex=2014-07-16
