code,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,source,source_url
2886,2007-08-02,2007-08-30,1.5,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend
2886,2006-07-25,2006-08-17,1.55,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend
2886,2005-09-29,2005-10-21,1.5315,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend
2886,2004-08-04,2004-08-27,1.5356,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend
2886,2003-08-04,2003-09-10,0.4,2003-08-04,2003-09-10,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend
2886,,,,2002-07-24,2002-08-30,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2886.TW/dividend
2892,2026-08-11,2026-08-28,1.3,,,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2025-08-07,2025-08-27,0.95,2025-08-07,2025-09-24,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2024-08-08,2024-08-28,0.85,2024-08-08,2024-09-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2023-08-11,2023-08-31,0.8,2023-08-11,2023-09-20,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2022-08-04,2022-08-25,1.0,2022-08-04,2022-09-14,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2021-08-26,2021-09-15,0.9,2021-08-26,2021-10-04,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2020-08-07,2020-08-27,1.05,2020-08-07,2020-09-16,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2019-08-12,2019-08-29,1.0,2019-08-12,2019-09-18,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2018-08-10,2018-08-30,0.9,2018-08-10,2018-09-19,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2017-08-04,2017-08-24,1.2,2017-08-04,2017-09-11,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2016-08-05,2016-08-25,0.95,2016-08-05,2016-09-10,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2015-07-31,2015-08-20,0.7,2015-07-31,2015-09-22,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2014-08-01,2014-08-20,0.5,2014-08-01,2014-09-05,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2013-08-02,2013-08-20,0.45,2013-08-02,2013-09-05,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2012-08-10,2012-09-03,0.4,2012-08-10,2012-09-21,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
2892,2011-07-29,2011-08-23,0.3,2011-07-29,2011-09-15,YahooTW_quote_dividend,https://tw.stock.yahoo.com/quote/2892.TW/dividend
