id,track,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,tip_mdd_ytd_pp,tip_mdd_1y_pp,tip_mdd_clean,promote_shaped,coexist,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,is_observe_ref,is_rule_sell_ref,is_dl
SOFT_CHAMP_PLUS_K9_LT30_a10__SELL_a05,rule_sell_ref,0.10099208553496775,0.10121715777380302,0.00045014447767055543,PASS,PASS,True,0.338464851535103,0.33846485153508077,True,True,True,0.13992624308831103,-0.2161905291986993,0.1839286591665965,-0.2161905291986993,0.2552643503496075,-0.12469329735878576,5795,False,True,False
SOFT_CHAMP_PLUS_K9_LT30_a10,observe,0.08527868225383095,0.10489086922705892,-0.03922437394645595,PASS,PASS,True,0.2280171503082462,0.2280171503082351,True,True,True,0.14013655040896156,-0.21615379208416674,0.18432540435083777,-0.21615379208416674,0.2555735035747173,-0.1257977743710541,5771,True,False,False
LIVE_KD_OPT,base,0.0,0.0,0.0,PASS,PASS,True,0.0,0.0,True,False,False,0.14023801686669346,-0.21720270077643722,0.18393316061137321,-0.21720270077643733,0.2557299834147724,-0.12807794587413646,5751,False,False,False
DL_T2_SEQ10_FLAT_h8_a025,t2_seq10_flat_h8,-0.04398862637938761,-0.006171998855952765,-0.07563325504686969,PASS,PASS,True,-0.20369660318871885,-0.20369660318871885,False,False,False,0.14070766789472344,-0.21726442076499686,0.1846894931618419,-0.21726442076499686,0.2566084794598982,-0.13011491190602387,5744,False,False,True
DL_T2_SEQ10_LIN_a05,t2_seq10_linear,-0.050248844543754334,-0.007312932362246727,-0.08587182436301521,PASS,PASS,True,-0.21972369709453154,-0.21972369709455375,False,False,False,0.14072104291539134,-0.2172758301000598,0.18479187885500337,-0.2172758301000598,0.2565520051936063,-0.1302751828450821,5758,False,False,True
DL_T2_SEQ10_FLAT_h8_a05__SELL_a05,t2_seq10_flat_h8_sell_a05,-0.051836975038577204,-0.03326684991613593,-0.037140250244882544,PASS,PASS,True,-0.20668741624599862,-0.20668741624598752,False,False,False,0.1405119684970646,-0.21753536927559858,0.18430456311382204,-0.2175353692755987,0.25622945595154634,-0.13014482003659655,5752,False,False,True
DL_T2_SEQ20_FLAT_h8_a05,t2_seq20_flat_h8,-0.06105540509865337,-0.0016090770752930084,-0.11889265604672072,PASS,PASS,True,-0.30031886318543366,-0.30031886318546697,False,False,False,0.14094419627929278,-0.21721879154719037,0.18512208717184042,-0.21721879154719026,0.25687242872223215,-0.13108113450599124,5803,False,False,True
DL_T2_SEQ10_FLAT_h8_a05,t2_seq10_flat_h8,-0.07390059561007689,-0.027454309850183378,-0.09289257151978703,PASS,PASS,True,-0.28011093655018193,-0.28011093655019303,False,False,False,0.14081951578700336,-0.21747724387493916,0.18486208632657108,-0.21747724387493916,0.25684324146818094,-0.1308790552396385,5742,False,False,True
DL_T2_SEQ10_CNN_a05,t2_seq10_cnn,-0.0894962876453298,-0.03689767866592586,-0.10519721795880788,PASS,PASS,True,-0.2541893905448456,-0.2541893905448567,False,False,False,0.14086613570139028,-0.21757167756309637,0.1849851327909613,-0.2175716775630966,0.256723932502978,-0.13061983977958513,5783,False,False,True
