date,nav_base,nav_chal,rel_chal_vs_base
2012-12-04,500000000.0,500000000.0,1.0
2012-12-05,500940511.21989167,500960597.8842055,1.0000400979035713
2012-12-06,500770541.429113,500778853.35687506,1.0000165982762053
2012-12-07,500852741.45812535,500862952.84371644,1.0000203879997969
2012-12-10,497491009.79208136,497689604.04678935,1.0003991916452741
2012-12-11,498186597.36229795,498617178.484634,1.00086429688116
2012-12-12,503535191.01925147,503631597.2542181,1.0001914587831915
2012-12-13,505377891.01925147,505460997.2542181,1.0001644437488135
2012-12-14,504783741.01925147,504823547.2542181,1.0000788579974589
2012-12-17,501825091.01925147,501982397.2542181,1.0003134682537438
2012-12-18,502618136.2531116,502880014.8723393,1.000521028988687
2012-12-19,504271786.2531116,504655214.8723393,1.0007603610387896
2012-12-20,498496986.2531116,498657114.8723393,1.0003212228431535
2012-12-21,492168086.2531116,492944164.8723393,1.0015768568521701
2012-12-22,493251986.2531116,493738064.8723393,1.0009854569931287
2012-12-24,493814186.2531116,494008164.8723393,1.000392817024354
2012-12-25,499542036.2531116,499831314.8723393,1.000579087640747
2012-12-26,497360986.2531116,497773664.8723393,1.0008297366111014
2012-12-27,498365586.2531116,498957264.8723393,1.0011872381150475
2012-12-28,501798780.39324886,502376615.300989,1.001151527126645
2013-01-02,506586117.85294473,506926269.1592356,1.0006714580094151
2013-01-03,508263167.85294473,508752869.1592356,1.000963479821604
2013-01-04,503720867.85294473,504292819.1592356,1.0011354528723988
2013-01-07,501627767.85294473,501943569.1592356,1.0006295530800509
2013-01-08,501717567.85294473,501987319.1592356,1.0005376556923156
2013-01-09,501014867.85294473,501382019.1592356,1.0007328151914219
2013-01-10,508108767.85294473,508473319.1592356,1.00071746706484
2013-01-11,508340967.85294473,508644169.1592356,1.0005964526281867
2013-01-14,508241517.85294473,508584769.1592356,1.0006753704572207
2013-01-15,506069117.85294473,506603169.1592356,1.0010552932148016
2013-01-16,502632167.85294473,503059519.1592356,1.0008502267336299
2013-01-17,499235417.85294473,500041169.1592356,1.0016139706388545
2013-01-18,503928267.85294473,504261569.1592356,1.0006614062507566
2013-01-21,503275967.85294473,503846619.1592356,1.0011338735460096
2013-01-22,505634199.3943504,505942889.32437384,1.000610500496986
2013-01-23,505088978.26788205,505479965.9272181,1.0007740965971517
2013-01-24,501682180.68919796,502282740.44200224,1.0011970920553313
2013-01-25,499985380.68919796,500462690.44200224,1.0009546474181832
2013-01-28,505741630.68919796,505833290.44200224,1.000181238298851
