id,track,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,tip_mdd_ytd_pp,tip_mdd_1y_pp,tip_mdd_clean,promote_shaped,coexist,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,signal,alpha,is_seed
SLEEVE_RSI14_LT30_a02,sleeve,0.0033325616638602007,0.009614391908818742,0.012563660489917083,PASS,PASS,True,0.0068522904691614706,0.0068522904691614706,True,True,True,0.14023488196784784,-0.21710655685734914,0.18380752400647404,-0.21710655685734914,0.25573961600743855,-0.12800942296944506,5781,RSI14_LT30,0.2,False
SLEEVE_BELOW_MA60_a01,sleeve,0.05038393940839381,0.0624505979783585,-0.02413331713992939,PASS,PASS,True,-0.15437237900276513,-0.15437237900275402,False,False,True,0.1405923242314393,-0.21657819479665374,0.1841744937827725,-0.21657819479665374,0.2564712307685646,-0.12962166966416433,5726,BELOW_MA60,0.1,True
SLEEVE_BELOW_MA60_a0125,sleeve,0.04871235263920193,0.05850196658131468,-0.019579227884225503,PASS,PASS,True,-0.1637263994470728,-0.1637263994470839,False,False,True,0.14049999704307536,-0.2166176811106243,0.18412895289021547,-0.21661768111062418,0.25646346390808716,-0.12971520986860752,5685,BELOW_MA60,0.125,False
SLEEVE_BELOW_MA60_a005,sleeve,0.020306604487363433,0.0350552268310822,0.02949724468743753,PASS,PASS,True,-0.06668442177315548,-0.06668442177316658,False,False,True,0.1399854578379638,-0.21685214850812662,0.18363818816449884,-0.2168521485081265,0.2554323832706207,-0.12874479009186823,5783,BELOW_MA60,0.05,False
LIVE_STACK,sleeve,0.0,0.0,0.0,PASS,PASS,True,0.0,0.0,True,False,False,0.14023801686669346,-0.21720270077643722,0.18393316061137321,-0.21720270077643733,0.2557299834147724,-0.12807794587413646,5751,none,,False
SLEEVE_RSI14_LT30_a015,sleeve,-0.007133039050166712,0.0016445625715899581,-0.01755520324351334,PASS,PASS,True,-0.07209479701107968,-0.07209479701107968,False,False,False,0.14034683817944482,-0.21718625515072143,0.18410871264380835,-0.21718625515072143,0.25600281761597876,-0.12879889384424748,5756,RSI14_LT30,0.15,False
SLEEVE_RSI14_LT30_a01,sleeve,-0.01322461591618529,-0.005783392948388588,-0.014882445935593402,PASS,PASS,True,-0.05859145234651253,-0.058591452346534734,False,False,False,0.14034692142746974,-0.21726053470592122,0.18408198507072915,-0.21726053470592122,0.2560308916967631,-0.12866386039760191,5777,RSI14_LT30,0.1,False
SLEEVE_BELOW_MA60_a0025,sleeve,-0.022022109008301705,-0.019787128574266788,-0.004469960868069833,PASS,PASS,True,-0.18144518973440826,-0.18144518973441937,False,False,False,0.14027630080815,-0.2174005720621801,0.1839778602200539,-0.21740057206218,0.25620838807240465,-0.12989239777148076,5733,BELOW_MA60,0.025,False
SLEEVE_BELOW_MA40_a01,sleeve,-0.056701481886944904,-0.031350307734756555,-0.0507023483043767,PASS,PASS,True,-0.14043819219816678,-0.14043819219820008,False,False,False,0.14049085830795205,-0.2175162038537849,0.18444018409441698,-0.2175162038537849,0.25705646597106724,-0.12948232779611857,5744,BELOW_MA40,0.1,False
SLEEVE_BELOW_MA40_a0025,sleeve,-0.07321386958641929,-0.06365852189211818,0.019110695388602217,PASS,PASS,True,-0.15254649741559545,-0.15254649741559545,False,False,False,0.1401903043845334,-0.21783928599535862,0.1837420536574872,-0.2178392859953585,0.2553467072851898,-0.12960341084829263,5739,BELOW_MA40,0.025,False
SLEEVE_BELOW_MA60_a0075,sleeve,-0.10637403566615689,-0.10556982333117526,0.0016084246699632487,PASS,PASS,True,-0.11299039140788558,-0.11299039140789668,False,False,False,0.14033715049236384,-0.21825839900974908,0.18391707636467358,-0.21825839900974908,0.25606991932428547,-0.12920784978821542,5758,BELOW_MA60,0.075,False
SLEEVE_BELOW_MA40_a005,sleeve,-0.13850582331352834,-0.13222155517828016,0.012568536270496367,PASS,PASS,True,-0.1354106373306574,-0.1354106373306685,False,False,False,0.1402746933116079,-0.21852491632822013,0.18380747524866825,-0.21852491632822013,0.2562258762838676,-0.12943205224744336,5730,BELOW_MA40,0.05,False
