placebo_i,fin_lo,fin_hi,oof_cagr,oof_mdd,mdd_improve_pp,cagr_giveback_pp,ge_locked_improve
0,0.5,0.7279277011540788,0.08945206638815928,-0.15862504722823334,1.5503952810409283,-0.09824758647898335,False
1,0.5,0.9259802616109951,0.08721373534946242,-0.17562577094101406,-0.1496770902371436,0.12558551739070278,False
2,0.5,0.9044106260034519,0.08730130077200493,-0.1742466936558521,-0.011769361720948002,0.11682897513645152,False
3,0.5,0.6895920289639649,0.0887818265927276,-0.15593676650262822,1.8192233536014402,-0.031223606935815162,False
4,0.5,0.6700365394699707,0.08899308784137938,-0.15323891173022608,2.0890088308416543,-0.05234973180099356,False
5,0.5,0.7321336642539119,0.08955888300567838,-0.15880201314379272,1.5326986894849903,-0.10892924823089345,False
6,0.5,0.6772477576529661,0.08870542257597824,-0.15384927959898587,2.0279720439656757,-0.023583205260879758,False
7,0.5,0.8411411840219356,0.08816249019969202,-0.16908684055710976,0.504215948153286,0.03071003236774228,False
8,0.5,0.8569210236648235,0.08783259347707362,-0.17102099923088765,0.31080008077549737,0.06369970462958285,False
9,0.5,0.8479547377414574,0.08796290450025257,-0.1701800268245205,0.3948973214122131,0.05066860231168757,False
10,0.5,0.6513483850281183,0.08862048778622666,-0.15179601261811382,2.2332987420528805,-0.015089726285721916,False
11,0.5,0.8486693739139533,0.0879417991507565,-0.17030950963392533,0.3819490404717296,0.05277913726129402,False
12,0.5,0.7183414585604907,0.08947530816537497,-0.15728864936463427,1.6840350674008353,-0.10057176420055214,False
13,0.5,0.5535892099664473,0.08637269984764684,-0.13897765552431152,3.5151344514331107,0.2096890675722607,True
14,0.5,0.8114811440504481,0.08807088679316122,-0.16663304353397523,0.7495956504667389,0.03987037302082275,False
15,0.5,0.7738023077464635,0.08822122411881228,-0.1636181281066318,1.0510871932010835,0.02483664045571654,False
16,0.5,0.7604190540765249,0.08885005700079152,-0.1616197390308911,1.2509261007751515,-0.03804664774220701,False
17,0.5,0.6949911820740111,0.0889542266872827,-0.1563663686195632,1.776263141907941,-0.04846361639132546,False
18,0.5,0.6415371471287433,0.08867747170918805,-0.15060083046083617,2.3528169577806457,-0.02078811858186036,False
19,0.5,0.9490158083702132,0.08729874109549529,-0.1747519766769613,-0.0622976638318673,0.11708494278741544,False
20,0.5,0.6341196003772517,0.08815485482750196,-0.14968681683351792,2.44421832051247,0.03147356958674852,False
21,0.5,0.9076117075005523,0.08739359131001323,-0.1739838838926866,0.014511614595602573,0.10759992133562157,False
22,0.5,0.7415651071186964,0.08913107469502823,-0.16022327292506056,1.3905727113582067,-0.06614841716587883,False
23,0.5,0.6791224024659763,0.08887209417639164,-0.15403265924793708,2.0096340790705547,-0.04025036530221904,False
