placebo_i,oof_on_days,oof_cagr,oof_mdd,mdd_improve_pp,cagr_giveback_pp,ge_locked_improve
0,313,0.043388369301114116,-0.16936099114124858,0.4768008897394038,4.508122122225533,False
1,313,0.04624276150909323,-0.17418568803690493,-0.005668799826230586,4.222682901427621,False
2,313,0.0519197655758219,-0.16360444242237493,1.0524557616267693,3.654982494754755,False
3,313,0.04500737297506796,-0.16578870707930915,0.8340292959333473,4.3462217548301485,False
4,313,0.052130315494292256,-0.17196327536754175,0.2165724671100877,3.633927502907719,False
5,313,0.04578164456798528,-0.1750313946413925,-0.09023946027498786,4.268794595538417,False
6,313,0.04945405014685034,-0.16959094696377564,0.4538053074866988,3.901554037651911,False
7,313,0.04649458173355758,-0.17490810539198143,-0.07791053533388048,4.197500878981186,False
8,313,0.04589313880514845,-0.1714903389873903,0.26386610512523223,4.2576451718221,False
9,313,0.050713594595023004,-0.17084481698158993,0.3284183057052692,3.775599592834644,False
10,313,0.048991219095829264,-0.17225239651084157,0.18766035278010573,3.947837142754018,False
11,313,0.04730746850152734,-0.17699681865726424,-0.28678186186216204,4.116212202184211,False
12,313,0.05125142980163955,-0.18041369851845424,-0.6284698479811612,3.72181607217299,False
13,313,0.04903606157741769,-0.16547956277736664,0.8649437261275983,3.9433528945951757,False
14,313,0.05363700577220509,-0.164938507290869,0.9190492747773615,3.4832584751164353,False
15,313,0.049546110218947614,-0.16698966880322452,0.71393312354181,3.892348030442183,False
16,313,0.045523129828574094,-0.1677960487771304,0.6332951261512232,4.294646069479535,False
17,313,0.050769184194734196,-0.17533000995399606,-0.12010099153534348,3.770040632863525,False
18,313,0.04312487396956999,-0.16630787592694374,0.7821124111698885,4.534471655379946,False
19,313,0.04788532051348615,-0.17405140504015926,0.007759499848336571,4.058427000988329,False
20,313,0.050885795496704356,-0.17230311700719314,0.18258830314494823,3.758379502666509,False
21,313,0.05487205646667048,-0.17873174815112514,-0.4602748112482513,3.3597534056698963,False
22,313,0.04533020589232839,-0.16789214719549916,0.6236852843143459,4.313938463104106,False
23,313,0.050284216567107576,-0.16974838378913226,0.43806162495103607,3.818537395626187,False
