book,kind,mode,cut,def_code,cost_multiple,window,mdd_improve_pp,cagr_giveback_pp,score,covid_ex_score,years_helped,n_years_helped
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,sealed_2023_plus,3.237765202075693,9.304269103599982,-1.4143693497242977,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,1,full,-0.1956714951737215,4.858329153959806,-2.6248360721536246,,"2015,2018,2022",3
BASE_E16_E18_E22_v2s,ref,,,,2,heldout_2019_plus,0.0,0.0,0.0,0.0,,0
BASE_E16_E18_E22_v2s,ref,,,,2,sealed_2023_plus,0.0,0.0,0.0,,,0
BASE_E16_E18_E22_v2s,ref,,,,2,full,0.0,0.0,0.0,,,0
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,heldout_2019_plus,2.942201881471851,4.189986455002881,0.8472086539704105,2.5101298589727534,"2015,2018,2020,2022",4
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,sealed_2023_plus,2.545503350166678,5.746006968434747,-0.32750013405069556,,"2015,2018,2020,2022",4
M2_RELOC_BIL_FX_C50,ref_bil,RELOC_BIL_FX,0.5,BIL_FX,2,full,2.942201881471862,3.156446802827806,1.363978480057959,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,2,heldout_2019_plus,2.7186726753545054,4.313509172549579,0.561918089079716,1.095239118935376,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,2,sealed_2023_plus,2.2780514584640255,6.284849583989516,-0.8643733335307324,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH_CBC_C50,ref_cbc,RELOC_TWD_720B,0.5,TWD_CASH_CBC,2,full,2.7186726753545276,3.251016175024035,1.09316458784251,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,2,heldout_2019_plus,2.6868386625232388,4.5615393368697355,0.40606899408837105,0.842255980810902,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,2,sealed_2023_plus,2.19277611432549,6.606749678191792,-1.1105987247704063,,"2015,2018,2020,2022",4
M2_RELOC_TWD_CASH0_C50,ref_cash0,RELOC_TWD_720B,0.5,TWD_CASH0,2,full,2.686838662523261,3.4841058716231332,0.9447857267116944,,"2015,2018,2020,2022",4
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,2,heldout_2019_plus,-1.5049553674583382,5.084776105132138,-4.047343420024408,-1.3318407963672119,"2015,2018,2022",3
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,2,sealed_2023_plus,1.6526737526130209,7.416973963157436,-2.055813228965697,,"2015,2018,2022",3
M2_RELOC_TWD_720B_C50,ref_720,RELOC_TWD_720B,0.5,TWD_720B,2,full,-1.5049553674583382,3.842245718446513,-3.426078226681595,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,2,heldout_2019_plus,-0.991450048608622,4.916229015361306,-3.449564556289275,-0.903964057906137,"2015,2018,2022",3
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,2,sealed_2023_plus,1.6825174436587154,7.012193730869631,-1.8235794217761003,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C50,twd_740,RELOC_TWD_720B,0.5,TWD_740B,2,full,-0.9914500486086109,3.688143658622378,-2.8355218779198,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,2,heldout_2019_plus,-0.5162678222860317,7.57858762183834,-4.305561633205201,-2.6486086323221802,"2015,2018,2022",3
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,2,sealed_2023_plus,3.0402921205266664,10.546958275130947,-2.2331870170388073,,"2015,2018,2022",3
M2_RELOC_TWD_740B_C75,twd_740,RELOC_TWD_720B,0.75,TWD_740B,2,full,-0.5162678222860095,5.776151754772418,-3.4043436996722187,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,2,heldout_2019_plus,-0.5275019776913914,5.327493993437926,-3.1912489744103545,-1.330390602290643,"2015,2018,2022",3
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,2,sealed_2023_plus,1.6707330784073826,7.394398831864191,-2.0264663375247127,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C50,twd_751,RELOC_TWD_720B,0.5,TWD_751B,2,full,-0.5275019776913803,3.8995197212784882,-2.4772618383306244,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,2,heldout_2019_plus,0.05997685456475832,8.198122466956526,-4.039084378913505,-3.3958813462970245,"2015,2018,2022",3
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,2,sealed_2023_plus,3.0258887695230885,11.076328788139712,-2.5122756245467674,,"2015,2018,2022",3
M2_RELOC_TWD_751B_C75,twd_751,RELOC_TWD_720B,0.75,TWD_751B,2,full,0.05997685456476942,6.096321584969044,-2.988183937919753,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,2,heldout_2019_plus,-0.7952577458051335,5.1270630085899604,-3.3587892501001138,-1.1199627778640253,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,2,sealed_2023_plus,1.650299069047012,7.192457133362962,-1.9459294976344688,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C50,twd_basket,RELOC_TWD_720B,0.5,TWD_SHORT_BASKET,2,full,-0.7952577458051335,3.808349458833349,-2.699432475221808,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,2,heldout_2019_plus,-0.2339027473825639,7.885839297059971,-4.1768223959125494,-3.004471718698809,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,2,sealed_2023_plus,3.0401273818452035,10.80488604336396,-2.362315639836776,,"2015,2018,2022",3
M2_RELOC_TWD_SHORT_BASKET_C75,twd_basket,RELOC_TWD_720B,0.75,TWD_SHORT_BASKET,2,full,-0.2339027473825528,5.951702663508529,-3.2097540791368173,,"2015,2018,2022",3
