date,exposure
2011-12-01,1.0
2011-12-02,0.8333333333333334
2011-12-05,0.8333333333333334
2011-12-06,0.8333333333333334
2011-12-07,0.8333333333333334
2011-12-08,0.8333333333333334
2011-12-09,0.8333333333333334
2011-12-12,0.8333333333333334
2011-12-13,0.8333333333333334
2011-12-14,0.8333333333333334
2011-12-15,0.8333333333333334
2011-12-16,0.8333333333333334
2011-12-19,0.8333333333333334
2011-12-20,0.8333333333333334
2011-12-21,0.8333333333333334
2011-12-22,0.8333333333333334
2011-12-23,0.8333333333333334
2011-12-26,0.8333333333333334
2011-12-27,0.8333333333333334
2011-12-28,0.8333333333333334
2011-12-29,0.8333333333333334
2011-12-30,0.8333333333333334
2012-01-02,0.8333333333333334
2012-01-03,0.8333333333333334
2012-01-04,0.8333333333333334
2012-01-05,0.8333333333333334
2012-01-06,0.8333333333333334
2012-01-09,0.8333333333333334
2012-01-10,0.8333333333333334
2012-01-11,0.8333333333333334
2012-01-12,0.7840220932604147
2012-01-13,0.7715303051264495
2012-01-16,0.7816581417646058
2012-01-17,0.75
2012-01-18,0.75
2012-01-30,0.75
2012-01-31,0.75
2012-02-01,0.7692551402905571
2012-02-02,0.7952711333345226
2012-02-03,0.7941952918301248
2012-02-04,0.7916647050143949
2012-02-06,0.8532411005686216
2012-02-07,0.8175104780436362
2012-02-08,0.8281861579444318
2012-02-09,0.8328195587663267
2012-02-10,0.8194556792108427
2012-02-13,0.838536942411066
2012-02-14,0.8325960715380951
2012-02-15,0.8048875511494932
2012-02-16,0.8004668724990919
2012-02-17,0.7896600594035954
2012-02-20,0.7699324753109678
2012-02-21,0.7513206933082406
2012-02-22,0.75
2012-02-23,0.7629669109470367
2012-02-24,0.7584084488283757
2012-02-29,0.7691128806006762
2012-03-01,0.7838134962589243
2012-03-02,0.7669139125258952
2012-03-03,0.75
2012-03-05,0.8731827201241644
2012-03-06,0.8539477335573008
2012-03-07,0.8517486233632163
2012-03-08,0.835206359497252
2012-03-09,0.8861019143823534
2012-03-12,0.8821995237223531
2012-03-13,0.8684355502038188
2012-03-14,0.9048363114415747
2012-03-15,0.9045458893442807
2012-03-16,0.9128682296848603
2012-03-19,0.8935541897682754
2012-03-20,0.9004696056580044
2012-03-21,0.8811545276806683
2012-03-22,0.8801388638574426
2012-03-23,0.9000933957694415
2012-03-26,0.9165917739616924
2012-03-27,0.8693713989970815
2012-03-28,0.9053640219959104
2012-03-29,0.8839221669591016
2012-03-30,0.8247428638820653
2012-04-02,0.8016835166500033
2012-04-03,0.8201706206208296
2012-04-05,0.8568704343320648
2012-04-06,0.8092017372111142
2012-04-09,0.8057520102742307
2012-04-10,0.7766533407956728
2012-04-11,0.7968806298800063
2012-04-12,0.8141924898033711
2012-04-13,0.8405812770273406
2012-04-16,0.7993192951062884
2012-04-17,0.8004038633936662
2012-04-18,0.8027954602879963
2012-04-19,0.809501274571693
2012-04-20,0.8465116045603545
2012-04-23,0.81685078027262
2012-04-24,0.8309161033532425
2012-04-25,0.8350975125995977
2012-04-26,0.851119947415745
2012-04-27,0.836770202503917
2012-04-30,0.8585599862950719
2012-05-02,0.8702872489165902
2012-05-03,0.8590893308022031
2012-05-04,0.8550363157010206
2012-05-07,0.8754848429827409
2012-05-08,0.8247654191076894
2012-05-09,0.8376078799892153
2012-05-10,0.8287598200647345
2012-05-11,0.8309983470550877
2012-05-14,0.8184346917926408
2012-05-15,0.8469846009716271
2012-05-16,0.8485522885447518
2012-05-17,0.8117377192947903
2012-05-18,0.8117149004237527
2012-05-21,0.7834618566496636
2012-05-22,0.7867563226038258
2012-05-23,0.8022341298492079
2012-05-24,0.7808143156060044
2012-05-25,0.7811212919790389
2012-05-28,0.7776783458278147
2012-05-29,0.7796255585612244
2012-05-30,0.7866859780560106
2012-05-31,0.7861505518809511
2012-06-01,0.7884511732330812
2012-06-04,0.7718949539210237
2012-06-05,0.7544351775234275
2012-06-06,0.7582680212341999
2012-06-07,0.7616577149119754
2012-06-08,0.7631115357727702
2012-06-11,0.7581304752007895
2012-06-12,0.7763242766716364
2012-06-13,0.7733541215416427
2012-06-14,0.7793273845121075
2012-06-15,0.7817089321117541
2012-06-18,0.7979674632030773
2012-06-19,0.7998672906416741
2012-06-20,0.8016308372748661
2012-06-21,0.8116161283939807
2012-06-22,0.7955163404941277
2012-06-25,0.8043323015972417
2012-06-26,0.78900797250162
2012-06-27,0.7939995194220371
2012-06-28,0.8245857430475735
2012-06-29,0.8242661783675826
2012-07-02,0.8355461070050286
2012-07-03,0.8882665224571882
2012-07-04,0.8965582847497474
2012-07-05,0.9005598139324983
2012-07-06,0.8926208219547198
2012-07-09,0.9244930141497981
2012-07-10,0.9105725755788608
2012-07-11,0.9062650916673859
2012-07-12,0.9066779718926682
2012-07-13,0.883399118069303
2012-07-16,0.8916707397469403
2012-07-17,0.8970956572741129
2012-07-18,0.8986799354349083
2012-07-19,0.8814036744443688
2012-07-20,0.8814005338973817
2012-07-23,0.8962915128649211
2012-07-24,0.8580360664952364
2012-07-25,0.8701081109621269
2012-07-26,0.859937781339694
2012-07-27,0.8595416047227562
2012-07-30,0.861996648625806
2012-07-31,0.8781528689580468
2012-08-01,0.8762074652336298
2012-08-03,0.876341632370704
2012-08-06,0.8578453695198837
2012-08-07,0.8566766889061188
2012-08-08,0.8594583822520796
2012-08-09,0.865646122808827
2012-08-10,0.8711405194504012
2012-08-13,0.8694777788687985
2012-08-14,0.8684034315171785
2012-08-15,0.8499798049427348
2012-08-16,0.8139888275668219
2012-08-17,0.8271413160941017
2012-08-20,0.8295274537458308
2012-08-21,0.8247972079780476
2012-08-22,0.8488907866327516
2012-08-23,0.8523537281854054
2012-08-24,0.8538471188295371
2012-08-27,0.8616817111517804
2012-08-28,0.8596924964439268
2012-08-29,0.8490534789903595
2012-08-30,0.8641556005034401
2012-08-31,0.8521167464729341
2012-09-03,0.8427162476175873
2012-09-04,0.8520398570053616
2012-09-05,0.8463256718293228
2012-09-06,0.8139451582327709
2012-09-07,0.8238704776232999
2012-09-10,0.8490154400418899
2012-09-11,0.8485277338457499
2012-09-12,0.8425158318014724
2012-09-13,0.8587877226506112
2012-09-14,0.8670822872751942
2012-09-17,0.8916530821965534
2012-09-18,0.8900451295709222
2012-09-19,0.8862522099193765
2012-09-20,0.8830985575669942
2012-09-21,0.8783582774161582
2012-09-24,0.8874515021355491
2012-09-25,0.8861748830662948
2012-09-26,0.8950006503509458
2012-09-27,0.8916166678454808
2012-09-28,0.8919388220685164
2012-10-01,0.8882103080027699
2012-10-02,0.8839461291138907
2012-10-03,0.8913670197899435
2012-10-04,0.8903729250368484
2012-10-05,0.8990805220923515
2012-10-08,0.9095711788561667
2012-10-09,0.9049914793717517
2012-10-11,0.9078060724102103
2012-10-12,0.8755636123427628
2012-10-15,0.8718092513296662
2012-10-16,0.868866921178144
2012-10-17,0.8830905946727807
2012-10-18,0.8806901265355523
2012-10-19,0.8880984561752135
2012-10-22,0.8610662163661236
2012-10-23,0.8612606346176253
2012-10-24,0.8643268010532945
2012-10-25,0.8451569082893324
2012-10-26,0.856044464009696
2012-10-29,0.8307048208536358
2012-10-30,0.8210118965835232
2012-10-31,0.8204038519722157
2012-11-01,0.810106084445331
2012-11-02,0.7819909146906695
2012-11-05,0.8380391378499352
2012-11-06,0.8199722190283311
2012-11-07,0.7989849630339851
2012-11-08,0.8184564228687977
2012-11-09,0.7830440543861648
2012-11-12,0.7605208665501589
2012-11-13,0.7580459011386259
2012-11-14,0.7645603592311224
2012-11-15,0.7923947050977646
2012-11-16,0.7735255888197519
2012-11-19,0.7690389393256276
2012-11-20,0.7961814027313651
2012-11-21,0.8564691329711548
2012-11-22,0.8207072813307493
2012-11-23,0.8391275651051749
2012-11-26,0.8252011120287694
2012-11-27,0.8507640082715766
2012-11-28,0.8628967746646008
2012-11-29,0.8887866577337795
2012-11-30,0.8873440454614663
2012-12-03,0.9018440879128959
2012-12-04,0.9053330309472168
2012-12-05,0.8805467319337995
2012-12-06,0.9091594720258468
2012-12-07,0.913077945619729
2012-12-10,0.916043015925098
2012-12-11,0.8846729838519317
2012-12-12,0.8917457174448359
2012-12-13,0.9327284346249394
2012-12-14,0.9052237893869883
2012-12-17,0.9286887271470011
2012-12-18,0.9222891510964137
2012-12-19,0.9226573022959705
2012-12-20,0.92710909421111
2012-12-21,0.9036217429000373
2012-12-22,0.8767623872649143
2012-12-24,0.8928841243178477
2012-12-25,0.9051004813102004
2012-12-26,0.9307488491145497
2012-12-27,0.8858046018752931
2012-12-28,0.9109890042266798
2013-01-02,0.9214010286411108
2013-01-03,0.9282324265899926
2013-01-04,0.8926205949571848
2013-01-07,0.8524598444296162
2013-01-08,0.857095739557767
2013-01-09,0.8948790842002967
2013-01-10,0.8584895004552732
2013-01-11,0.9416234198860983
2013-01-14,0.9333638783643319
2013-01-15,0.9444409575942077
2013-01-16,0.9551032382196645
2013-01-17,0.9346695076574841
2013-01-18,0.9207950961977219
2013-01-21,0.9313237969896497
2013-01-22,0.9414486137675662
