,R_DD,R_VOL,R_BREADTH,R_FINREL,R_SHOCK,s_t
count,3544.0,3603.0,3603.0,3574.0,3603.0,3603.0
mean,0.2796545815832493,0.4958198102632951,0.42662364696086597,0.34323110567979875,0.02192617263391618,0.31376997315252564
std,0.2874848036282879,0.32460615822497674,0.31402993137141344,0.3710779437715325,0.14646285993312155,0.148169849377998
min,0.0,0.0,0.0,0.0,0.0,0.0007936507936507937
25%,0.049687968367898294,0.19047619047619047,0.125,0.0,0.0,0.20765370310052267
50%,0.1766848739026433,0.5158730158730159,0.375,0.21029466530676977,0.0,0.3022995402580855
75%,0.4279319925735278,0.7896825396825397,0.75,0.6737596095127709,0.0,0.41195286153034394
max,1.0,1.0,1.0,1.0,1.0,0.8
