date,version,cash,receivable,equity,wealth,cash_credit,receivable_credit,receivable_settled,stock_shares
2023-01-03,E22_v3_recv_pay_tax20,0.0,0.0,105400.0,105400.0,0.0,0.0,0.0,4000.0
2023-01-04,E22_v3_recv_pay_tax20,0.0,0.0,105300.0,105300.0,0.0,0.0,0.0,4000.0
2023-01-05,E22_v3_recv_pay_tax20,0.0,0.0,106500.0,106500.0,0.0,0.0,0.0,4000.0
2023-01-06,E22_v3_recv_pay_tax20,0.0,0.0,106550.0,106550.0,0.0,0.0,0.0,4000.0
2023-01-09,E22_v3_recv_pay_tax20,0.0,0.0,109100.0,109100.0,0.0,0.0,0.0,4000.0
2023-01-10,E22_v3_recv_pay_tax20,0.0,0.0,109350.0,109350.0,0.0,0.0,0.0,4000.0
2023-01-11,E22_v3_recv_pay_tax20,0.0,0.0,108150.0,108150.0,0.0,0.0,0.0,4000.0
2023-01-12,E22_v3_recv_pay_tax20,0.0,0.0,107150.0,107150.0,0.0,0.0,0.0,4000.0
2023-01-13,E22_v3_recv_pay_tax20,0.0,0.0,107250.0,107250.0,0.0,0.0,0.0,4000.0
2023-01-16,E22_v3_recv_pay_tax20,0.0,0.0,108750.0,108750.0,0.0,0.0,0.0,4000.0
2023-01-17,E22_v3_recv_pay_tax20,0.0,0.0,108400.0,108400.0,0.0,0.0,0.0,4000.0
2023-01-30,E22_v3_recv_pay_tax20,0.0,0.0,110200.0,110200.0,0.0,0.0,0.0,4000.0
2023-01-31,E22_v3_recv_pay_tax20,0.0,0.0,107250.0,107250.0,0.0,0.0,0.0,4000.0
2023-02-01,E22_v3_recv_pay_tax20,0.0,0.0,108350.0,108350.0,0.0,0.0,0.0,4000.0
2023-02-02,E22_v3_recv_pay_tax20,0.0,0.0,108450.0,108450.0,0.0,0.0,0.0,4000.0
2023-02-03,E22_v3_recv_pay_tax20,0.0,0.0,108050.0,108050.0,0.0,0.0,0.0,4000.0
2023-02-06,E22_v3_recv_pay_tax20,0.0,0.0,107100.0,107100.0,0.0,0.0,0.0,4000.0
2023-02-07,E22_v3_recv_pay_tax20,0.0,0.0,107350.0,107350.0,0.0,0.0,0.0,4000.0
2023-02-08,E22_v3_recv_pay_tax20,0.0,0.0,107200.0,107200.0,0.0,0.0,0.0,4000.0
2023-02-09,E22_v3_recv_pay_tax20,0.0,0.0,107150.0,107150.0,0.0,0.0,0.0,4000.0
2023-02-10,E22_v3_recv_pay_tax20,0.0,0.0,108250.0,108250.0,0.0,0.0,0.0,4000.0
2023-02-13,E22_v3_recv_pay_tax20,0.0,0.0,109450.0,109450.0,0.0,0.0,0.0,4000.0
2023-02-14,E22_v3_recv_pay_tax20,0.0,0.0,110000.0,110000.0,0.0,0.0,0.0,4000.0
2023-02-15,E22_v3_recv_pay_tax20,0.0,0.0,109200.0,109200.0,0.0,0.0,0.0,4000.0
