version,sandbox,end_wealth,end_cash,end_receivable,cagr,max_drawdown,delta_cagr_pp_vs_default,delta_mdd_improve_pp_vs_default,n_days,live_default_untouched
E22_v2s_tw,False,185405.14999999997,17630.199999999997,0.0,0.17576227068452077,-0.10850160998106206,,,879,E22_v2s_tw
E22_v3_recv_pay,True,185405.15,16735.8,894.4000000000001,0.17576227068452077,-0.10850160998106206,0.0,0.0,879,E22_v2s_tw
E22_v3_tax10,True,183646.12999999998,15871.18,0.0,0.17255337781826685,-0.11194786960523162,-0.32088928662539207,-0.34462596241695564,879,E22_v2s_tw
E22_v3_tax20,True,181887.11,14112.160000000003,0.0,0.16932248527105798,-0.11541029601203201,-0.6439785413462795,-0.6908686030969946,879,E22_v2s_tw
