date,version,cash,receivable,equity,wealth,cash_credit,receivable_credit,receivable_settled,stock_shares
2023-01-03,E22_v3_recv_pay,0.0,0.0,105400.0,105400.0,0.0,0.0,0.0,4000.0
2023-01-04,E22_v3_recv_pay,0.0,0.0,105300.0,105300.0,0.0,0.0,0.0,4000.0
2023-01-05,E22_v3_recv_pay,0.0,0.0,106500.0,106500.0,0.0,0.0,0.0,4000.0
2023-01-06,E22_v3_recv_pay,0.0,0.0,106550.0,106550.0,0.0,0.0,0.0,4000.0
2023-01-09,E22_v3_recv_pay,0.0,0.0,109100.0,109100.0,0.0,0.0,0.0,4000.0
2023-01-10,E22_v3_recv_pay,0.0,0.0,109350.0,109350.0,0.0,0.0,0.0,4000.0
2023-01-11,E22_v3_recv_pay,0.0,0.0,108150.0,108150.0,0.0,0.0,0.0,4000.0
2023-01-12,E22_v3_recv_pay,0.0,0.0,107150.0,107150.0,0.0,0.0,0.0,4000.0
2023-01-13,E22_v3_recv_pay,0.0,0.0,107250.0,107250.0,0.0,0.0,0.0,4000.0
2023-01-16,E22_v3_recv_pay,0.0,0.0,108750.0,108750.0,0.0,0.0,0.0,4000.0
2023-01-17,E22_v3_recv_pay,0.0,0.0,108400.0,108400.0,0.0,0.0,0.0,4000.0
2023-01-30,E22_v3_recv_pay,0.0,0.0,110200.0,110200.0,0.0,0.0,0.0,4000.0
2023-01-31,E22_v3_recv_pay,0.0,0.0,107250.0,107250.0,0.0,0.0,0.0,4000.0
2023-02-01,E22_v3_recv_pay,0.0,0.0,108350.0,108350.0,0.0,0.0,0.0,4000.0
2023-02-02,E22_v3_recv_pay,0.0,0.0,108450.0,108450.0,0.0,0.0,0.0,4000.0
2023-02-03,E22_v3_recv_pay,0.0,0.0,108050.0,108050.0,0.0,0.0,0.0,4000.0
2023-02-06,E22_v3_recv_pay,0.0,0.0,107100.0,107100.0,0.0,0.0,0.0,4000.0
2023-02-07,E22_v3_recv_pay,0.0,0.0,107350.0,107350.0,0.0,0.0,0.0,4000.0
2023-02-08,E22_v3_recv_pay,0.0,0.0,107200.0,107200.0,0.0,0.0,0.0,4000.0
2023-02-09,E22_v3_recv_pay,0.0,0.0,107150.0,107150.0,0.0,0.0,0.0,4000.0
2023-02-10,E22_v3_recv_pay,0.0,0.0,108250.0,108250.0,0.0,0.0,0.0,4000.0
2023-02-13,E22_v3_recv_pay,0.0,0.0,109450.0,109450.0,0.0,0.0,0.0,4000.0
2023-02-14,E22_v3_recv_pay,0.0,0.0,110000.0,110000.0,0.0,0.0,0.0,4000.0
2023-02-15,E22_v3_recv_pay,0.0,0.0,109200.0,109200.0,0.0,0.0,0.0,4000.0
2023-02-16,E22_v3_recv_pay,0.0,0.0,109300.0,109300.0,0.0,0.0,0.0,4000.0
2023-02-17,E22_v3_recv_pay,0.0,0.0,109500.0,109500.0,0.0,0.0,0.0,4000.0
2023-02-20,E22_v3_recv_pay,0.0,0.0,110650.0,110650.0,0.0,0.0,0.0,4000.0
2023-02-21,E22_v3_recv_pay,0.0,0.0,109900.0,109900.0,0.0,0.0,0.0,4000.0
2023-02-22,E22_v3_recv_pay,0.0,0.0,110200.0,110200.0,0.0,0.0,0.0,4000.0
2023-02-23,E22_v3_recv_pay,0.0,0.0,110450.0,110450.0,0.0,0.0,0.0,4000.0
2023-02-24,E22_v3_recv_pay,0.0,0.0,109600.0,109600.0,0.0,0.0,0.0,4000.0
2023-03-01,E22_v3_recv_pay,0.0,0.0,109600.0,109600.0,0.0,0.0,0.0,4000.0
2023-03-02,E22_v3_recv_pay,0.0,0.0,108400.0,108400.0,0.0,0.0,0.0,4000.0
2023-03-03,E22_v3_recv_pay,0.0,0.0,108300.0,108300.0,0.0,0.0,0.0,4000.0
2023-03-06,E22_v3_recv_pay,0.0,0.0,108900.0,108900.0,0.0,0.0,0.0,4000.0
2023-03-07,E22_v3_recv_pay,0.0,0.0,109550.0,109550.0,0.0,0.0,0.0,4000.0
2023-03-08,E22_v3_recv_pay,0.0,0.0,109550.0,109550.0,0.0,0.0,0.0,4000.0
2023-03-09,E22_v3_recv_pay,0.0,0.0,108850.0,108850.0,0.0,0.0,0.0,4000.0
2023-03-10,E22_v3_recv_pay,0.0,0.0,107750.0,107750.0,0.0,0.0,0.0,4000.0
2023-03-13,E22_v3_recv_pay,0.0,0.0,107400.0,107400.0,0.0,0.0,0.0,4000.0
2023-03-14,E22_v3_recv_pay,0.0,0.0,106050.0,106050.0,0.0,0.0,0.0,4000.0
2023-03-15,E22_v3_recv_pay,0.0,0.0,105450.0,105450.0,0.0,0.0,0.0,4000.0
2023-03-16,E22_v3_recv_pay,0.0,0.0,104300.0,104300.0,0.0,0.0,0.0,4000.0
2023-03-17,E22_v3_recv_pay,0.0,0.0,104550.0,104550.0,0.0,0.0,0.0,4000.0
2023-03-20,E22_v3_recv_pay,0.0,0.0,104300.0,104300.0,0.0,0.0,0.0,4000.0
2023-03-21,E22_v3_recv_pay,0.0,0.0,105200.0,105200.0,0.0,0.0,0.0,4000.0
2023-03-22,E22_v3_recv_pay,0.0,0.0,106900.0,106900.0,0.0,0.0,0.0,4000.0
2023-03-23,E22_v3_recv_pay,0.0,0.0,107700.0,107700.0,0.0,0.0,0.0,4000.0
2023-03-24,E22_v3_recv_pay,0.0,0.0,107700.0,107700.0,0.0,0.0,0.0,4000.0
2023-03-27,E22_v3_recv_pay,0.0,0.0,107700.0,107700.0,0.0,0.0,0.0,4000.0
2023-03-28,E22_v3_recv_pay,0.0,0.0,107450.0,107450.0,0.0,0.0,0.0,4000.0
2023-03-29,E22_v3_recv_pay,0.0,0.0,107800.0,107800.0,0.0,0.0,0.0,4000.0
2023-03-30,E22_v3_recv_pay,0.0,0.0,107400.0,107400.0,0.0,0.0,0.0,4000.0
2023-03-31,E22_v3_recv_pay,0.0,0.0,107900.0,107900.0,0.0,0.0,0.0,4000.0
2023-04-06,E22_v3_recv_pay,0.0,0.0,108300.0,108300.0,0.0,0.0,0.0,4000.0
2023-04-07,E22_v3_recv_pay,0.0,0.0,107950.0,107950.0,0.0,0.0,0.0,4000.0
2023-04-10,E22_v3_recv_pay,0.0,0.0,108350.0,108350.0,0.0,0.0,0.0,4000.0
