date,generated_at_utc,data_max_date,regime,score_financial,score_telecom,score_0050,e19_points,e19_alert,e20_confirmations,e20_streak,e16_financial,e16_telecom,e16_0050,e20_financial,e20_telecom,e20_0050,e22_dividend_credit
2026-07-01,2026-09-04T07:08:18.575542+00:00,2026-07-01,Crisis,0.2688200438181215,-0.3886076259736434,0.1197875821555221,1,False,2,0,0.7962404832139722,0.1447545087376788,0.0590050080483488,0.75,0.1909949919516511,0.0590050080483488,0.0
2026-07-02,2026-09-04T07:08:18.789454+00:00,2026-07-02,Sideways,0.2364630477824615,-0.2974545468449591,0.0609914990624975,1,False,2,0,0.8155919386050408,0.1261295178821351,0.058278543512824,0.8155919386050408,0.1261295178821351,0.058278543512824,0.0
2026-07-03,2026-09-04T07:08:19.009521+00:00,2026-07-03,Sideways,0.276101724400752,-0.4032661827938876,0.1271644583931357,1,False,2,0,0.8310964970637994,0.1095154838417541,0.0593880190944464,0.8310964970637994,0.1095154838417541,0.0593880190944464,0.0
2026-07-06,2026-09-04T07:08:19.229530+00:00,2026-07-06,Sideways,0.3273071891631424,-0.4484528916294634,0.1211457024663209,1,False,2,0,0.844005052526928,0.095925290590579,0.0600696568824928,0.844005052526928,0.095925290590579,0.0600696568824928,0.0
2026-07-07,2026-09-04T07:08:19.449554+00:00,2026-07-07,Sideways,0.3746730525786287,-0.4366823962466387,0.06200934366801,1,False,1,0,0.8548706157096618,0.0860269080367683,0.0591024762535699,0.8548706157096618,0.0860269080367683,0.0591024762535699,0.0
2026-07-08,2026-09-04T07:08:19.669957+00:00,2026-07-08,Sideways,0.5018293372741838,-0.6372437611592574,0.1354144238850737,2,True,2,0,0.866198695214101,0.0735890869985948,0.0602122177873042,0.866198695214101,0.0735890869985948,0.0602122177873042,3195.98748054
2026-07-09,2026-09-04T07:08:19.878625+00:00,2026-07-09,Sideways,0.3870440839120235,-0.6551473080118826,0.268103224099859,2,True,2,0,0.866198695214101,0.0735890869985948,0.0602122177873042,0.866198695214101,0.0735890869985948,0.0602122177873042,6278.69748
2026-07-13,2026-09-04T07:08:20.070973+00:00,2026-07-13,Sideways,0.3732875267654588,-0.6543064188875161,0.281018892122057,2,True,2,0,0.866198695214101,0.0735890869985948,0.0602122177873042,0.866198695214101,0.0735890869985948,0.0602122177873042,0.0
2026-07-14,2026-09-04T07:08:20.263958+00:00,2026-07-14,Sideways,0.4687157591828076,-0.6292074410897524,0.1604916819069446,2,True,2,0,0.866198695214101,0.0735890869985948,0.0602122177873042,0.866198695214101,0.0735890869985948,0.0602122177873042,0.0
2026-07-15,2026-09-04T07:08:20.470027+00:00,2026-07-15,Sideways,0.4027986586733091,-0.6193132429422226,0.2165145842689134,2,True,2,0,0.866198695214101,0.0735890869985948,0.0602122177873042,0.866198695214101,0.0735890869985948,0.0602122177873042,0.0
2026-07-16,2026-09-04T07:08:20.691162+00:00,2026-07-16,Sideways,0.5009968802151124,-0.6099298051358639,0.1089329249207516,2,True,2,0,0.866198695214101,0.0735890869985948,0.0602122177873042,0.866198695214101,0.0735890869985948,0.0602122177873042,0.0
2026-07-17,2026-09-04T07:08:20.897788+00:00,2026-07-17,Crisis,0.6671125379875434,-0.3175154717085121,-0.3495970662790311,0,False,1,0,0.8163268348602642,0.1347539284562333,0.0489192366835024,0.75,0.2010807633164975,0.0489192366835024,0.0
2026-07-20,2026-09-04T07:08:21.106747+00:00,2026-07-20,Sideways,0.7280207073808942,-0.2040484270132398,-0.5239722803676542,0,False,1,0,0.8423939246772516,0.1209166478101215,0.0366894275126268,0.8423939246772516,0.1209166478101215,0.0366894275126268,0.0
2026-07-21,2026-09-04T07:08:21.314413+00:00,2026-07-21,Crisis,0.7334015795886061,-0.3180253063450931,-0.415376273243513,0,False,1,0,0.8001304829976539,0.1702368531989638,0.0296326638033822,0.75,0.2203673361966177,0.0296326638033822,937.8
2026-07-22,2026-09-04T07:08:21.537279+00:00,2026-07-22,Crisis,0.7126110116335707,-0.3289973547949095,-0.3836136568386611,0,False,1,0,0.7679131375390797,0.2069527060293501,0.0251341564315701,0.75,0.2248658435684298,0.0251341564315701,0.0
2026-07-23,2026-09-04T07:08:21.761411+00:00,2026-07-23,Crisis,0.8871542804415508,-0.4526414488095073,-0.4345128316320433,1,False,1,0,0.7481137101653486,0.2313984933017749,0.0204877965328765,0.7481137101653486,0.2313984933017749,0.0204877965328765,0.0
2026-07-24,2026-09-04T07:08:21.985560+00:00,2026-07-24,Crisis,0.9827629371830926,-0.1446819270623834,-0.8380810101207091,0,False,1,0,0.729945512350088,0.2546886402502545,0.0153658473996574,0.729945512350088,0.2546886402502545,0.0153658473996574,0.0
2026-07-27,2026-09-04T07:08:22.210653+00:00,2026-07-27,Crisis,1.018687919801001,-0.1787100415803471,-0.8399778782206538,0,False,1,0,0.7171569808746132,0.2713186335756437,0.011524385549743,0.7171569808746132,0.2713186335756437,0.011524385549743,0.0
2026-07-28,2026-09-04T07:08:22.435620+00:00,2026-07-28,Crisis,0.9310056473740972,0.0350460283124152,-0.9660516756865124,0,False,1,0,0.7039832062462503,0.2873735045914424,0.0086432891623072,0.7039832062462503,0.2873735045914424,0.0086432891623072,0.0
2026-07-29,2026-09-04T07:08:22.661183+00:00,2026-07-29,Crisis,0.8737723643843807,0.1633623778352023,-1.0371347422195831,0,False,1,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-07-30,2026-09-04T07:08:22.874170+00:00,2026-07-30,Crisis,0.8824653506473682,0.1703865414956647,-1.052851892143033,0,False,1,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-07-31,2026-09-04T07:08:23.082144+00:00,2026-07-31,Crisis,0.997990203147064,-0.1456221028649643,-0.8523681002820995,1,False,1,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-08-03,2026-09-04T07:08:23.305599+00:00,2026-08-03,Crisis,0.9578437608942162,-0.059644717907787,-0.898199042986429,0,False,1,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-08-04,2026-09-04T07:08:23.500428+00:00,2026-08-04,Crisis,0.9616892074799772,-0.0338985336452604,-0.9277906738347168,0,False,1,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-08-05,2026-09-04T07:08:23.694981+00:00,2026-08-05,Crisis,1.024537595407726,-0.2540987603654507,-0.7704388350422748,1,False,2,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-08-06,2026-09-04T07:08:23.889091+00:00,2026-08-06,Crisis,0.8609449155019866,0.065856598608515,-0.9268015141105016,0,False,2,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-08-07,2026-09-04T07:08:24.082688+00:00,2026-08-07,Crisis,0.8829677704974788,0.0606171751714177,-0.9435849456688964,0,False,2,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-08-10,2026-09-04T07:08:24.276753+00:00,2026-08-10,Crisis,0.943238175823776,-0.15322973574791,-0.7900084400758657,0,False,2,0,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.6936400747775768,0.2998774583506928,0.0064824668717304,0.0
2026-08-11,2026-09-04T07:08:24.470907+00:00,2026-08-11,Crisis,0.6867675685672975,-0.0346863410961298,-0.6520812274711676,0,False,2,0,0.6848950006088712,0.310243149237331,0.0048618501537978,0.6848950006088712,0.310243149237331,0.0048618501537978,36365.4
2026-08-12,2026-09-04T07:08:24.667019+00:00,2026-08-12,Crisis,0.6886683417357705,-0.1532975205410499,-0.5353708211947206,0,False,2,0,0.6848950006088712,0.310243149237331,0.0048618501537978,0.6848950006088712,0.310243149237331,0.0048618501537978,0.0
2026-08-13,2026-09-04T07:08:24.875244+00:00,2026-08-13,Crisis,0.6112399592413374,-0.5988481293912795,-0.0123918298500577,1,False,2,0,0.6789522494376868,0.3052111586932162,0.0158365918690969,0.6789522494376868,0.3052111586932162,0.0158365918690969,37574.65
2026-08-14,2026-09-04T07:08:25.104492+00:00,2026-08-14,Crisis,0.2550404952100851,-0.613842992715194,0.358802497505109,1,False,2,0,0.6655901994585173,0.3010622942020323,0.0333475063394504,0.6655901994585173,0.3010622942020323,0.0333475063394504,0.0
2026-08-17,2026-09-04T07:08:25.333660+00:00,2026-08-17,Crisis,0.2324881336786057,-0.5380730101222515,0.3055848764436457,1,False,2,0,0.6550048529358531,0.299844895398468,0.0451502516656789,0.6550048529358531,0.299844895398468,0.0451502516656789,0.0
2026-08-18,2026-09-04T07:08:25.549003+00:00,2026-08-18,Crisis,0.4691643784938213,-0.408001237790466,-0.0611631407033554,1,False,2,0,0.6550048529358531,0.299844895398468,0.0451502516656789,0.6550048529358531,0.299844895398468,0.0451502516656789,0.0
2026-08-19,2026-09-04T07:08:25.755153+00:00,2026-08-19,Crisis,0.8269375853511218,-0.1341816953636448,-0.6927558899874772,0,False,3,1,0.658699462476311,0.3074378487744298,0.0338626887492592,0.658699462476311,0.3074378487744298,0.0338626887492592,0.0
2026-08-20,2026-09-04T07:08:25.951304+00:00,2026-08-20,Crisis,0.6447908868755237,0.2809509795552698,-0.9257418664307934,0,False,3,2,0.658699462476311,0.3074378487744298,0.0338626887492592,0.658699462476311,0.3074378487744298,0.0338626887492592,0.0
2026-08-21,2026-09-04T07:08:26.145845+00:00,2026-08-21,Crisis,0.4847882724384562,-0.2461967029102276,-0.2385915695282284,1,False,2,0,0.658699462476311,0.3074378487744298,0.0338626887492592,0.658699462476311,0.3074378487744298,0.0338626887492592,0.0
2026-08-24,2026-09-04T07:08:26.341293+00:00,2026-08-24,Crisis,0.37193833145512,-0.1541423891705947,-0.2177959422845253,1,False,2,0,0.658699462476311,0.3074378487744298,0.0338626887492592,0.658699462476311,0.3074378487744298,0.0338626887492592,0.0
2026-08-25,2026-09-04T07:08:26.535882+00:00,2026-08-25,Crisis,0.255229225018728,-0.0654602418928413,-0.1897689831258868,1,False,2,0,0.658699462476311,0.3074378487744298,0.0338626887492592,0.658699462476311,0.3074378487744298,0.0338626887492592,0.0
2026-08-26,2026-09-04T07:08:26.745666+00:00,2026-08-26,Sideways,0.1474205419620445,-0.0994252735342825,-0.0479952684277619,1,False,2,0,0.7102101104062843,0.2530927547424653,0.0366971348512503,0.7102101104062843,0.2530927547424653,0.0366971348512503,0.0
2026-08-27,2026-09-04T07:08:26.974677+00:00,2026-08-27,Sideways,0.1089805136466243,-0.081923805706775,-0.0270567079398493,1,False,2,0,0.7478820956458789,0.2127714709141795,0.0393464334399415,0.7478820956458789,0.2127714709141795,0.0393464334399415,0.0
2026-08-28,2026-09-04T07:08:27.205299+00:00,2026-08-28,Bull,-0.1328263526995829,-0.0342580655108901,0.1670844182104729,0,False,2,0,0.7700909129169196,0.1712221515478624,0.0586869355352179,0.7700909129169196,0.1712221515478624,0.0586869355352179,0.0
2026-08-31,2026-09-04T07:08:27.436390+00:00,2026-08-31,Bull,0.1999055418320601,-0.1939901650674131,-0.0059153767646472,1,False,2,0,0.7950658232334912,0.1360668595342115,0.0688673172322973,0.7950658232334912,0.1360668595342115,0.0688673172322973,0.0
2026-09-01,2026-09-04T07:08:27.669618+00:00,2026-09-01,Bull,0.192813119991758,-0.3592910028920227,0.1664778829002648,1,False,2,0,0.8102122555763976,0.1094325495821297,0.0803551948414725,0.8102122555763976,0.1094325495821297,0.0803551948414725,0.0
2026-09-02,2026-09-04T07:08:27.901075+00:00,2026-09-02,Bull,0.5151382930315769,-0.4396423302787564,-0.07549596275282,0,False,2,0,0.8277630293518449,0.0893988867708534,0.0828380838773016,0.8277630293518449,0.0893988867708534,0.0828380838773016,0.0
2026-09-03,2026-09-04T07:08:28.143469+00:00,2026-09-03,Bull,0.7141563346579127,-0.1583385712994003,-0.5558177633585124,0,False,3,1,0.8511761803803315,0.07559070079565505,0.0732331188240134,0.8511761803803315,0.07559070079565505,0.0732331188240134,0.0
