date,nav_e16_e18_e22,cash,pre_financial,pre_telecom,pre_0050,target_l1_gap,orders_created,fills_processed,dividend_credit,dividend_cash_total
2026-07-01,3000000.0,3000000.0,0.0,0.0,0.0,1.0,8,0,0.0,0.0
2026-07-02,2996983.030755452,2403757.730755452,0.157341364686051,0.0288735368575601,0.0117259255856185,0.8020591728707702,8,8,0.0,0.0
2026-07-03,3009196.071150762,1809037.071150762,0.3228253583451292,0.0528890428662354,0.0231160410804999,0.6011695577081354,8,8,0.0,0.0
2026-07-06,3029538.427817378,1206312.7278173782,0.4958743669352648,0.0710322727792684,0.0349096908720166,0.39818366941345,8,8,0.0,0.0
2026-07-07,3045760.2550557773,600907.0550557777,0.6736239980130764,0.0827084139606341,0.0463746283922184,0.1972929596340711,8,8,0.0,0.0
2026-07-08,3067685.514238629,152801.66423862896,0.8140962912946536,0.0806778592040344,0.0554157684061666,0.0639876255060246,8,8,3195.98748054,3195.98748054
2026-07-09,3043486.032172978,43629.33217297773,0.8520026287581209,0.0743220102240784,0.0593400456223074,0.0158011618464604,0,8,6278.69748,9474.68496054
2026-07-13,3054286.5821729777,43629.33217297773,0.8519066826233528,0.0745667094009129,0.059241985037065,0.0162398677433055,0,0,0.0,9474.68496054
2026-07-14,3052421.932172978,43629.33217297773,0.8531745472507698,0.0741486940630375,0.058383409620286,0.015412563194792,0,0,0.0,9474.68496054
2026-07-15,3031230.7321729776,43629.33217297773,0.8507689542165925,0.0749762456509136,0.0598615268953552,0.0171675905417763,8,0,0.0,9474.68496054
2026-07-16,3076105.507607078,10800.857607078731,0.8621885834023779,0.0750143320602495,0.0592858728509174,0.0063617018097647,0,8,0.0,9474.68496054
2026-07-17,3094232.957607079,10800.857607078731,0.8654810535244987,0.0755518421537302,0.0554764629398656,0.1149135312231006,8,0,0.0,9474.68496054
2026-07-20,3100177.115998756,15165.36599875598,0.8286019004344624,0.1164931829656615,0.0500131425394542,0.0315392041140767,0,8,0.0,9474.68496054
2026-07-21,3138005.415998756,16103.16599875598,0.8295899480375633,0.1142244682474257,0.0510539271803677,0.1068931133684328,8,0,937.8,10412.48496054
2026-07-22,3138179.6441184045,51195.44411840436,0.806660161965058,0.1415510105779144,0.035475088307532,0.1144896517533758,8,8,0.0,10412.48496054
2026-07-23,3130856.7499862257,24437.54998622571,0.7782050392470748,0.1861798691372783,0.0278097041649647,0.082631860878311,8,8,0.0,10412.48496054
2026-07-24,3136918.045653878,16905.24565387809,0.7539110571526055,0.2188809175143364,0.021818899634572,0.0662263197733503,8,8,0.0,10412.48496054
2026-07-27,3179983.734115603,15093.18411560311,0.7374749200257217,0.2410617676361147,0.0167170037474372,0.0557674232883315,8,8,0.0,10412.48496054
2026-07-28,3177691.101887446,12010.101887445857,0.7229603590592716,0.2609699852535803,0.012290149906894,0.0490275328954701,8,8,0.0,10412.48496054
