fill_id,signal_date,fill_date,code,side,quantity,fill_price,gross,fees_tax,slippage_bp
2026-07-01-2880-BUY,2026-07-01,2026-07-02,2880,BUY,3254,36.368175,118342.04145,101.18244543975,5.0
2026-07-01-2886-BUY,2026-07-01,2026-07-02,2886,BUY,2587,45.72285,118285.01295,101.13368607225,5.0
2026-07-01-2892-BUY,2026-07-01,2026-07-02,2892,BUY,3597,33.0165,118760.3505,101.5400996775,5.0
2026-07-01-5880-BUY,2026-07-01,2026-07-02,5880,BUY,4806,24.8124,119248.3944,101.957377212,5.0
2026-07-01-2412-BUY,2026-07-01,2026-07-02,2412,BUY,204,141.07049999999998,28778.382,24.60551661,5.0
2026-07-01-3045-BUY,2026-07-01,2026-07-02,3045,BUY,245,118.059,28924.455,24.730409025,5.0
2026-07-01-4904-BUY,2026-07-01,2026-07-02,4904,BUY,279,103.0515,28751.3685,24.5824200675,5.0
2026-07-01-0050-BUY,2026-07-01,2026-07-02,0050,BUY,323,107.2536,34642.9128,29.619690444,5.0
2026-07-02-2880-BUY,2026-07-02,2026-07-03,2880,BUY,3360,36.11805,121356.648,103.75993404,5.0
2026-07-02-2886-BUY,2026-07-02,2026-07-03,2886,BUY,2673,45.4227,121414.8771,103.8097199205,5.0
2026-07-02-2892-BUY,2026-07-02,2026-07-03,2892,BUY,3831,32.016,122653.296,104.86856808,5.0
2026-07-02-5880-BUY,2026-07-02,2026-07-03,5880,BUY,5009,24.4122,122280.7098,104.550006879,5.0
2026-07-02-2412-BUY,2026-07-02,2026-07-03,2412,BUY,171,141.07049999999998,24123.0555,20.6252124525,5.0
2026-07-02-3045-BUY,2026-07-02,2026-07-03,3045,BUY,204,119.0595,24288.138,20.76635799,5.0
2026-07-02-4904-BUY,2026-07-02,2026-07-03,4904,BUY,235,103.0515,24217.1025,20.7056226375,5.0
2026-07-02-0050-BUY,2026-07-02,2026-07-03,0050,BUY,319,106.203075,33878.780925,28.966357690875,5.0
2026-07-03-2880-BUY,2026-07-03,2026-07-06,2880,BUY,3378,37.81889999999999,127752.24419999996,109.22816879099996,5.0
2026-07-03-2886-BUY,2026-07-03,2026-07-06,2886,BUY,2795,45.372675,126816.626625,108.428215764375,5.0
2026-07-03-2892-BUY,2026-07-03,2026-07-06,2892,BUY,3926,32.366175,127069.60305,108.64451060775,5.0
2026-07-03-5880-BUY,2026-07-03,2026-07-06,5880,BUY,5150,24.71235,127268.60249999998,108.81465513749998,5.0
2026-07-03-2412-BUY,2026-07-03,2026-07-06,2412,BUY,134,141.07049999999998,18903.447,16.162447184999998,5.0
2026-07-03-3045-BUY,2026-07-03,2026-07-06,3045,BUY,162,117.55875,19044.5175,16.2830624625,5.0
2026-07-03-4904-BUY,2026-07-03,2026-07-06,4904,BUY,179,105.0525,18804.3975,16.0777598625,5.0
2026-07-03-0050-BUY,2026-07-03,2026-07-06,0050,BUY,335,109.104525,36550.015875,31.250263573125,5.0
2026-07-06-2880-BUY,2026-07-06,2026-07-07,2880,BUY,3462,38.019,131621.778,112.53662019,5.0
2026-07-06-2886-BUY,2026-07-06,2026-07-07,2886,BUY,2860,46.273125,132341.1375,113.1516725625,5.0
2026-07-06-2892-BUY,2026-07-06,2026-07-07,2892,BUY,4007,33.066525,132497.565675,113.285418652125,5.0
2026-07-06-5880-BUY,2026-07-06,2026-07-07,5880,BUY,5329,24.8124,132225.2796,113.052614058,5.0
2026-07-06-2412-BUY,2026-07-06,2026-07-07,2412,BUY,89,141.57075,12599.79675,10.77282622125,5.0
2026-07-06-3045-BUY,2026-07-06,2026-07-07,3045,BUY,107,118.059,12632.313,10.800627615,5.0
2026-07-06-4904-BUY,2026-07-06,2026-07-07,4904,BUY,122,103.55175,12633.3135,10.8014830425,5.0
2026-07-06-0050-BUY,2026-07-06,2026-07-07,0050,BUY,353,108.604275,38337.309075,32.778399259125,5.0
2026-07-07-2880-BUY,2026-07-07,2026-07-08,2880,BUY,2657,39.11955,103940.64435,88.86925091924999,5.0
2026-07-07-2886-BUY,2026-07-07,2026-07-08,2886,BUY,2211,46.82339999999999,103526.5374,88.51518947699998,5.0
2026-07-07-2892-BUY,2026-07-07,2026-07-08,2892,BUY,3108,33.266625,103392.6705,88.4007332775,5.0
2026-07-07-5880-BUY,2026-07-07,2026-07-08,5880,BUY,4156,24.962475,103744.0461,88.70115941549999,5.0
2026-07-07-2412-BUY,2026-07-07,2026-07-08,2412,BUY,17,141.57075,2406.70275,2.05773085125,5.0
2026-07-07-3045-BUY,2026-07-07,2026-07-08,3045,BUY,21,117.55875,2468.73375,2.11076735625,5.0
2026-07-07-4904-BUY,2026-07-07,2026-07-08,4904,BUY,24,98.94945,2374.7868,2.030442714,5.0
2026-07-07-0050-BUY,2026-07-07,2026-07-08,0050,BUY,273,106.4532,29061.7236,24.847773678,5.0
2026-07-08-2880-BUY,2026-07-08,2026-07-09,2880,BUY,754,39.71985,29948.7669,25.6061956995,5.0
2026-07-08-2886-BUY,2026-07-08,2026-07-09,2886,BUY,640,46.873425,29998.992,25.64913816,5.0
2026-07-08-2892-BUY,2026-07-08,2026-07-09,2892,BUY,878,34.11705,29954.7699,25.6113282645,5.0
2026-07-08-5880-BUY,2026-07-08,2026-07-09,5880,BUY,1193,25.11255,29959.27215,25.61517768825,5.0
2026-07-08-2412-SELL,2026-07-08,2026-07-09,2412,SELL,38,133.93300000000002,5089.454000000001,19.61984517,5.0
2026-07-08-3045-SELL,2026-07-08,2026-07-09,3045,SELL,48,106.9465,5133.432,19.78938036,5.0
2026-07-08-4904-SELL,2026-07-08,2026-07-09,4904,SELL,58,93.5532,5426.0856,20.917559988,5.0
2026-07-08-0050-BUY,2026-07-08,2026-07-09,0050,BUY,104,106.403175,11065.9302,9.461370321,5.0
2026-07-15-2880-BUY,2026-07-15,2026-07-16,2880,BUY,225,38.869425,8745.620625,7.477505634374999,5.0
2026-07-15-2886-BUY,2026-07-15,2026-07-16,2886,BUY,190,46.023,8744.369999999999,7.476436349999998,5.0
2026-07-15-2892-BUY,2026-07-15,2026-07-16,2892,BUY,264,33.11655,8742.769199999999,7.475067665999998,5.0
2026-07-15-5880-BUY,2026-07-15,2026-07-16,5880,BUY,345,25.2126,8698.347,7.437086685,5.0
2026-07-15-2412-SELL,2026-07-15,2026-07-16,2412,SELL,7,133.43325000000002,934.03275,3.60069625125,5.0
2026-07-15-3045-SELL,2026-07-15,2026-07-16,3045,SELL,9,108.9455,980.5095,3.7798641225,5.0
2026-07-15-4904-SELL,2026-07-15,2026-07-16,4904,SELL,10,96.7516,967.516,3.72977418,5.0
2026-07-15-0050-BUY,2026-07-15,2026-07-16,0050,BUY,7,105.402675,737.8187249999999,0.6308350098749999,5.0
2026-07-17-2880-SELL,2026-07-17,2026-07-20,2880,SELL,710,40.229875,28563.21125,110.11117936875,5.0
2026-07-17-2886-SELL,2026-07-17,2026-07-20,2886,SELL,599,47.7761,28617.8839,110.3219424345,5.0
2026-07-17-2892-SELL,2026-07-17,2026-07-20,2892,SELL,836,34.132925,28535.1253,110.0029080315,5.0
2026-07-17-5880-SELL,2026-07-17,2026-07-20,5880,SELL,1124,25.637175,28816.1847,111.0863920185,5.0
2026-07-17-2412-BUY,2026-07-17,2026-07-20,2412,BUY,331,139.0695,46032.0045,39.3573638475,5.0
2026-07-17-3045-BUY,2026-07-17,2026-07-20,3045,BUY,412,112.056,46167.072,39.47284656,5.0
2026-07-17-4904-BUY,2026-07-17,2026-07-20,4904,BUY,314,103.55175,32515.2495,27.8005383225,5.0
2026-07-17-0050-SELL,2026-07-17,2026-07-20,0050,SELL,151,100.1499,15122.6349,28.0524877395,5.0
2026-07-21-2880-SELL,2026-07-21,2026-07-22,2880,SELL,424,40.1799,17036.2776,65.674850148,5.0
2026-07-21-2886-SELL,2026-07-21,2026-07-22,2886,SELL,356,47.87605,17043.8738,65.70413349900001,5.0
2026-07-21-2892-SELL,2026-07-21,2026-07-22,2892,SELL,503,34.032975,17118.586425,65.992150668375,5.0
2026-07-21-5880-SELL,2026-07-21,2026-07-22,5880,SELL,674,25.487250000000003,17178.4065,66.2227570575,5.0
2026-07-21-2412-BUY,2026-07-21,2026-07-22,2412,BUY,316,137.56875,43471.725,37.168324875,5.0
2026-07-21-3045-BUY,2026-07-21,2026-07-22,3045,BUY,362,112.056,40564.272,34.682452559999994,5.0
2026-07-21-4904-BUY,2026-07-21,2026-07-22,4904,BUY,1,102.051,102.051,0.0872536049999999,5.0
2026-07-21-0050-SELL,2026-07-21,2026-07-22,0050,SELL,491,104.44775,51283.84525,95.13153293874998,5.0
2026-07-22-2880-SELL,2026-07-22,2026-07-23,2880,SELL,552,41.27935,22786.2012,87.84080562599999,5.0
2026-07-22-2886-SELL,2026-07-22,2026-07-23,2886,SELL,473,48.325825,22858.115225,88.118034192375,5.0
2026-07-22-2892-SELL,2026-07-22,2026-07-23,2892,SELL,662,34.3828,22761.413600000003,87.74524942800001,5.0
2026-07-22-5880-SELL,2026-07-22,2026-07-23,5880,SELL,892,25.7871,23002.093200000003,88.67306928600001,5.0
2026-07-22-2412-BUY,2026-07-22,2026-07-23,2412,BUY,370,139.0695,51455.715,43.994636325,5.0
2026-07-22-3045-BUY,2026-07-22,2026-07-23,3045,BUY,456,113.0565,51553.764,44.07846822,5.0
2026-07-22-4904-BUY,2026-07-22,2026-07-23,4904,BUY,375,104.052,39019.5,33.3616725,5.0
2026-07-22-0050-SELL,2026-07-22,2026-07-23,0050,SELL,234,104.197875,24382.302750000003,45.22917160125,5.0
2026-07-23-2880-SELL,2026-07-23,2026-07-24,2880,SELL,428,40.07995,17154.2186,66.129512703,5.0
2026-07-23-2886-SELL,2026-07-23,2026-07-24,2886,SELL,366,47.07645,17229.9807,66.4215755985,5.0
2026-07-23-2892-SELL,2026-07-23,2026-07-24,2892,SELL,517,33.3833,17259.1661,66.5340853155,5.0
2026-07-23-5880-SELL,2026-07-23,2026-07-24,5880,SELL,690,25.237375,17413.78875,67.13015563124999,5.0
2026-07-23-2412-BUY,2026-07-23,2026-07-24,2412,BUY,256,137.56875,35217.6,30.111048,5.0
2026-07-23-3045-BUY,2026-07-23,2026-07-24,3045,BUY,316,111.55575,35251.617,30.140132535,5.0
2026-07-23-4904-BUY,2026-07-23,2026-07-24,4904,BUY,222,102.051,22655.322,19.37030031,5.0
2026-07-23-0050-SELL,2026-07-23,2026-07-24,0050,SELL,165,102.498725,16912.289625,31.372297254375,5.0
2026-07-24-2880-SELL,2026-07-24,2026-07-27,2880,SELL,346,41.07945,14213.4897,54.7930027935,5.0
2026-07-24-2886-SELL,2026-07-24,2026-07-27,2886,SELL,290,48.9755,14202.895,54.752160225,5.0
2026-07-24-2892-SELL,2026-07-24,2026-07-27,2892,SELL,410,34.5827,14178.907,54.659686485,5.0
2026-07-24-5880-SELL,2026-07-24,2026-07-27,5880,SELL,549,25.7871,14157.1179,54.575689504500005,5.0
2026-07-24-2412-BUY,2026-07-24,2026-07-27,2412,BUY,202,139.56975,28193.0895,24.1050915225,5.0
2026-07-24-3045-BUY,2026-07-24,2026-07-27,3045,BUY,247,113.55675,28048.51725,23.98148224875,5.0
2026-07-24-4904-BUY,2026-07-24,2026-07-27,4904,BUY,162,105.55275,17099.545499999997,14.620111402499996,5.0
