partial_fraction,min_weight_change,confirm_n,confirm_ret,confirm_mdd,confirm_sharpe,confirm_vol,confirm_turnover,confirm_cost_sum,e3_ret,e3_sharpe,e3_turnover
0.25,0.05,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952,0.016484689967693044,0.4633123917016977,1.0596780612886358,27.172011284456342
0.25,0.1,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952,0.016484689967693044,0.4633123917016977,1.0596780612886358,27.172011284456342
0.25,0.2,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952,0.016484689967693044,0.4633123917016977,1.0596780612886358,27.172011284456342
0.5,0.2,722,0.49335494881884046,-0.16349632775260214,1.1307168526792524,0.13172160036807162,11.722646699871264,0.027504733160353304,0.4633123917016977,1.0596780612886358,27.172011284456342
0.5,0.05,722,0.4904620366478438,-0.1652946872960377,1.1250821844111034,0.13178624456512317,11.884678566521574,0.027886318865347343,0.4633123917016977,1.0596780612886358,27.172011284456342
0.5,0.1,722,0.4904620366478438,-0.1652946872960377,1.1250821844111034,0.13178624456512317,11.884678566521574,0.027886318865347343,0.4633123917016977,1.0596780612886358,27.172011284456342
0.75,0.2,722,0.4646482429640695,-0.17240502122696988,1.0709423201886619,0.13288092093911913,16.602737293463797,0.03900726074338376,0.4633123917016977,1.0596780612886358,27.172011284456342
0.75,0.05,722,0.4629661600893018,-0.17420932097831132,1.0675012346440558,0.1329403545161748,16.76121096805396,0.03938046624736599,0.4633123917016977,1.0596780612886358,27.172011284456342
0.75,0.1,722,0.4629661600893018,-0.17420932097831132,1.0675012346440558,0.1329403545161748,16.76121096805396,0.03938046624736599,0.4633123917016977,1.0596780612886358,27.172011284456342
1.0,0.2,722,0.4295805689862715,-0.18274815501298214,0.9986695594293782,0.13418789890948732,21.99306217822271,0.05170828992788275,0.4633123917016977,1.0596780612886358,27.172011284456342
1.0,0.1,722,0.42589179310523306,-0.18485692660649933,0.9923710733580919,0.13412004253908177,22.052242931316552,0.05184766060141875,0.4633123917016977,1.0596780612886358,27.172011284456342
1.0,0.05,722,0.42524994328231025,-0.18485692660649966,0.9915552000191156,0.13406403815979204,22.187708608186416,0.05216668227044728,0.4633123917016977,1.0596780612886358,27.172011284456342
