cost_multiple,period,n,ret,mdd,sharpe,vol,turnover,cost_sum
0,2021_2022,490,0.27681258714242163,-0.17246937264546047,1.0152271870885812,0.13274826929314187,4.88437123204319,0.0
0,2023_2025,722,0.5380958662264668,-0.1529275257678756,1.2181043682303552,0.13062373732663637,7.041880401374952,0.0
0,2026,152,0.22135988277789376,-0.06937026078263708,2.3124832240193705,0.14916469281607142,1.4129290374770767,0.0
1,2021_2022,490,0.2620730294937297,-0.17510362625025055,0.9693417806457465,0.13287390904616797,4.88437123204319,0.011583518213766787
1,2023_2025,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952,0.016484689967693044
1,2026,152,0.2170216961486111,-0.07015605387966428,2.272938044542701,0.14914233763032778,1.4129290374770767,0.0035650120304578014
2,2021_2022,490,0.24749842515987086,-0.17773018897260273,0.9234400642555124,0.1330143838474466,4.88437123204319,0.023167036427533573
2,2023_2025,722,0.48857225615174915,-0.15878465458417468,1.1354943729035998,0.1299786860508402,7.041880401374952,0.03296937993538609
2,2026,152,0.2126973853607479,-0.07094157179330896,2.2331813908911333,0.14913331183453374,1.4129290374770767,0.007130024060915603
3,2021_2022,490,0.233086985234775,-0.1803490813276134,0.8775377391875784,0.13316964675046702,4.88437123204319,0.03475055464130036
3,2023_2025,722,0.4643936154829884,-0.16217412031240874,1.093611894653012,0.12968808046946373,7.041880401374952,0.04945406990307913
3,2026,152,0.20838691067210324,-0.07172681456462604,2.1932238490047755,0.14913761784877014,1.4129290374770767,0.010695036091373403
