partial_fraction,min_weight_change,train_n,train_ret,train_mdd,train_sharpe,train_vol,train_turnover,train_cost_sum,train_score
0.25,0.05,4405,1.723405831517817,-0.36575991637503025,0.4766594192980065,0.1412257672029847,40.40331239544703,0.09503105234880459,1.354240076865377
0.25,0.1,4405,1.723405831517817,-0.36575991637503025,0.4766594192980065,0.1412257672029847,40.40331239544703,0.09503105234880459,1.354240076865377
0.25,0.2,4405,1.723405831517817,-0.36575991637503025,0.4766594192980065,0.1412257672029847,40.40331239544703,0.09503105234880459,1.354240076865377
0.5,0.2,4405,1.6353729947101545,-0.3650349333374856,0.4613086232203716,0.14212267408369897,68.35215431784869,0.16095456904316344,1.2231668646823404
0.5,0.05,4405,1.6354279501945088,-0.3650349335748816,0.46116659919986036,0.14218982574339037,68.4330156386476,0.16114499745364486,1.223083485065639
0.5,0.1,4405,1.6354279501945088,-0.3650349335748816,0.46116659919986036,0.14218982574339037,68.4330156386476,0.16114499745364486,1.223083485065639
0.75,0.2,4405,1.5031690359583787,-0.36384219237467463,0.43867368537776813,0.14303740820364544,96.29414046173841,0.226770402273075,1.0475264751364286
0.75,0.05,4405,1.5010781316532675,-0.3638423001548564,0.4384511660937161,0.14298334252866957,96.77102958389347,0.22789347615575012,1.0446934270538166
0.75,0.1,4405,1.5010781316532675,-0.3638423001548564,0.4384511660937161,0.14298334252866957,96.77102958389347,0.22789347615575012,1.0446934270538166
1.0,0.2,4405,1.3685238020604338,-0.36364553012246636,0.41499134485583494,0.14385725737490385,126.38784737090404,0.2976388236970965,0.8650954622643114
1.0,0.1,4405,1.350425158479339,-0.36364553012246703,0.41171922176171727,0.14397679715085837,127.28712866038242,0.29975663113381806,0.8452552419777044
1.0,0.05,4405,1.3338062969316806,-0.3636455301224667,0.40896960225109785,0.14393815496185133,127.45553020647614,0.30015321677486884,0.8280538237696312
