strategy,period,n,ret,mdd,sharpe,vol,turnover,cost_sum
Frozen_D,2005_2014,2447,0.6085862652862528,-0.584376115709752,0.32135887866285445,0.24824913831988135,88.54981622693383,0.20853481721442915
Frozen_D,2015_2017,734,0.20009743900384436,-0.25310565877891733,0.5638902449327486,0.12506942542698551,26.384917149036312,0.06213647988598052
Frozen_D,2018_2020,734,0.2918472099512688,-0.2408839901932598,0.7229227024243219,0.13432059583366557,28.072146450289786,0.06610990489043243
Frozen_D,2021_2022,490,0.2769391019255203,-0.19471879808078418,0.8880421872595058,0.1554907355136348,19.839400435947994,0.04672178802665752
Frozen_D,2023_2025,722,0.5044368083436825,-0.1644231781843184,1.0450321212314373,0.14708235240186918,26.744134077170077,0.06298243575173554
Frozen_D,2026,152,0.26393229892471415,-0.0747237039827805,2.210027834218879,0.18462821150456027,5.229787234042553,0.012373595744680853
Frozen_E3,2005_2014,2447,0.3059028943366584,-0.3756163316810026,0.24911139943229205,0.1650752182438998,79.82962096018414,0.18802653319927498
Frozen_E3,2015_2017,734,0.11953735745162963,-0.24363544744928378,0.41440802426612006,0.10765338025504986,27.47778198117515,0.06452093396962919
Frozen_E3,2018_2020,734,0.16409304024732307,-0.22790110553832388,0.5001270176449469,0.11857539710017578,26.995150515030712,0.06362918559308733
Frozen_E3,2021_2022,490,0.2565768601909806,-0.18486597431455343,0.9189701612184519,0.13854939794329507,17.989506239550764,0.042466590960566486
Frozen_E3,2023_2025,722,0.4633123917016977,-0.16564592513278076,1.0596780612886358,0.1341566824388166,27.172011284456342,0.06393807683143807
Frozen_E3,2026,152,0.19205197920318695,-0.06380946562006895,2.054744293514834,0.14805441022616178,5.3351906767712105,0.012778735674348639
E4_A,2005_2014,2447,0.30712627588547403,-0.3636455301224667,0.2515725401565054,0.16158928152638494,67.15858338924097,0.15809861630611438
E4_A,2015_2017,734,0.1550617224649884,-0.22550417744761886,0.5165918974266842,0.107023416909523,21.630233408151355,0.05088795881874464
E4_A,2018_2020,734,0.24475487674305274,-0.22425210743347546,0.7072335796368288,0.11597475245339298,22.852952881693014,0.05382393184157999
E4_A,2021_2022,490,0.2532301452853931,-0.17047436480013378,0.9207262904056157,0.13648121449335635,15.836981648811618,0.037397395549375795
E4_A,2023_2025,722,0.4252499432823089,-0.18485692660649933,0.9915552000191206,0.13406403815979198,22.187708608186416,0.05216668227044728
E4_A,2026,152,0.19819739518614576,-0.07085664906881739,2.0244496468013535,0.15501955066087164,3.8164189495139555,0.009306976205191754
E4_B,2005_2014,2447,0.48691054505223286,-0.36575991637503025,0.33625285787754955,0.15928227761065122,21.55996576407786,0.05058025749841283
E4_B,2015_2017,734,0.19342670169511988,-0.22447662858325723,0.6352068103763704,0.10426768609485924,6.80567031508196,0.01595534049376099
E4_B,2018_2020,734,0.22729684039603448,-0.21188830600257502,0.6852676853484977,0.11195533020460736,7.153305084244027,0.016911936142863973
E4_B,2021_2022,490,0.2620730294937297,-0.17510362625025055,0.9693417806457465,0.13287390904616797,4.88437123204319,0.011583518213766787
E4_B,2023_2025,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952,0.016484689967693044
E4_B,2026,152,0.2170216961486111,-0.07015605387966428,2.272938044542701,0.14914233763032778,1.4129290374770767,0.0035650120304578014
E4_C,2005_2014,2447,0.48691054505223286,-0.36575991637503025,0.33625285787754955,0.15928227761065122,21.55996576407786,0.05058025749841283
E4_C,2015_2017,734,0.19342670169511988,-0.22447662858325723,0.6352068103763704,0.10426768609485924,6.80567031508196,0.01595534049376099
E4_C,2018_2020,734,0.22729684039603448,-0.21188830600257502,0.6852676853484977,0.11195533020460736,7.153305084244027,0.016911936142863973
E4_C,2021_2022,490,0.2620730294937297,-0.17510362625025055,0.9693417806457465,0.13287390904616797,4.88437123204319,0.011583518213766787
E4_C,2023_2025,722,0.5131376746924385,-0.1553832237783399,1.17699726003982,0.1302906226093966,7.041880401374952,0.016484689967693044
E4_C,2026,152,0.2170216961486111,-0.07015605387966428,2.272938044542701,0.14914233763032778,1.4129290374770767,0.0035650120304578014
